MUNICIPIO,PCP7,Recuento de PCP1,PCP6||Sexo,PCP23_A||Lee-Escribe Idioma 1,PCP23_B||Lee-Escribe Idioma 2,PCP23_C||Lee-Escribe Idioma 3
401,7,1,Hombre,Akateko,,
401,7,1,Hombre,Español,Akateko,
401,7,1,Hombre,Español,Inglés,Kaqchiquel
401,7,1,Hombre,Español,K'iche',
401,7,1,Mujer,Achí,Español,
401,7,1,Mujer,Achí,Español,Inglés
401,7,1,Mujer,Chalchiteko,,
401,7,1,Mujer,Español,Akateko,
401,7,1,Mujer,Español,Inglés,Kaqchiquel
401,7,1,Mujer,Español,Kaqchiquel,
401,7,1,Mujer,Español,Kaqchiquel,Inglés
401,7,1,Mujer,Español,K'iche',
402,7,1,Hombre,Español,Kaqchiquel,
402,7,1,Hombre,Español,K'iche',
402,7,1,Mujer,Akateko,,
402,7,1,Mujer,Español,Achí,
403,7,1,Hombre,Español,Akateko,
403,7,1,Hombre,Español,Kaqchiquel,
403,7,1,Hombre,Español,K'iche',
403,7,1,Hombre,Otro idioma,,
403,7,1,Hombre,Xinka,,
403,7,1,Mujer,Español,Inglés,
403,7,1,Mujer,Español,Kaqchiquel,
403,7,1,Mujer,Garífuna,,
403,7,1,Mujer,Otro idioma,,
403,7,1,Mujer,Xinka,,
404,7,1,Hombre,Akateko,,
404,7,1,Hombre,Español,Akateko,
404,7,1,Hombre,Tz'utujil,,
404,7,1,Mujer,Español,Achí,
404,7,1,Mujer,Español,Akateko,
404,7,1,Mujer,Kaqchiquel,,
404,7,1,Mujer,Kaqchiquel,Español,Inglés
405,7,1,Hombre,Achí,Español,
405,7,1,Mujer,Achí,,
405,7,1,Mujer,Achí,Español,
406,7,1,Hombre,Inglés,Español,
406,7,1,Hombre,Kaqchiquel,,
406,7,1,Mujer,Achí,,
406,7,1,Mujer,Español,Awakateko,
406,7,1,Mujer,Inglés,Español,
407,7,1,Hombre,Español,Kaqchiquel,Inglés
407,7,1,Mujer,Español,Akateko,
407,7,1,Mujer,Español,K'iche',
408,7,1,Hombre,Ixil,,
409,7,1,Hombre,Español,Inglés,
409,7,1,Mujer,Español,Kaqchiquel,
410,7,1,Hombre,Akateko,,
411,7,1,Mujer,Akateko,,
411,7,1,Mujer,K'iche',,
412,7,1,Hombre,Akateko,,
412,7,1,Hombre,Español,Akateko,
412,7,1,Mujer,Akateko,,
412,7,1,Mujer,K'iche',,
413,7,1,Hombre,Awakateko,,
413,7,1,Hombre,Español,Kaqchiquel,
413,7,1,Hombre,Xinka,,
413,7,1,Mujer,Chalchiteko,,
414,7,1,Hombre,Akateko,,
415,7,1,Hombre,Español,Inglés,
415,7,1,Mujer,Español,Akateko,
415,7,1,Mujer,Garífuna,,
2001,7,1,Mujer,Español,Achí,
2001,7,1,Mujer,Español,Inglés,
2001,7,1,Mujer,Español,Xinka,
2003,7,1,Mujer,Akateko,,
2004,7,1,Hombre,Achí,,
2004,7,1,Hombre,Awakateko,,
2004,7,1,Mujer,Ch'orti',,
2004,7,1,Mujer,Español,Akateko,
2004,7,1,Mujer,Español,Ch'orti',
2004,7,1,Mujer,Tektiteka,,
2004,7,1,Mujer,Uspanteka,,
2005,7,1,Mujer,Español,Akateko,
2007,7,1,Hombre,Achí,Español,
2007,7,1,Hombre,Akateko,,
2007,7,1,Hombre,Español,Akateko,
2007,7,1,Hombre,Español,Inglés,
2007,7,1,Hombre,Español,K'iche',
2007,7,1,Mujer,Español,Akateko,
2007,7,1,Mujer,Español,Inglés,
2007,7,1,Mujer,Español,K'iche',
2008,7,1,Hombre,Español,Akateko,
2008,7,1,Mujer,Akateko,,
2009,7,1,Hombre,Achí,,
2009,7,1,Hombre,Achí,Español,
2009,7,1,Hombre,Akateko,,
2009,7,1,Mujer,Español,Akateko,
2010,7,1,Mujer,Akateko,,
2011,7,1,Hombre,Español,Akateko,
2011,7,1,Mujer,Xinka,Akateko,
401,8,1,Hombre,Español,K'iche',
401,8,1,Mujer,Akateko,,
401,8,1,Mujer,Chalchiteko,,
401,8,1,Mujer,Español,Akateko,
401,8,1,Mujer,Español,Inglés,
401,8,1,Mujer,Español,Kaqchiquel,Inglés
401,8,1,Mujer,Xinka,,
402,8,1,Hombre,Kaqchiquel,,
402,8,1,Mujer,Achí,Español,
402,8,1,Mujer,Español,Achí,
402,8,1,Mujer,Uspanteka,Español,
403,8,1,Hombre,Achí,Español,
403,8,1,Hombre,Español,Akateko,
403,8,1,Hombre,Kaqchiquel,,
403,8,1,Mujer,Achí,Español,
403,8,1,Mujer,Ch'orti',,
403,8,1,Mujer,Inglés,Español,
403,8,1,Mujer,Kaqchiquel,,
403,8,1,Mujer,K'iche',,
403,8,1,Mujer,Otro idioma,,
403,8,1,Mujer,Xinka,,
404,8,1,Hombre,Akateko,,
404,8,1,Hombre,Español,Akateko,
404,8,1,Hombre,Inglés,,
404,8,1,Mujer,Español,Achí,
404,8,1,Mujer,Kaqchiquel,Español,Awakateko
405,8,1,Hombre,Achí,,
405,8,1,Hombre,Achí,Español,
405,8,1,Mujer,Achí,Español,
405,8,1,Mujer,Akateko,,
405,8,1,Mujer,Chalchiteko,,
405,8,1,Mujer,Kaqchiquel,Español,
406,8,1,Hombre,Tz'utujil,,
406,8,1,Mujer,Español,Inglés,Kaqchiquel
