MUNICIPIO,PCP7,Recuento de PCP1,PCP6||Sexo,PCP15||Idioma Materno
1301,0,1090,Hombre,
1301,0,1107,Mujer,
1302,0,1068,Hombre,
1302,0,948,Mujer,
1303,0,231,Hombre,
1303,0,198,Mujer,
1304,0,809,Hombre,
1304,0,817,Mujer,
1305,0,677,Hombre,
1305,0,687,Mujer,
1306,0,485,Hombre,
1306,0,478,Mujer,
1307,0,434,Hombre,
1307,0,409,Mujer,
1308,0,739,Hombre,
1308,0,752,Mujer,
1309,0,750,Hombre,
1309,0,656,Mujer,
1310,0,449,Hombre,
1310,0,439,Mujer,
1311,0,488,Hombre,
1311,0,524,Mujer,
1312,0,701,Hombre,
1312,0,656,Mujer,
1313,0,399,Hombre,
1313,0,371,Mujer,
1314,0,218,Hombre,
1314,0,246,Mujer,
1315,0,404,Hombre,
1315,0,382,Mujer,
1316,0,204,Hombre,
1316,0,209,Mujer,
1317,0,568,Hombre,
1317,0,549,Mujer,
1318,0,678,Hombre,
1318,0,673,Mujer,
1319,0,530,Hombre,
1319,0,505,Mujer,
1320,0,404,Hombre,
1320,0,410,Mujer,
1321,0,135,Hombre,
1321,0,120,Mujer,
1322,0,192,Hombre,
1322,0,275,Mujer,
1323,0,367,Hombre,
1323,0,422,Mujer,
1324,0,184,Hombre,
1324,0,176,Mujer,
1325,0,239,Hombre,
1325,0,234,Mujer,
1326,0,1449,Hombre,
1326,0,1445,Mujer,
1327,0,562,Hombre,
1327,0,571,Mujer,
1328,0,159,Hombre,
1328,0,153,Mujer,
1329,0,131,Hombre,
1329,0,128,Mujer,
1330,0,112,Hombre,
1330,0,104,Mujer,
1331,0,114,Hombre,
1331,0,102,Mujer,
1332,0,163,Hombre,
1332,0,178,Mujer,
1333,0,100,Hombre,
1333,0,91,Mujer,
1801,0,783,Hombre,
1801,0,734,Mujer,
1802,0,883,Hombre,
1802,0,810,Mujer,
1803,0,1017,Hombre,
1803,0,1099,Mujer,
1804,0,934,Hombre,
1804,0,975,Mujer,
1805,0,606,Hombre,
1805,0,643,Mujer,
1301,1,1080,Hombre,
1301,1,1099,Mujer,
1302,1,1179,Hombre,
1302,1,1172,Mujer,
1303,1,215,Hombre,
1303,1,204,Mujer,
1304,1,855,Hombre,
1304,1,799,Mujer,
1305,1,658,Hombre,
1305,1,634,Mujer,
1306,1,543,Hombre,
