MUNICIPIO,PCP7,Recuento de PCP1,PCP6||Sexo,PCP15||Idioma Materno
2101,0,1951,Hombre,
2101,0,1968,Mujer,
2102,0,872,Hombre,
2102,0,841,Mujer,
2103,0,214,Hombre,
2103,0,226,Mujer,
2104,0,62,Hombre,
2104,0,74,Mujer,
2105,0,245,Hombre,
2105,0,227,Mujer,
2106,0,272,Hombre,
2106,0,247,Mujer,
2107,0,433,Hombre,
2107,0,446,Mujer,
2201,0,1453,Hombre,
2201,0,1464,Mujer,
2202,0,179,Hombre,
2202,0,188,Mujer,
2203,0,266,Hombre,
2203,0,247,Mujer,
2204,0,117,Hombre,
2204,0,130,Mujer,
2205,0,416,Hombre,
2205,0,436,Mujer,
2206,0,179,Hombre,
2206,0,163,Mujer,
2207,0,151,Hombre,
2207,0,132,Mujer,
2208,0,54,Hombre,
2208,0,46,Mujer,
2209,0,50,Hombre,
2209,0,61,Mujer,
2210,0,83,Hombre,
2210,0,90,Mujer,
2211,0,331,Hombre,
2211,0,322,Mujer,
2212,0,257,Hombre,
2212,0,270,Mujer,
2213,0,306,Hombre,
2213,0,303,Mujer,
2214,0,391,Hombre,
2214,0,370,Mujer,
2215,0,78,Hombre,
2215,0,82,Mujer,
2216,0,104,Hombre,
2216,0,98,Mujer,
2217,0,226,Hombre,
2217,0,195,Mujer,
2101,1,1977,Hombre,
2101,1,1918,Mujer,
2102,1,774,Hombre,
2102,1,773,Mujer,
2103,1,219,Hombre,
2103,1,196,Mujer,
2104,1,66,Hombre,
2104,1,74,Mujer,
2105,1,248,Hombre,
2105,1,235,Mujer,
2106,1,304,Hombre,
2106,1,253,Mujer,
2107,1,488,Hombre,
2107,1,448,Mujer,
2201,1,1570,Hombre,
2201,1,1493,Mujer,
2202,1,209,Hombre,
2202,1,193,Mujer,
2203,1,267,Hombre,
2203,1,268,Mujer,
2204,1,137,Hombre,
2204,1,106,Mujer,
2205,1,427,Hombre,
2205,1,456,Mujer,
2206,1,174,Hombre,
2206,1,144,Mujer,
2207,1,151,Hombre,
2207,1,155,Mujer,
2208,1,53,Hombre,
2208,1,44,Mujer,
2209,1,67,Hombre,
2209,1,69,Mujer,
2210,1,80,Hombre,
2210,1,78,Mujer,
2211,1,397,Hombre,
2211,1,376,Mujer,
2212,1,283,Hombre,
2212,1,306,Mujer,
2213,1,320,Hombre,
2213,1,348,Mujer,
2214,1,521,Hombre,
2214,1,482,Mujer,
2215,1,109,Hombre,
2215,1,109,Mujer,
2216,1,108,Hombre,
2216,1,113,Mujer,
2217,1,214,Hombre,
2217,1,221,Mujer,
2101,2,2143,Hombre,
2101,2,2135,Mujer,
2102,2,867,Hombre,
2102,2,904,Mujer,
2103,2,248,Hombre,
2103,2,224,Mujer,
2104,2,67,Hombre,
2104,2,81,Mujer,
2105,2,252,Hombre,
2105,2,267,Mujer,
2106,2,279,Hombre,
2106,2,274,Mujer,
2107,2,501,Hombre,
2107,2,481,Mujer,
2201,2,1631,Hombre,
2201,2,1580,Mujer,
2202,2,177,Hombre,
2202,2,204,Mujer,
2203,2,283,Hombre,
2203,2,293,Mujer,
2204,2,148,Hombre,
2204,2,124,Mujer,
2205,2,446,Hombre,
2205,2,447,Mujer,
2206,2,170,Hombre,
2206,2,197,Mujer,
2207,2,137,Hombre,
2207,2,159,Mujer,
2208,2,42,Hombre,
2208,2,43,Mujer,
2209,2,66,Hombre,
2209,2,58,Mujer,
2210,2,89,Hombre,
2210,2,90,Mujer,
2211,2,451,Hombre,
2211,2,418,Mujer,
2212,2,294,Hombre,
2212,2,328,Mujer,
2213,2,353,Hombre,
2213,2,365,Mujer,
2214,2,482,Hombre,
2214,2,450,Mujer,
2215,2,88,Hombre,
2215,2,90,Mujer,
2216,2,113,Hombre,
2216,2,134,Mujer,
2217,2,229,Hombre,
2217,2,241,Mujer,
2101,3,2106,Hombre,
2101,3,2090,Mujer,
2102,3,895,Hombre,
2102,3,815,Mujer,
2103,3,269,Hombre,
2103,3,221,Mujer,
2104,3,76,Hombre,
2104,3,85,Mujer,
2105,3,273,Hombre,
2105,3,294,Mujer,
2106,3,291,Hombre,
2106,3,287,Mujer,
2107,3,484,Hombre,
2107,3,503,Mujer,
2201,3,1653,Hombre,
2201,3,1638,Mujer,
2202,3,200,Hombre,
2202,3,200,Mujer,
2203,3,312,Hombre,
2203,3,289,Mujer,
2204,3,158,Hombre,
2204,3,152,Mujer,
2205,3,466,Hombre,
2205,3,469,Mujer,
2206,3,184,Hombre,
2206,3,177,Mujer,
2207,3,165,Hombre,
2207,3,165,Mujer,
2208,3,61,Hombre,
2208,3,61,Mujer,
2209,3,66,Hombre,
2209,3,68,Mujer,
2210,3,96,Hombre,
2210,3,78,Mujer,
2211,3,395,Hombre,
2211,3,385,Mujer,
2212,3,307,Hombre,
2212,3,313,Mujer,
2213,3,349,Hombre,
2213,3,348,Mujer,
2214,3,538,Hombre,
2214,3,476,Mujer,
2215,3,97,Hombre,
2215,3,93,Mujer,
2216,3,103,Hombre,
2216,3,130,Mujer,
2217,3,224,Hombre,
2217,3,207,Mujer,
2101,4,1,Hombre,Achí
2101,4,1,Hombre,Akateko
2101,4,3,Hombre,Chalchiteko
2101,4,2090,Hombre,Español
2101,4,2,Hombre,Garífuna
2101,4,2,Hombre,Inglés
2101,4,1,Hombre,Kaqchiquel
2101,4,3,Hombre,K'iche'
2101,4,10,Hombre,No habla
2101,4,2,Hombre,Otro idioma
2101,4,1,Hombre,Q'eqchi'
2101,4,1,Hombre,Uspanteko
2101,4,3,Mujer,Achí
2101,4,2,Mujer,Akateko
2101,4,1,Mujer,Chalchiteko
2101,4,2103,Mujer,Español
2101,4,1,Mujer,Ixil
2101,4,1,Mujer,Kaqchiquel
2101,4,2,Mujer,K'iche'
2101,4,1,Mujer,Mam
2101,4,5,Mujer,No habla
2101,4,2,Mujer,Xinka
2102,4,1,Hombre,Akateko
2102,4,3,Hombre,Chalchiteko
2102,4,865,Hombre,Español
2102,4,1,Hombre,Garífuna
2102,4,1,Hombre,K'iche'
2102,4,2,Hombre,No habla
2102,4,1,Hombre,Tz'utujil
2102,4,2,Mujer,Akateko
2102,4,841,Mujer,Español
2103,4,245,Hombre,Español
2103,4,2,Hombre,Poqomam
2103,4,2,Hombre,Tz'utujil
2103,4,1,Mujer,Chalchiteko
2103,4,237,Mujer,Español
2103,4,1,Mujer,Poqomam
2104,4,72,Hombre,Español
2104,4,85,Mujer,Español
2104,4,1,Mujer,Garífuna
2104,4,1,Mujer,No habla
2105,4,1,Hombre,Achí
2105,4,265,Hombre,Español
2105,4,2,Hombre,Garífuna
2105,4,1,Mujer,Akateko
2105,4,1,Mujer,Awakateko
2105,4,282,Mujer,Español
2105,4,1,Mujer,Inglés
2105,4,1,Mujer,Otro idioma
2106,4,1,Hombre,Chalchiteko
2106,4,335,Hombre,Español
2106,4,282,Mujer,Español
2106,4,1,Mujer,Garífuna
2106,4,1,Mujer,No habla
2107,4,518,Hombre,Español
2107,4,1,Hombre,Tz'utujil
2107,4,1,Hombre,Uspanteko
2107,4,2,Mujer,Achí
2107,4,1,Mujer,Akateko
2107,4,1,Mujer,Chalchiteko
2107,4,505,Mujer,Español
2107,4,1,Mujer,Kaqchiquel
2107,4,4,Mujer,K'iche'
2107,4,1,Mujer,No habla
2107,4,1,Mujer,Tz'utujil
2201,4,4,Hombre,Achí
2201,4,1,Hombre,Akateko
2201,4,1680,Hombre,Español
2201,4,1,Hombre,Garífuna
2201,4,1,Hombre,Inglés
2201,4,3,Hombre,K'iche'
2201,4,7,Hombre,No habla
2201,4,1,Hombre,Xinka
2201,4,2,Mujer,Achí
2201,4,1,Mujer,Akateko
2201,4,1,Mujer,Chalchiteko
2201,4,1697,Mujer,Español
2201,4,1,Mujer,Inglés
2201,4,1,Mujer,Kaqchiquel
2201,4,1,Mujer,K'iche'
2201,4,2,Mujer,Mam
2201,4,7,Mujer,No habla
2201,4,1,Mujer,Otro idioma
2201,4,1,Mujer,Señas
2201,4,3,Mujer,Uspanteko
2201,4,3,Mujer,Xinka
2202,4,204,Hombre,Español
2202,4,1,Hombre,No habla
2202,4,1,Hombre,Otro idioma
2202,4,1,Hombre,Tz'utujil
2202,4,1,Mujer,Achí
2202,4,213,Mujer,Español
2203,4,1,Hombre,Chalchiteko
2203,4,326,Hombre,Español
2203,4,2,Hombre,Xinka
2203,4,290,Mujer,Español
2203,4,1,Mujer,Uspanteko
2204,4,124,Hombre,Español
2204,4,2,Hombre,K'iche'
2204,4,1,Mujer,Achí
2204,4,139,Mujer,Español
2204,4,2,Mujer,K'iche'
2205,4,470,Hombre,Español
2205,4,1,Hombre,Kaqchiquel
2205,4,1,Hombre,No habla
2205,4,1,Mujer,Chalchiteko
2205,4,423,Mujer,Español
2205,4,1,Mujer,K'iche'
2205,4,2,Mujer,No habla
2205,4,1,Mujer,Q'eqchi'
2206,4,158,Hombre,Español
2206,4,2,Mujer,Achí
2206,4,183,Mujer,Español
2207,4,183,Hombre,Español
2207,4,177,Mujer,Español
2207,4,1,Mujer,K'iche'
2208,4,50,Hombre,Español
2208,4,2,Mujer,Achí
2208,4,54,Mujer,Español
2209,4,65,Hombre,Español
2209,4,72,Mujer,Español
2210,4,99,Hombre,Español
2210,4,88,Mujer,Español
2211,4,2,Hombre,Achí
2211,4,373,Hombre,Español
2211,4,2,Mujer,Achí
2211,4,409,Mujer,Español
2211,4,1,Mujer,No habla
2211,4,1,Mujer,Tektiteko
2212,4,1,Hombre,Achí
2212,4,302,Hombre,Español
2212,4,1,Hombre,Inglés
2212,4,1,Hombre,Kaqchiquel
2212,4,286,Mujer,Español
2212,4,1,Mujer,K'iche'
2212,4,1,Mujer,No habla
2213,4,346,Hombre,Español
2213,4,345,Mujer,Español
2214,4,1,Hombre,Achí
2214,4,1,Hombre,Akateko
2214,4,473,Hombre,Español
2214,4,1,Hombre,K'iche'
2214,4,1,Hombre,Xinka
2214,4,441,Mujer,Español
2214,4,1,Mujer,Kaqchiquel
2214,4,1,Mujer,K'iche'
2214,4,1,Mujer,No habla
2215,4,109,Hombre,Español
2215,4,2,Hombre,No habla
2215,4,1,Hombre,Uspanteko
2215,4,104,Mujer,Español
2215,4,1,Mujer,K'iche'
2215,4,1,Mujer,No habla
2216,4,1,Hombre,Achí
2216,4,136,Hombre,Español
2216,4,1,Mujer,Achí
2216,4,110,Mujer,Español
2216,4,1,Mujer,K'iche'
2216,4,1,Mujer,No habla
2217,4,1,Hombre,Achí
2217,4,267,Hombre,Español
2217,4,2,Hombre,Garífuna
2217,4,1,Hombre,K'iche'
2217,4,266,Mujer,Español
2217,4,1,Mujer,Tektiteko
2101,5,5,Hombre,Achí
2101,5,4,Hombre,Akateko
2101,5,1,Hombre,Chalchiteko
2101,5,2135,Hombre,Español
2101,5,3,Hombre,K'iche'
2101,5,1,Hombre,No habla
