MUNICIPIO,PCP7,Recuento de PCP1,PCP6||Sexo,PCP12||Autoidentificación
1101,0,1,Hombre,Afrodescendiente/Creole/Afromestizo
1101,0,1,Hombre,Extranjera (o)
1101,0,901,Hombre,Ladina (o)
1101,0,18,Hombre,Maya
1101,0,1,Mujer,Afrodescendiente/Creole/Afromestizo
1101,0,838,Mujer,Ladina (o)
1101,0,12,Mujer,Maya
1102,0,176,Hombre,Ladina (o)
1102,0,105,Hombre,Maya
1102,0,1,Mujer,Garífuna
1102,0,170,Mujer,Ladina (o)
1102,0,89,Mujer,Maya
1103,0,154,Hombre,Ladina (o)
1103,0,2,Hombre,Maya
1103,0,1,Mujer,Garífuna
1103,0,146,Mujer,Ladina (o)
1103,0,3,Mujer,Maya
1104,0,1,Hombre,Afrodescendiente/Creole/Afromestizo
1104,0,121,Hombre,Ladina (o)
1104,0,7,Hombre,Maya
1104,0,1,Mujer,Extranjera (o)
1104,0,127,Mujer,Ladina (o)
1104,0,7,Mujer,Maya
1105,0,1,Hombre,Afrodescendiente/Creole/Afromestizo
1105,0,225,Hombre,Ladina (o)
1105,0,27,Hombre,Maya
1105,0,3,Mujer,Afrodescendiente/Creole/Afromestizo
1105,0,235,Mujer,Ladina (o)
1105,0,15,Mujer,Maya
1106,0,1,Hombre,Afrodescendiente/Creole/Afromestizo
1106,0,1,Hombre,Extranjera (o)
1106,0,1,Hombre,Garífuna
1106,0,448,Hombre,Ladina (o)
1106,0,185,Hombre,Maya
1106,0,3,Mujer,Afrodescendiente/Creole/Afromestizo
1106,0,459,Mujer,Ladina (o)
1106,0,156,Mujer,Maya
1106,0,1,Mujer,Xinka
1107,0,330,Hombre,Ladina (o)
1107,0,44,Hombre,Maya
1107,0,309,Mujer,Ladina (o)
1107,0,45,Mujer,Maya
1108,0,435,Hombre,Ladina (o)
1108,0,10,Hombre,Maya
1108,0,433,Mujer,Ladina (o)
1108,0,7,Mujer,Maya
1109,0,1,Hombre,Extranjera (o)
1109,0,250,Hombre,Ladina (o)
1109,0,126,Hombre,Maya
1109,0,249,Mujer,Ladina (o)
1109,0,133,Mujer,Maya
1401,0,3,Hombre,Afrodescendiente/Creole/Afromestizo
1401,0,1,Hombre,Garífuna
1401,0,92,Hombre,Ladina (o)
1401,0,640,Hombre,Maya
1401,0,3,Mujer,Afrodescendiente/Creole/Afromestizo
1401,0,1,Mujer,Extranjera (o)
1401,0,1,Mujer,Garífuna
1401,0,106,Mujer,Ladina (o)
1401,0,666,Mujer,Maya
1402,0,4,Hombre,Ladina (o)
1402,0,390,Hombre,Maya
1402,0,9,Mujer,Ladina (o)
1402,0,383,Mujer,Maya
1403,0,18,Hombre,Ladina (o)
1403,0,102,Hombre,Maya
1403,0,19,Mujer,Ladina (o)
1403,0,93,Mujer,Maya
1404,0,13,Hombre,Ladina (o)
1404,0,403,Hombre,Maya
1404,0,13,Mujer,Ladina (o)
1404,0,374,Mujer,Maya
1405,0,1,Hombre,Extranjera (o)
1405,0,62,Hombre,Ladina (o)
1405,0,582,Hombre,Maya
1405,0,60,Mujer,Ladina (o)
1405,0,561,Mujer,Maya
1406,0,1,Hombre,Afrodescendiente/Creole/Afromestizo
1406,0,18,Hombre,Ladina (o)
1406,0,1539,Hombre,Maya
1406,0,1,Mujer,Afrodescendiente/Creole/Afromestizo
