MUNICIPIO,PCP7,Recuento de PCP1,PCP6||Sexo,PCP12||Autoidentificación
1501,0,3,Hombre,Afrodescendiente/Creole/Afromestizo
1501,0,551,Hombre,Ladina (o)
1501,0,151,Hombre,Maya
1501,0,1,Hombre,Xinka
1501,0,2,Mujer,Afrodescendiente/Creole/Afromestizo
1501,0,513,Mujer,Ladina (o)
1501,0,158,Mujer,Maya
1502,0,1,Hombre,Afrodescendiente/Creole/Afromestizo
1502,0,46,Hombre,Ladina (o)
1502,0,393,Hombre,Maya
1502,0,1,Mujer,Garífuna
1502,0,28,Mujer,Ladina (o)
1502,0,341,Mujer,Maya
1503,0,2,Hombre,Afrodescendiente/Creole/Afromestizo
1503,0,73,Hombre,Ladina (o)
1503,0,387,Hombre,Maya
1503,0,1,Mujer,Afrodescendiente/Creole/Afromestizo
1503,0,1,Mujer,Garífuna
1503,0,89,Mujer,Ladina (o)
1503,0,332,Mujer,Maya
1504,0,1,Hombre,Afrodescendiente/Creole/Afromestizo
1504,0,151,Hombre,Ladina (o)
1504,0,473,Hombre,Maya
1504,0,1,Mujer,Afrodescendiente/Creole/Afromestizo
1504,0,174,Mujer,Ladina (o)
1504,0,442,Mujer,Maya
1505,0,137,Hombre,Ladina (o)
1505,0,15,Hombre,Maya
1505,0,120,Mujer,Ladina (o)
1505,0,15,Mujer,Maya
1506,0,1,Hombre,Afrodescendiente/Creole/Afromestizo
1506,0,80,Hombre,Ladina (o)
1506,0,11,Hombre,Maya
1506,0,83,Mujer,Ladina (o)
1506,0,8,Mujer,Maya
1507,0,2,Hombre,Afrodescendiente/Creole/Afromestizo
1507,0,1,Hombre,Garífuna
1507,0,212,Hombre,Ladina (o)
1507,0,46,Hombre,Maya
1507,0,1,Hombre,Xinka
1507,0,2,Mujer,Afrodescendiente/Creole/Afromestizo
1507,0,1,Mujer,Garífuna
1507,0,216,Mujer,Ladina (o)
1507,0,35,Mujer,Maya
1508,0,34,Hombre,Ladina (o)
1508,0,867,Hombre,Maya
1508,0,1,Mujer,Afrodescendiente/Creole/Afromestizo
1508,0,21,Mujer,Ladina (o)
1508,0,879,Mujer,Maya
1601,0,5,Hombre,Afrodescendiente/Creole/Afromestizo
1601,0,1,Hombre,Extranjera (o)
1601,0,1,Hombre,Garífuna
1601,0,242,Hombre,Ladina (o)
1601,0,2249,Hombre,Maya
1601,0,7,Mujer,Afrodescendiente/Creole/Afromestizo
1601,0,1,Mujer,Extranjera (o)
1601,0,2,Mujer,Garífuna
1601,0,246,Mujer,Ladina (o)
1601,0,2148,Mujer,Maya
1601,0,1,Mujer,Xinka
1602,0,3,Hombre,Afrodescendiente/Creole/Afromestizo
1602,0,2,Hombre,Garífuna
1602,0,71,Hombre,Ladina (o)
1602,0,360,Hombre,Maya
1602,0,3,Mujer,Afrodescendiente/Creole/Afromestizo
1602,0,1,Mujer,Extranjera (o)
1602,0,63,Mujer,Ladina (o)
1602,0,355,Mujer,Maya
1603,0,2,Hombre,Afrodescendiente/Creole/Afromestizo
1603,0,2,Hombre,Garífuna
1603,0,79,Hombre,Ladina (o)
1603,0,945,Hombre,Maya
