MUNICIPIO,PCP7,Recuento de PCP1,PCP6||Sexo,PCP12||Autoidentificación
601,0,352,Hombre,Ladina (o)
601,0,11,Hombre,Maya
601,0,12,Hombre,Xinka
601,0,1,Mujer,Garífuna
601,0,322,Mujer,Ladina (o)
601,0,3,Mujer,Maya
601,0,10,Mujer,Xinka
602,0,567,Hombre,Ladina (o)
602,0,18,Hombre,Maya
602,0,2,Hombre,Xinka
602,0,1,Mujer,Afrodescendiente/Creole/Afromestizo
602,0,2,Mujer,Extranjera (o)
602,0,543,Mujer,Ladina (o)
602,0,10,Mujer,Maya
602,0,3,Mujer,Xinka
603,0,159,Hombre,Ladina (o)
603,0,4,Hombre,Maya
603,0,30,Hombre,Xinka
603,0,1,Mujer,Garífuna
603,0,138,Mujer,Ladina (o)
603,0,4,Mujer,Maya
603,0,42,Mujer,Xinka
604,0,97,Hombre,Ladina (o)
604,0,3,Hombre,Maya
604,0,129,Hombre,Xinka
604,0,1,Mujer,Garífuna
604,0,108,Mujer,Ladina (o)
604,0,6,Mujer,Maya
604,0,133,Mujer,Xinka
605,0,109,Hombre,Ladina (o)
605,0,2,Hombre,Maya
605,0,20,Hombre,Xinka
605,0,1,Mujer,Afrodescendiente/Creole/Afromestizo
605,0,1,Mujer,Extranjera (o)
605,0,1,Mujer,Garífuna
605,0,97,Mujer,Ladina (o)
605,0,1,Mujer,Maya
605,0,35,Mujer,Xinka
606,0,1,Hombre,Afrodescendiente/Creole/Afromestizo
606,0,2,Hombre,Extranjera (o)
606,0,239,Hombre,Ladina (o)
606,0,5,Hombre,Maya
606,0,3,Hombre,Xinka
606,0,7,Mujer,Extranjera (o)
606,0,215,Mujer,Ladina (o)
606,0,1,Mujer,Maya
606,0,6,Mujer,Xinka
607,0,87,Hombre,Ladina (o)
607,0,32,Hombre,Xinka
607,0,1,Mujer,Extranjera (o)
607,0,70,Mujer,Ladina (o)
607,0,1,Mujer,Maya
607,0,37,Mujer,Xinka
608,0,1,Hombre,Afrodescendiente/Creole/Afromestizo
608,0,1,Hombre,Extranjera (o)
608,0,461,Hombre,Ladina (o)
608,0,3,Hombre,Maya
608,0,27,Hombre,Xinka
608,0,1,Mujer,Afrodescendiente/Creole/Afromestizo
608,0,1,Mujer,Extranjera (o)
608,0,428,Mujer,Ladina (o)
608,0,5,Mujer,Maya
608,0,20,Mujer,Xinka
609,0,1,Hombre,Afrodescendiente/Creole/Afromestizo
609,0,295,Hombre,Ladina (o)
609,0,1,Hombre,Maya
609,0,3,Hombre,Xinka
609,0,263,Mujer,Ladina (o)
609,0,2,Mujer,Maya
609,0,6,Mujer,Xinka
610,0,1,Hombre,Afrodescendiente/Creole/Afromestizo
610,0,223,Hombre,Ladina (o)
610,0,4,Hombre,Maya
610,0,21,Hombre,Xinka
610,0,241,Mujer,Ladina (o)
610,0,2,Mujer,Maya
610,0,18,Mujer,Xinka
611,0,141,Hombre,Ladina (o)
611,0,1,Hombre,Maya
611,0,36,Hombre,Xinka
611,0,1,Mujer,Extranjera (o)
611,0,154,Mujer,Ladina (o)
611,0,3,Mujer,Maya
611,0,38,Mujer,Xinka
612,0,2,Hombre,Afrodescendiente/Creole/Afromestizo
612,0,138,Hombre,Ladina (o)
612,0,8,Hombre,Maya
612,0,1,Hombre,Xinka
612,0,139,Mujer,Ladina (o)
612,0,12,Mujer,Maya
612,0,4,Mujer,Xinka
613,0,273,Hombre,Ladina (o)
613,0,5,Hombre,Maya
613,0,2,Hombre,Xinka
613,0,1,Mujer,Garífuna
613,0,266,Mujer,Ladina (o)
613,0,7,Mujer,Maya
614,0,2,Hombre,Afrodescendiente/Creole/Afromestizo
614,0,1,Hombre,Extranjera (o)
614,0,1,Hombre,Garífuna
614,0,193,Hombre,Ladina (o)
614,0,11,Hombre,Maya
614,0,167,Hombre,Xinka
614,0,1,Mujer,Afrodescendiente/Creole/Afromestizo
614,0,158,Mujer,Ladina (o)
614,0,10,Mujer,Maya
614,0,149,Mujer,Xinka
701,0,3,Hombre,Afrodescendiente/Creole/Afromestizo
701,0,1,Hombre,Garífuna
701,0,34,Hombre,Ladina (o)
701,0,809,Hombre,Maya
701,0,1,Mujer,Afrodescendiente/Creole/Afromestizo
701,0,23,Mujer,Ladina (o)
701,0,827,Mujer,Maya
702,0,1,Hombre,Ladina (o)
702,0,40,Hombre,Maya
702,0,2,Mujer,Ladina (o)
702,0,54,Mujer,Maya
703,0,1,Hombre,Ladina (o)
703,0,21,Hombre,Maya
703,0,21,Mujer,Maya
704,0,1,Hombre,Afrodescendiente/Creole/Afromestizo
704,0,6,Hombre,Ladina (o)
704,0,181,Hombre,Maya
704,0,1,Mujer,Afrodescendiente/Creole/Afromestizo
704,0,4,Mujer,Ladina (o)
704,0,186,Mujer,Maya
705,0,806,Hombre,Maya
705,0,765,Mujer,Maya
706,0,1,Hombre,Garífuna
706,0,629,Hombre,Maya
706,0,1,Mujer,Ladina (o)
706,0,576,Mujer,Maya
707,0,1,Hombre,Afrodescendiente/Creole/Afromestizo
707,0,92,Hombre,Maya
707,0,1,Mujer,Ladina (o)
707,0,96,Mujer,Maya
708,0,68,Hombre,Maya
708,0,2,Mujer,Afrodescendiente/Creole/Afromestizo
708,0,65,Mujer,Maya
709,0,5,Hombre,Ladina (o)
709,0,122,Hombre,Maya
709,0,1,Mujer,Extranjera (o)
709,0,8,Mujer,Ladina (o)
709,0,108,Mujer,Maya
710,0,21,Hombre,Ladina (o)
710,0,90,Hombre,Maya
710,0,31,Mujer,Ladina (o)
710,0,110,Mujer,Maya
711,0,36,Hombre,Maya
711,0,22,Mujer,Maya
712,0,5,Hombre,Ladina (o)
712,0,142,Hombre,Maya
712,0,5,Mujer,Ladina (o)
712,0,161,Mujer,Maya
713,0,1,Hombre,Afrodescendiente/Creole/Afromestizo
713,0,21,Hombre,Ladina (o)
713,0,276,Hombre,Maya
713,0,14,Mujer,Ladina (o)
713,0,287,Mujer,Maya
714,0,71,Hombre,Maya
714,0,1,Mujer,Ladina (o)
714,0,69,Mujer,Maya
715,0,50,Hombre,Maya
715,0,67,Mujer,Maya
716,0,16,Hombre,Maya
716,0,27,Mujer,Maya
717,0,114,Hombre,Maya
717,0,1,Mujer,Ladina (o)
717,0,120,Mujer,Maya
718,0,1,Hombre,Garífuna
718,0,2,Hombre,Ladina (o)
718,0,76,Hombre,Maya
718,0,1,Mujer,Extranjera (o)
718,0,78,Mujer,Maya
719,0,2,Hombre,Afrodescendiente/Creole/Afromestizo
719,0,1,Hombre,Extranjera (o)
719,0,3,Hombre,Ladina (o)
719,0,319,Hombre,Maya
719,0,1,Mujer,Afrodescendiente/Creole/Afromestizo
719,0,1,Mujer,Garífuna
719,0,13,Mujer,Ladina (o)
719,0,330,Mujer,Maya
601,1,1,Hombre,Extranjera (o)
601,1,370,Hombre,Ladina (o)
601,1,10,Hombre,Maya
601,1,11,Hombre,Xinka
601,1,1,Mujer,Extranjera (o)
601,1,372,Mujer,Ladina (o)
601,1,11,Mujer,Maya
601,1,10,Mujer,Xinka
602,1,2,Hombre,Afrodescendiente/Creole/Afromestizo
602,1,2,Hombre,Extranjera (o)
602,1,605,Hombre,Ladina (o)
602,1,11,Hombre,Maya
602,1,3,Hombre,Xinka
602,1,2,Mujer,Afrodescendiente/Creole/Afromestizo
602,1,561,Mujer,Ladina (o)
602,1,22,Mujer,Maya
602,1,1,Mujer,Xinka
603,1,1,Hombre,Garífuna
603,1,150,Hombre,Ladina (o)
603,1,8,Hombre,Maya
603,1,44,Hombre,Xinka
603,1,1,Mujer,Afrodescendiente/Creole/Afromestizo
603,1,2,Mujer,Extranjera (o)
603,1,147,Mujer,Ladina (o)
603,1,9,Mujer,Maya
603,1,43,Mujer,Xinka
604,1,1,Hombre,Afrodescendiente/Creole/Afromestizo
604,1,4,Hombre,Garífuna
604,1,106,Hombre,Ladina (o)
604,1,5,Hombre,Maya
604,1,148,Hombre,Xinka
604,1,1,Mujer,Afrodescendiente/Creole/Afromestizo
604,1,114,Mujer,Ladina (o)
604,1,1,Mujer,Maya
604,1,127,Mujer,Xinka
605,1,1,Hombre,Garífuna
605,1,102,Hombre,Ladina (o)
605,1,2,Hombre,Maya
605,1,31,Hombre,Xinka
605,1,1,Mujer,Afrodescendiente/Creole/Afromestizo
605,1,106,Mujer,Ladina (o)
605,1,5,Mujer,Maya
605,1,41,Mujer,Xinka
606,1,2,Hombre,Afrodescendiente/Creole/Afromestizo
606,1,3,Hombre,Extranjera (o)
606,1,270,Hombre,Ladina (o)
606,1,4,Hombre,Maya
606,1,3,Hombre,Xinka
606,1,1,Mujer,Afrodescendiente/Creole/Afromestizo
606,1,3,Mujer,Extranjera (o)
606,1,244,Mujer,Ladina (o)
606,1,3,Mujer,Maya
606,1,1,Mujer,Xinka
607,1,1,Hombre,Garífuna
607,1,72,Hombre,Ladina (o)
607,1,1,Hombre,Maya
607,1,44,Hombre,Xinka
607,1,1,Mujer,Garífuna
607,1,58,Mujer,Ladina (o)
607,1,37,Mujer,Xinka
608,1,3,Hombre,Afrodescendiente/Creole/Afromestizo
608,1,1,Hombre,Extranjera (o)
608,1,520,Hombre,Ladina (o)
608,1,14,Hombre,Maya
608,1,20,Hombre,Xinka
608,1,2,Mujer,Afrodescendiente/Creole/Afromestizo
