Id_Dep,Id_Mun,Departamento,Municipio,Pobl. Pueblo Orig,Pobl. Pueblo Maya
4,406,Chimaltenango,Tecpán Guatemala,85240,85049
4,407,Chimaltenango,Patzún,55487,55388
4,408,Chimaltenango,Pochuta,2438,2398
4,409,Chimaltenango,Patzicía,30039,30006
4,410,Chimaltenango,Santa Cruz Balanyá,9136,9126
4,411,Chimaltenango,Acatenango,15328,15279
4,412,Chimaltenango,Yepocapa,22537,22438
4,413,Chimaltenango,San Andrés Itzapa,23131,23072
4,414,Chimaltenango,Parramos,8106,7806
4,415,Chimaltenango,Zaragoza,7370,7218
4,416,Chimaltenango,El Tejar,6534,6394
5,501,Escuintla,Escuintla,6233,5828
5,502,Escuintla,Santa Lucía Cotzumalguapa,4425,4155
5,503,Escuintla,La Democracia,670,610
5,504,Escuintla,Siquinalá,1595,1541
5,505,Escuintla,Masagua,1301,1228
5,506,Escuintla,Tiquisate,1979,1769
5,507,Escuintla,La Gomera,1492,1297
5,508,Escuintla,Guanagazapa,2839,2792
5,509,Escuintla,San José,2159,1793
5,510,Escuintla,Iztapa,316,293
5,511,Escuintla,Palín,14140,13370
5,512,Escuintla,San Vicente Pacaya,831,809
5,513,Escuintla,Nueva Concepción,1364,1244
5,514,Escuintla,Sipacate,414,371
6,601,Santa Rosa,Cuilapa,2757,1015
6,602,Santa Rosa,Barberena,2242,1640
6,603,Santa Rosa,Santa Rosa de Lima,5584,467
6,604,Santa Rosa,Casillas,14545,312
6,605,Santa Rosa,San Rafael Las Flores,3350,276
6,606,Santa Rosa,Oratorio,802,330
6,607,Santa Rosa,San Juan Tecuaco,3698,54
6,608,Santa Rosa,Chiquimulilla,4196,787
6,609,Santa Rosa,Taxisco,1152,404
6,610,Santa Rosa,Santa María Ixhuatán,2153,415
6,611,Santa Rosa,Guazacapán,4580,177
6,612,Santa Rosa,Santa Cruz Naranjo,1389,659
6,613,Santa Rosa,Pueblo Nuevo Viñas,697,453
6,614,Santa Rosa,Nueva Santa Rosa,18104,874
7,701,Sololá,Sololá,83879,83767
7,702,Sololá,San José Chacayá,3931,3925
7,703,Sololá,Santa María Visitación,2327,2322
7,704,Sololá,Santa Lucía Utatlán,20709,20623
7,705,Sololá,Nahualá,75344,75274
7,706,Sololá,Santa Catarina Ixtahuacán,56867,56838
7,707,Sololá,Santa Clara La Laguna,9301,9289
7,708,Sololá,Concepción,6589,6578
7,709,Sololá,San Andrés Semetabaj,12226,12129
7,710,Sololá,Panajachel,11537,11498
7,711,Sololá,Santa Catarina Palopó,3914,3913
7,712,Sololá,San Antonio Palopó,13691,13690
7,713,Sololá,San Lucas Tolimán,27758,27703
7,714,Sololá,Santa Cruz La Laguna,5792,5781
7,715,Sololá,San Pablo La Laguna,7289,7276
7,716,Sololá,San Marcos La Laguna,2549,2548
7,717,Sololá,San Juan La Laguna,12039,11978
7,718,Sololá,San Pedro La Laguna,10425,10372
7,719,Sololá,Santiago Atitlán,40916,40791
8,801,Totonicapán,Totonicapán,101077,100799
8,802,Totonicapán,San Cristóbal Totonicapán,33704,33606
8,803,Totonicapán,San Francisco El Alto,57243,57182
8,804,Totonicapán,San Andrés Xecul,26695,26633
8,805,Totonicapán,Momostenango,104526,104415
8,806,Totonicapán,Santa María Chiquimula,54897,54829
8,807,Totonicapán,Santa Lucía La Reforma,22315,22297
8,808,Totonicapán,San Bartolo,10442,10434
9,901,Quetzaltenango,Quetzaltenango,84858,84326
9,902,Quetzaltenango,Salcajá,7195,7156
