MUNICIPIO,PCP7,Recuento de PCP1,PCP6||Sexo,PCP23_A||Lee-Escribe Idioma 1,PCP23_B||Lee-Escribe Idioma 2,PCP23_C||Lee-Escribe Idioma 3
201,7,1,Hombre,Español,Akateko,
201,7,1,Mujer,Español,Inglés,
201,7,1,Mujer,Garífuna,,
202,7,1,Hombre,Achí,Español,
203,7,1,Mujer,Xinka,Español,
204,7,1,Mujer,Q'eqchi',,
206,7,1,Mujer,Achí,Español,
207,7,1,Hombre,Español,Achí,
207,7,1,Hombre,Español,Q'eqchi',
207,7,1,Mujer,Español,Inglés,
207,7,1,Mujer,Mam,,
208,7,1,Hombre,Akateko,,
208,7,1,Hombre,Q'eqchi',Español,
208,7,1,Mujer,Achí,,
208,7,1,Mujer,Español,Achí,
501,7,1,Hombre,Achí,,
501,7,1,Hombre,Achí,Español,
501,7,1,Hombre,Akateko,,
501,7,1,Hombre,Español,Kaqchiquel,
501,7,1,Hombre,Español,K'iche',
501,7,1,Hombre,Inglés,,
501,7,1,Hombre,Tz'utujil,,
501,7,1,Mujer,Achí,Español,
501,7,1,Mujer,Español,Achí,
501,7,1,Mujer,Inglés,,
501,7,1,Mujer,Otro idioma,,
501,7,1,Mujer,Señas,,
502,7,1,Hombre,Achí,Español,
502,7,1,Hombre,Akateko,,
502,7,1,Hombre,K'iche',Español,
502,7,1,Mujer,Akateko,,
502,7,1,Mujer,Akateko,Inglés,
502,7,1,Mujer,Chalchiteko,,
502,7,1,Mujer,Español,Inglés,
503,7,1,Hombre,Español,Inglés,
504,7,1,Hombre,Español,K'iche',
504,7,1,Hombre,K'iche',,
504,7,1,Mujer,Akateko,,
505,7,1,Hombre,Achí,Español,
505,7,1,Mujer,Akateko,,
506,7,1,Hombre,Garífuna,,
506,7,1,Hombre,Q'eqchi',,
506,7,1,Mujer,K'iche',Español,
506,7,1,Mujer,Uspanteka,,
507,7,1,Hombre,Achí,Español,
507,7,1,Hombre,K'iche',Achí,Español
507,7,1,Hombre,K'iche',Español,
507,7,1,Mujer,Chalchiteko,Español,
507,7,1,Mujer,Español,Achí,
507,7,1,Mujer,Español,Q'eqchi',
507,7,1,Mujer,Tektiteka,,
508,7,1,Mujer,Español,Mam,
509,7,1,Hombre,Achí,Español,
509,7,1,Hombre,Español,Inglés,Achí
509,7,1,Mujer,Akateko,,
509,7,1,Mujer,Inglés,,
509,7,1,Mujer,Otro idioma,,
510,7,1,Hombre,Akateko,,
510,7,1,Hombre,Español,Achí,
510,7,1,Mujer,Awakateko,,
510,7,1,Mujer,Español,Q'eqchi',
511,7,1,Hombre,Español,Awakateko,
511,7,1,Hombre,Español,Inglés,
511,7,1,Hombre,Español,Poqomam,
511,7,1,Hombre,Poqomam,Español,
511,7,1,Mujer,Español,Achí,
511,7,1,Mujer,Español,Akateko,
511,7,1,Mujer,Poqomam,Español,
511,7,1,Mujer,Tz'utujil,,
513,7,1,Mujer,Chalchiteko,,
513,7,1,Mujer,Español,Kaqchiquel,
513,7,1,Mujer,Mam,,
201,8,1,Hombre,Español,Achí,
201,8,1,Hombre,Kaqchiquel,,
202,8,1,Hombre,Español,Akateko,
203,8,1,Hombre,Achí,Español,
203,8,1,Hombre,Akateko,,
203,8,1,Hombre,Español,K'iche',
203,8,1,Hombre,K'iche',Español,
203,8,1,Mujer,Achí,Español,
203,8,1,Mujer,Akateko,,
204,8,1,Hombre,Q'eqchi',Español,
