MUNICIPIO,PCP7,Recuento de PCP1,PCP6||Sexo,PCP13||Comunidad Lingüística
301,0,252,Hombre,
301,0,4,Hombre,Achi
301,0,2,Hombre,Akateka
301,0,2,Hombre,Chalchiteka
301,0,36,Hombre,Kaqchiquel
301,0,3,Hombre,K'iche'
301,0,1,Hombre,Q'eqchi'
301,0,1,Hombre,Tz'utujil
301,0,227,Mujer,
301,0,6,Mujer,Achi
301,0,1,Mujer,Akateka
301,0,1,Mujer,Ixil
301,0,34,Mujer,Kaqchiquel
301,0,4,Mujer,K'iche'
301,1,334,Hombre,
301,1,4,Hombre,Achi
301,1,2,Hombre,Chalchiteka
301,1,1,Hombre,Ixil
301,1,35,Hombre,Kaqchiquel
301,1,4,Hombre,K'iche'
301,1,1,Hombre,Mam
301,1,1,Hombre,Mopan
301,1,273,Mujer,
301,1,4,Mujer,Achi
301,1,1,Mujer,Chalchiteka
301,1,26,Mujer,Kaqchiquel
301,1,2,Mujer,K'iche'
301,1,2,Mujer,Q'anjob'al
301,1,1,Mujer,Q'eqchi'
301,1,1,Mujer,Tz'utujil
301,2,347,Hombre,
301,2,7,Hombre,Achi
301,2,3,Hombre,Chalchiteka
301,2,28,Hombre,Kaqchiquel
301,2,5,Hombre,K'iche'
301,2,2,Hombre,Q'eqchi'
301,2,1,Hombre,Tz'utujil
301,2,309,Mujer,
301,2,7,Mujer,Achi
301,2,2,Mujer,Chalchiteka
301,2,1,Mujer,Ixil
301,2,39,Mujer,Kaqchiquel
301,2,4,Mujer,K'iche'
301,2,1,Mujer,Mam
301,3,344,Hombre,
301,3,3,Hombre,Achi
301,3,1,Hombre,Chuj
301,3,37,Hombre,Kaqchiquel
301,3,3,Hombre,K'iche'
301,3,2,Hombre,Q'eqchi'
301,3,357,Mujer,
301,3,6,Mujer,Achi
301,3,1,Mujer,Akateka
301,3,1,Mujer,Chalchiteka
301,3,38,Mujer,Kaqchiquel
301,3,6,Mujer,K'iche'
301,3,1,Mujer,Mam
301,3,1,Mujer,Q'eqchi'
301,3,1,Mujer,Tz'utujil
301,4,332,Hombre,
301,4,8,Hombre,Achi
301,4,1,Hombre,Chalchiteka
301,4,1,Hombre,Ixil
301,4,39,Hombre,Kaqchiquel
301,4,6,Hombre,K'iche'
301,4,325,Mujer,
301,4,3,Mujer,Achi
301,4,1,Mujer,Akateka
301,4,2,Mujer,Chalchiteka
301,4,42,Mujer,Kaqchiquel
301,4,10,Mujer,K'iche'
301,4,2,Mujer,Mam
301,4,1,Mujer,Q'anjob'al
301,4,1,Mujer,Tz'utujil
301,5,290,Hombre,
301,5,1,Hombre,Achi
301,5,2,Hombre,Chalchiteka
301,5,39,Hombre,Kaqchiquel
301,5,5,Hombre,K'iche'
301,5,1,Hombre,Mam
301,5,1,Hombre,Poqomam
301,5,324,Mujer,
301,5,5,Mujer,Achi
301,5,1,Mujer,Chalchiteka
301,5,1,Mujer,Chuj
301,5,1,Mujer,Ixil
301,5,34,Mujer,Kaqchiquel
301,5,3,Mujer,K'iche'
301,5,1,Mujer,Tz'utujil
301,6,350,Hombre,
301,6,4,Hombre,Achi
301,6,33,Hombre,Kaqchiquel
301,6,6,Hombre,K'iche'
301,6,1,Hombre,Mam
301,6,332,Mujer,
301,6,5,Mujer,Achi
301,6,2,Mujer,Chalchiteka
301,6,31,Mujer,Kaqchiquel
301,6,7,Mujer,K'iche'
301,6,1,Mujer,Mam
301,6,1,Mujer,Q'eqchi'
301,6,1,Mujer,Tz'utujil
301,7,307,Hombre,
301,7,6,Hombre,Achi
301,7,1,Hombre,Akateka
301,7,2,Hombre,Ixil
301,7,26,Hombre,Kaqchiquel
301,7,8,Hombre,K'iche'
301,7,1,Hombre,Mam
301,7,1,Hombre,Q'eqchi'
301,7,325,Mujer,
301,7,6,Mujer,Achi
301,7,4,Mujer,Chalchiteka
301,7,1,Mujer,Ixil
301,7,41,Mujer,Kaqchiquel
301,7,8,Mujer,K'iche'
301,7,1,Mujer,Q'anjob'al
301,8,308,Hombre,
301,8,13,Hombre,Achi
301,8,1,Hombre,Chalchiteka
301,8,50,Hombre,Kaqchiquel
301,8,6,Hombre,K'iche'
301,8,1,Hombre,Mam
301,8,3,Hombre,Q'eqchi'
301,8,1,Hombre,Tz'utujil
301,8,312,Mujer,
301,8,3,Mujer,Achi
301,8,42,Mujer,Kaqchiquel
301,8,2,Mujer,K'iche'
301,9,328,Hombre,
301,9,5,Hombre,Achi
301,9,1,Hombre,Akateka
301,9,2,Hombre,Chalchiteka
301,9,33,Hombre,Kaqchiquel
301,9,5,Hombre,K'iche'
301,9,3,Hombre,Mam
301,9,345,Mujer,
301,9,5,Mujer,Achi
301,9,1,Mujer,Chalchiteka
301,9,1,Mujer,Ixil
301,9,33,Mujer,Kaqchiquel
301,9,5,Mujer,K'iche'
301,9,3,Mujer,Mam
301,9,1,Mujer,Q'anjob'al
301,9,2,Mujer,Q'eqchi'
301,10,377,Hombre,
301,10,2,Hombre,Achi
301,10,1,Hombre,Akateka
301,10,1,Hombre,Chalchiteka
301,10,1,Hombre,Ixil
301,10,49,Hombre,Kaqchiquel
301,10,4,Hombre,K'iche'
301,10,1,Hombre,Q'eqchi'
301,10,1,Hombre,Tz'utujil
301,10,318,Mujer,
301,10,8,Mujer,Achi
301,10,1,Mujer,Chalchiteka
301,10,1,Mujer,Ixil
301,10,49,Mujer,Kaqchiquel
301,10,4,Mujer,K'iche'
301,10,2,Mujer,Mam
301,11,342,Hombre,
301,11,3,Hombre,Achi
301,11,2,Hombre,Akateka
301,11,1,Hombre,Chalchiteka
301,11,2,Hombre,Ixil
301,11,26,Hombre,Kaqchiquel
301,11,2,Hombre,K'iche'
301,11,1,Hombre,Mam
