MUNICIPIO,PCP7,Recuento de PCP1,PCP6||Sexo,PCP12||Autoidentificación
101,0,19,Hombre,Afrodescendiente/Creole/Afromestizo
101,0,22,Hombre,Extranjera (o)
101,0,9,Hombre,Garífuna
101,0,5979,Hombre,Ladina (o)
101,0,410,Hombre,Maya
101,0,6,Hombre,Xinka
101,0,12,Mujer,Afrodescendiente/Creole/Afromestizo
101,0,15,Mujer,Extranjera (o)
101,0,6,Mujer,Garífuna
101,0,5631,Mujer,Ladina (o)
101,0,405,Mujer,Maya
101,0,6,Mujer,Xinka
102,0,1,Hombre,Extranjera (o)
102,0,569,Hombre,Ladina (o)
102,0,15,Hombre,Maya
102,0,2,Mujer,Afrodescendiente/Creole/Afromestizo
102,0,2,Mujer,Extranjera (o)
102,0,565,Mujer,Ladina (o)
102,0,20,Mujer,Maya
103,0,1,Hombre,Afrodescendiente/Creole/Afromestizo
103,0,661,Hombre,Ladina (o)
103,0,28,Hombre,Maya
103,0,1,Hombre,Xinka
103,0,1,Mujer,Extranjera (o)
103,0,1,Mujer,Garífuna
103,0,659,Mujer,Ladina (o)
103,0,25,Mujer,Maya
103,0,2,Mujer,Xinka
104,0,67,Hombre,Ladina (o)
104,0,1,Hombre,Maya
104,0,1,Hombre,Xinka
104,0,56,Mujer,Ladina (o)
105,0,737,Hombre,Ladina (o)
105,0,10,Hombre,Maya
105,0,2,Mujer,Afrodescendiente/Creole/Afromestizo
105,0,745,Mujer,Ladina (o)
105,0,5,Mujer,Maya
106,0,3,Hombre,Afrodescendiente/Creole/Afromestizo
106,0,2,Hombre,Garífuna
106,0,799,Hombre,Ladina (o)
106,0,180,Hombre,Maya
106,0,4,Mujer,Afrodescendiente/Creole/Afromestizo
106,0,2,Mujer,Garífuna
106,0,809,Mujer,Ladina (o)
106,0,190,Mujer,Maya
106,0,1,Mujer,Xinka
107,0,1,Hombre,Afrodescendiente/Creole/Afromestizo
107,0,1,Hombre,Garífuna
107,0,437,Hombre,Ladina (o)
107,0,147,Hombre,Maya
107,0,1,Hombre,Xinka
107,0,1,Mujer,Afrodescendiente/Creole/Afromestizo
107,0,1,Mujer,Garífuna
107,0,458,Mujer,Ladina (o)
107,0,149,Mujer,Maya
108,0,4,Hombre,Afrodescendiente/Creole/Afromestizo
108,0,8,Hombre,Extranjera (o)
108,0,3,Hombre,Garífuna
108,0,2959,Hombre,Ladina (o)
108,0,284,Hombre,Maya
108,0,5,Hombre,Xinka
108,0,8,Mujer,Afrodescendiente/Creole/Afromestizo
108,0,11,Mujer,Extranjera (o)
108,0,3,Mujer,Garífuna
108,0,2865,Mujer,Ladina (o)
108,0,272,Mujer,Maya
108,0,1,Mujer,Xinka
109,0,3,Hombre,Afrodescendiente/Creole/Afromestizo
109,0,1,Hombre,Garífuna
109,0,128,Hombre,Ladina (o)
109,0,399,Hombre,Maya
109,0,2,Mujer,Afrodescendiente/Creole/Afromestizo
109,0,1,Mujer,Garífuna
109,0,111,Mujer,Ladina (o)
109,0,359,Mujer,Maya
110,0,3,Hombre,Afrodescendiente/Creole/Afromestizo
110,0,2,Hombre,Extranjera (o)
110,0,3,Hombre,Garífuna
110,0,723,Hombre,Ladina (o)
110,0,1584,Hombre,Maya
110,0,1,Hombre,Xinka
110,0,3,Mujer,Afrodescendiente/Creole/Afromestizo
110,0,1,Mujer,Extranjera (o)
110,0,648,Mujer,Ladina (o)
110,0,1521,Mujer,Maya
110,0,1,Mujer,Xinka
111,0,1,Hombre,Garífuna
111,0,74,Hombre,Ladina (o)
111,0,269,Hombre,Maya
111,0,66,Mujer,Ladina (o)
111,0,254,Mujer,Maya
112,0,1,Hombre,Afrodescendiente/Creole/Afromestizo
112,0,14,Hombre,Ladina (o)
112,0,145,Hombre,Maya
112,0,17,Mujer,Ladina (o)
112,0,133,Mujer,Maya
113,0,2,Hombre,Afrodescendiente/Creole/Afromestizo
113,0,2,Hombre,Extranjera (o)
113,0,1,Hombre,Garífuna
113,0,419,Hombre,Ladina (o)
113,0,16,Hombre,Maya
113,0,1,Hombre,Xinka
113,0,3,Mujer,Afrodescendiente/Creole/Afromestizo
113,0,2,Mujer,Extranjera (o)
113,0,398,Mujer,Ladina (o)
113,0,12,Mujer,Maya
114,0,3,Hombre,Afrodescendiente/Creole/Afromestizo
114,0,982,Hombre,Ladina (o)
114,0,41,Hombre,Maya
114,0,2,Mujer,Afrodescendiente/Creole/Afromestizo
114,0,1,Mujer,Extranjera (o)
114,0,1,Mujer,Garífuna
114,0,994,Mujer,Ladina (o)
114,0,26,Mujer,Maya
115,0,7,Hombre,Afrodescendiente/Creole/Afromestizo
115,0,7,Hombre,Extranjera (o)
115,0,7,Hombre,Garífuna
115,0,3217,Hombre,Ladina (o)
115,0,130,Hombre,Maya
115,0,2,Hombre,Xinka
115,0,4,Mujer,Afrodescendiente/Creole/Afromestizo
115,0,5,Mujer,Extranjera (o)
115,0,2,Mujer,Garífuna
115,0,3232,Mujer,Ladina (o)
115,0,145,Mujer,Maya
115,0,2,Mujer,Xinka
116,0,1,Hombre,Afrodescendiente/Creole/Afromestizo
116,0,3,Hombre,Extranjera (o)
116,0,1,Hombre,Garífuna
116,0,1408,Hombre,Ladina (o)
116,0,32,Hombre,Maya
116,0,3,Hombre,Xinka
116,0,4,Mujer,Extranjera (o)
116,0,2,Mujer,Garífuna
116,0,1328,Mujer,Ladina (o)
116,0,31,Mujer,Maya
117,0,1,Hombre,Afrodescendiente/Creole/Afromestizo
117,0,4,Hombre,Extranjera (o)
117,0,2,Hombre,Garífuna
