MUNICIPIO,PCP7,Recuento de PCP1,PCP6||Sexo,"PCP14||Utiliza ropa maya, garífuna, afrodescendiente o xinka"
920,18,1380,Hombre,
920,18,1300,Mujer,
920,17,1284,Mujer,
901,22,1230,Hombre,
920,17,1227,Hombre,
901,22,1190,Mujer,
920,15,1174,Mujer,
920,5,1172,Hombre,
920,5,1169,Mujer,
920,15,1162,Hombre,
920,8,1161,Hombre,
920,12,1161,Hombre,
901,25,1156,Mujer,
920,7,1155,Mujer,
901,18,1154,Mujer,
920,4,1148,Hombre,
920,20,1148,Mujer,
920,2,1143,Hombre,
920,13,1140,Hombre,
920,16,1140,Mujer,
920,3,1136,Mujer,
901,18,1136,Hombre,
901,23,1129,Hombre,
920,16,1122,Hombre,
901,17,1120,Hombre,
901,25,1118,Hombre,
920,6,1116,Mujer,
901,23,1116,Mujer,
920,2,1114,Mujer,
901,19,1113,Hombre,
920,22,1113,Mujer,
920,4,1110,Mujer,
920,7,1107,Hombre,
920,3,1105,Hombre,
920,10,1102,Mujer,
920,23,1100,Mujer,
901,20,1098,Hombre,
901,20,1091,Mujer,
920,14,1089,Hombre,
901,24,1087,Hombre,
901,24,1083,Mujer,
920,1,1082,Mujer,
920,6,1082,Hombre,
920,19,1078,Mujer,
920,10,1077,Hombre,
920,13,1077,Mujer,
920,20,1077,Hombre,
901,21,1077,Hombre,
920,22,1076,Hombre,
920,19,1075,Hombre,
920,1,1074,Hombre,
901,17,1074,Mujer,
920,25,1072,Mujer,
920,9,1071,Mujer,
901,30,1069,Hombre,
920,14,1068,Mujer,
920,12,1058,Mujer,
901,28,1057,Hombre,
901,16,1043,Hombre,
901,19,1042,Mujer,
901,28,1039,Mujer,
901,15,1036,Hombre,
901,21,1035,Mujer,
920,11,1027,Hombre,
920,9,1017,Hombre,
920,25,1015,Hombre,
920,23,1013,Hombre,
920,24,1012,Mujer,
920,8,1011,Mujer,
901,16,1010,Mujer,
920,0,1009,Hombre,
901,15,1008,Mujer,
901,26,1008,Mujer,
901,4,1007,Hombre,
901,3,1004,Hombre,
901,10,1002,Hombre,
901,27,1002,Mujer,
901,30,999,Mujer,
920,24,996,Hombre,
901,26,992,Hombre,
901,2,984,Hombre,
901,6,982,Hombre,
901,14,976,Hombre,
901,27,972,Hombre,
901,13,971,Hombre,
920,0,967,Mujer,
901,5,965,Hombre,
920,28,962,Mujer,
901,4,961,Mujer,
901,14,960,Mujer,
920,27,953,Mujer,
901,3,952,Mujer,
901,5,948,Mujer,
901,2,947,Mujer,
920,30,942,Mujer,
901,12,940,Hombre,
901,8,934,Hombre,
920,11,931,Mujer,
920,21,931,Mujer,
901,32,928,Mujer,
901,6,922,Mujer,
901,1,920,Hombre,
920,21,920,Hombre,
920,28,920,Hombre,
901,29,917,Mujer,
901,35,915,Mujer,
901,13,914,Mujer,
901,11,909,Hombre,
920,26,899,Mujer,
1705,17,892,Hombre,
901,7,887,Hombre,
901,9,884,Mujer,
901,1,883,Mujer,
901,38,882,Mujer,
901,12,875,Mujer,
920,30,874,Hombre,
920,26,869,Hombre,
901,29,868,Hombre,
1705,5,862,Hombre,
901,8,859,Mujer,
901,9,858,Hombre,
901,18,858,Hombre,No
901,7,857,Mujer,
901,10,851,Mujer,
901,32,848,Hombre,
901,0,846,Hombre,
901,11,844,Mujer,
901,33,844,Mujer,
1705,2,839,Hombre,
920,27,839,Hombre,
901,40,838,Mujer,
1705,2,837,Mujer,
1705,5,834,Mujer,
1705,18,833,Hombre,
1705,4,823,Mujer,
901,35,817,Hombre,
901,17,814,Hombre,No
1705,6,813,Hombre,
1705,3,811,Hombre,
1705,18,809,Mujer,
901,36,808,Mujer,
901,34,804,Mujer,
1705,4,797,Hombre,
901,37,797,Mujer,
920,33,796,Mujer,
920,35,796,Mujer,
1705,7,792,Hombre,
901,38,790,Hombre,
1705,17,789,Mujer,
901,22,786,Hombre,No
1705,8,784,Hombre,
1705,1,781,Hombre,
1705,3,778,Mujer,
901,0,775,Mujer,
901,33,768,Hombre,
920,32,767,Mujer,
901,42,766,Mujer,
1705,10,764,Hombre,
920,38,762,Mujer,
901,40,762,Hombre,
1705,15,758,Hombre,
920,40,757,Mujer,
1705,9,756,Hombre,
920,29,749,Mujer,
1705,6,744,Mujer,
1705,7,742,Mujer,
1705,14,740,Hombre,
1705,19,740,Hombre,
1705,13,739,Hombre,
1705,19,737,Mujer,
901,20,737,Hombre,No
1705,1,736,Mujer,
1705,16,736,Mujer,
901,34,733,Hombre,
920,29,732,Hombre,
901,23,729,Hombre,No
901,24,726,Hombre,No
920,37,726,Mujer,
901,16,725,Hombre,No
901,25,725,Hombre,No
901,39,714,Mujer,
1705,0,713,Hombre,
1705,8,713,Mujer,
1705,10,713,Mujer,
