MUNICIPIO,PCP7,Recuento de PCP1,PCP6||Sexo,PCP23_A||Lee-Escribe Idioma 1,PCP23_B||Lee-Escribe Idioma 2,PCP23_C||Lee-Escribe Idioma 3
1801,7,1,Hombre,Chalchiteko,,
1801,7,1,Hombre,Español,Akateko,
1801,7,1,Hombre,Español,Inglés,
1801,7,1,Hombre,Q'eqchi',Español,
1801,7,1,Hombre,Tz'utujil,,
1801,7,1,Mujer,Chalchiteko,,
1801,7,1,Mujer,Español,Awakateko,
1801,7,1,Mujer,Inglés,,
1801,7,1,Mujer,K'iche',Español,
1801,7,1,Mujer,Tz'utujil,,
1802,7,1,Hombre,Español,Achí,
1802,7,1,Hombre,Español,Awakateko,
1802,7,1,Hombre,Garífuna,Español,
1802,7,1,Hombre,Q'eqchi',Akateko,
1802,7,1,Mujer,Español,Garífuna,
1803,7,1,Hombre,Akateko,,
1803,7,1,Hombre,Español,Akateko,
1803,7,1,Hombre,Español,Q'eqchi',
1803,7,1,Mujer,Español,Mam,
1804,7,1,Hombre,Akateko,,
1804,7,1,Hombre,Q'eqchi',Español,
1804,7,1,Mujer,Achí,Español,
1804,7,1,Mujer,Español,Achí,
1804,7,1,Mujer,Español,Inglés,
1804,7,1,Mujer,K'iche',Español,
1804,7,1,Mujer,Q'eqchi',Inglés,
1804,7,1,Mujer,Tektiteka,,
1805,7,1,Hombre,Español,Q'eqchi',
1805,7,1,Mujer,Español,Akateko,
1805,7,1,Mujer,Q'eqchi',,
1805,7,1,Mujer,Uspanteka,,
2101,7,1,Hombre,Awakateko,,
2101,7,1,Hombre,Español,Inglés,Xinka
2101,7,1,Hombre,Inglés,,
2101,7,1,Hombre,Inglés,Español,
2101,7,1,Mujer,Achí,Español,
2101,7,1,Mujer,Akateko,Español,
2101,7,1,Mujer,Español,Awakateko,
2101,7,1,Mujer,Español,Inglés,Xinka
2101,7,1,Mujer,Español,Xinka,Inglés
2101,7,1,Mujer,Inglés,,
2101,7,1,Mujer,Uspanteka,,
2102,7,1,Hombre,Chalchiteko,,
2102,7,1,Hombre,Español,Akateko,
2102,7,1,Hombre,Español,Poqomam,
2102,7,1,Hombre,Garífuna,,
2102,7,1,Mujer,Achí,Español,
2103,7,1,Mujer,Español,Achí,
2103,7,1,Mujer,Español,Akateko,
2104,7,1,Hombre,Akateko,,
2105,7,1,Mujer,Akateko,,
2106,7,1,Mujer,Español,Akateko,
2107,7,1,Hombre,Akateko,,
2107,7,1,Hombre,Español,Akateko,
2107,7,1,Hombre,Tz'utujil,,
2107,7,1,Mujer,Achí,Español,
2107,7,1,Mujer,Akateko,,
2107,7,1,Mujer,Akateko,Español,
2107,7,1,Mujer,Español,Akateko,
2107,7,1,Mujer,K'iche',,
2107,7,1,Mujer,K'iche',Español,
1801,8,1,Hombre,Español,Inglés,
1801,8,1,Hombre,Garífuna,Español,
1801,8,1,Hombre,Inglés,,
1801,8,1,Mujer,Achí,Español,
1801,8,1,Mujer,Chalchiteko,,
1801,8,1,Mujer,Español,Akateko,
1801,8,1,Mujer,Español,Inglés,
1801,8,1,Mujer,Español,K'iche',
1801,8,1,Mujer,Español,Q'eqchi',
1801,8,1,Mujer,K'iche',,
1801,8,1,Mujer,Otro idioma,,
1801,8,1,Mujer,Tektiteka,,
1801,8,1,Mujer,Xinka,,
1802,8,1,Hombre,Achí,Español,
1802,8,1,Hombre,Español,Akateko,
1802,8,1,Hombre,Español,Awakateko,
1802,8,1,Hombre,Garífuna,Español,
1802,8,1,Hombre,Sakapulteka,Akateko,
1802,8,1,Mujer,Chalchiteko,,
1802,8,1,Mujer,Español,Q'eqchi',Achí
1802,8,1,Mujer,Garífuna,,
1802,8,1,Mujer,Inglés,Español,
1802,8,1,Mujer,Otro idioma,,
1802,8,1,Mujer,Q'eqchi',Achí,
1802,8,1,Mujer,Q'eqchi',Akateko,
1803,8,1,Hombre,Q'eqchi',Español,Achí
1803,8,1,Hombre,Señas,,
1803,8,1,Mujer,Español,Akateko,
1803,8,1,Mujer,Señas,,
1804,8,1,Hombre,Achí,Español,
1804,8,1,Hombre,Akateko,,
