MUNICIPIO,PCP7,Recuento de PCP1,PCP6||Sexo,PCP13||Comunidad Lingüística
1301,0,1009,Hombre,
1301,0,4,Hombre,Akateka
1301,0,2,Hombre,Awakateka
1301,0,5,Hombre,Chalchiteka
1301,0,3,Hombre,Chuj
1301,0,18,Hombre,K'iche'
1301,0,14,Hombre,Mam
1301,0,35,Hombre,Q'anjob'al
1301,0,1038,Mujer,
1301,0,4,Mujer,Akateka
1301,0,2,Mujer,Awakateka
1301,0,4,Mujer,Chalchiteka
1301,0,2,Mujer,Chuj
1301,0,1,Mujer,Jakalteko/Popti'
1301,0,2,Mujer,Kaqchiquel
1301,0,20,Mujer,K'iche'
1301,0,16,Mujer,Mam
1301,0,18,Mujer,Q'anjob'al
1301,1,1009,Hombre,
1301,1,3,Hombre,Akateka
1301,1,1,Hombre,Awakateka
1301,1,2,Hombre,Chalchiteka
1301,1,2,Hombre,Chuj
1301,1,2,Hombre,Jakalteko/Popti'
1301,1,17,Hombre,K'iche'
1301,1,13,Hombre,Mam
1301,1,29,Hombre,Q'anjob'al
1301,1,2,Hombre,Q'eqchi'
1301,1,1036,Mujer,
1301,1,2,Mujer,Akateka
1301,1,3,Mujer,Awakateka
1301,1,2,Mujer,Chalchiteka
1301,1,2,Mujer,Chuj
1301,1,1,Mujer,Ixil
1301,1,15,Mujer,K'iche'
1301,1,15,Mujer,Mam
1301,1,22,Mujer,Q'anjob'al
1301,1,1,Mujer,Sakapulteka
1301,2,1134,Hombre,
1301,2,3,Hombre,Akateka
1301,2,1,Hombre,Chalchiteka
1301,2,3,Hombre,Chuj
1301,2,2,Hombre,Jakalteko/Popti'
1301,2,1,Hombre,Kaqchiquel
1301,2,29,Hombre,K'iche'
1301,2,21,Hombre,Mam
1301,2,1,Hombre,Poqomam
1301,2,35,Hombre,Q'anjob'al
1301,2,1,Hombre,Q'eqchi'
1301,2,1,Hombre,Sakapulteka
1301,2,1107,Mujer,
1301,2,6,Mujer,Akateka
1301,2,2,Mujer,Awakateka
1301,2,1,Mujer,Chalchiteka
1301,2,2,Mujer,Chuj
1301,2,25,Mujer,K'iche'
1301,2,20,Mujer,Mam
1301,2,33,Mujer,Q'anjob'al
1301,3,1128,Hombre,
1301,3,5,Hombre,Akateka
1301,3,1,Hombre,Chuj
1301,3,19,Hombre,K'iche'
1301,3,21,Hombre,Mam
1301,3,24,Hombre,Q'anjob'al
1301,3,1,Hombre,Q'eqchi'
1301,3,1104,Mujer,
1301,3,3,Mujer,Akateka
1301,3,3,Mujer,Awakateka
1301,3,2,Mujer,Chalchiteka
1301,3,3,Mujer,Chuj
1301,3,1,Mujer,Jakalteko/Popti'
