Id_Dep,Id_Mun,Departamento,Municipio,Grupo Edad,Pobl. Grupo Edad
1,108,Guatemala,Mixco,100 o más,42
1,108,Guatemala,Mixco,15 - 19,43757
1,108,Guatemala,Mixco,20 - 24,44912
1,108,Guatemala,Mixco,25 - 29,42540
1,108,Guatemala,Mixco,30 - 34,37233
1,108,Guatemala,Mixco,35 - 39,36493
1,108,Guatemala,Mixco,40 - 44,30295
1,108,Guatemala,Mixco,45 - 49,24636
1,108,Guatemala,Mixco,5 - 9,38487
1,108,Guatemala,Mixco,50 - 54,22131
1,108,Guatemala,Mixco,55 - 59,18800
1,108,Guatemala,Mixco,60 - 64,15836
1,108,Guatemala,Mixco,65 - 69,12690
1,108,Guatemala,Mixco,70  - 74,8963
1,108,Guatemala,Mixco,75 - 79,5937
1,108,Guatemala,Mixco,80 - 84,3796
1,108,Guatemala,Mixco,85 - 89,2272
1,108,Guatemala,Mixco,90  - 94,794
1,108,Guatemala,Mixco,95 - 99,234
1,109,Guatemala,San Pedro Sacatepéquez,0 - 4,5399
1,109,Guatemala,San Pedro Sacatepéquez,10 - 14,5217
1,109,Guatemala,San Pedro Sacatepéquez,100 o más,1
1,109,Guatemala,San Pedro Sacatepéquez,15 - 19,5542
1,109,Guatemala,San Pedro Sacatepéquez,20 - 24,5372
1,109,Guatemala,San Pedro Sacatepéquez,25 - 29,4607
1,109,Guatemala,San Pedro Sacatepéquez,30 - 34,3852
1,109,Guatemala,San Pedro Sacatepéquez,35 - 39,3599
1,109,Guatemala,San Pedro Sacatepéquez,40 - 44,2960
1,109,Guatemala,San Pedro Sacatepéquez,45 - 49,2376
1,109,Guatemala,San Pedro Sacatepéquez,5 - 9,5315
1,109,Guatemala,San Pedro Sacatepéquez,50 - 54,1901
1,109,Guatemala,San Pedro Sacatepéquez,55 - 59,1575
1,109,Guatemala,San Pedro Sacatepéquez,60 - 64,1134
1,109,Guatemala,San Pedro Sacatepéquez,65 - 69,924
1,109,Guatemala,San Pedro Sacatepéquez,70  - 74,615
1,109,Guatemala,San Pedro Sacatepéquez,75 - 79,410
1,109,Guatemala,San Pedro Sacatepéquez,80 - 84,277
1,109,Guatemala,San Pedro Sacatepéquez,85 - 89,163
1,109,Guatemala,San Pedro Sacatepéquez,90  - 94,41
1,109,Guatemala,San Pedro Sacatepéquez,95 - 99,12
1,110,Guatemala,San Juan Sacatepéquez,0 - 4,23954
1,110,Guatemala,San Juan Sacatepéquez,10 - 14,24328
1,110,Guatemala,San Juan Sacatepéquez,100 o más,2
1,110,Guatemala,San Juan Sacatepéquez,15 - 19,24983
1,110,Guatemala,San Juan Sacatepéquez,20 - 24,22939
1,110,Guatemala,San Juan Sacatepéquez,25 - 29,18627
1,110,Guatemala,San Juan Sacatepéquez,30 - 34,14997
1,110,Guatemala,San Juan Sacatepéquez,35 - 39,14314
1,110,Guatemala,San Juan Sacatepéquez,40 - 44,12254
1,110,Guatemala,San Juan Sacatepéquez,45 - 49,9097
1,110,Guatemala,San Juan Sacatepéquez,5 - 9,23634
1,110,Guatemala,San Juan Sacatepéquez,50 - 54,7953
1,110,Guatemala,San Juan Sacatepéquez,55 - 59,6335
1,110,Guatemala,San Juan Sacatepéquez,60 - 64,4831
1,110,Guatemala,San Juan Sacatepéquez,65 - 69,3753
1,110,Guatemala,San Juan Sacatepéquez,70  - 74,2602
1,110,Guatemala,San Juan Sacatepéquez,75 - 79,1668
1,110,Guatemala,San Juan Sacatepéquez,80 - 84,1044
1,110,Guatemala,San Juan Sacatepéquez,85 - 89,600
1,110,Guatemala,San Juan Sacatepéquez,90  - 94,182
1,110,Guatemala,San Juan Sacatepéquez,95 - 99,59
1,111,Guatemala,San Raimundo,0 - 4,3551
1,111,Guatemala,San Raimundo,10 - 14,3276
1,111,Guatemala,San Raimundo,100 o más,1
1,111,Guatemala,San Raimundo,15 - 19,3737
1,111,Guatemala,San Raimundo,20 - 24,3434
1,111,Guatemala,San Raimundo,25 - 29,2749
1,111,Guatemala,San Raimundo,30 - 34,2047
1,111,Guatemala,San Raimundo,35 - 39,1865
1,111,Guatemala,San Raimundo,40 - 44,1553
1,111,Guatemala,San Raimundo,45 - 49,1287
1,111,Guatemala,San Raimundo,5 - 9,3417
1,111,Guatemala,San Raimundo,50 - 54,1069
1,111,Guatemala,San Raimundo,55 - 59,947
1,111,Guatemala,San Raimundo,60 - 64,758
1,111,Guatemala,San Raimundo,65 - 69,643
1,111,Guatemala,San Raimundo,70  - 74,473
1,111,Guatemala,San Raimundo,75 - 79,362
1,111,Guatemala,San Raimundo,80 - 84,213
1,111,Guatemala,San Raimundo,85 - 89,157
1,111,Guatemala,San Raimundo,90  - 94,47
1,111,Guatemala,San Raimundo,95 - 99,19
1,112,Guatemala,Chuarrancho,0 - 4,1486
1,112,Guatemala,Chuarrancho,10 - 14,1335
1,112,Guatemala,Chuarrancho,100 o más,1
1,112,Guatemala,Chuarrancho,15 - 19,1442
1,112,Guatemala,Chuarrancho,20 - 24,1224
1,112,Guatemala,Chuarrancho,25 - 29,980
1,112,Guatemala,Chuarrancho,30 - 34,774
1,112,Guatemala,Chuarrancho,35 - 39,729
1,112,Guatemala,Chuarrancho,40 - 44,586
1,112,Guatemala,Chuarrancho,45 - 49,488
1,112,Guatemala,Chuarrancho,5 - 9,1460
1,112,Guatemala,Chuarrancho,50 - 54,403
1,112,Guatemala,Chuarrancho,55 - 59,413
1,112,Guatemala,Chuarrancho,60 - 64,367
1,112,Guatemala,Chuarrancho,65 - 69,294
1,112,Guatemala,Chuarrancho,70  - 74,250
1,112,Guatemala,Chuarrancho,75 - 79,172
1,112,Guatemala,Chuarrancho,80 - 84,126
1,112,Guatemala,Chuarrancho,85 - 89,73
1,112,Guatemala,Chuarrancho,90  - 94,28
1,112,Guatemala,Chuarrancho,95 - 99,7
1,113,Guatemala,Fraijanes,0 - 4,4770
1,113,Guatemala,Fraijanes,10 - 14,5048
1,113,Guatemala,Fraijanes,100 o más,2
1,113,Guatemala,Fraijanes,15 - 19,5443
1,113,Guatemala,Fraijanes,20 - 24,6404
1,113,Guatemala,Fraijanes,25 - 29,5963
1,113,Guatemala,Fraijanes,30 - 34,4925
1,113,Guatemala,Fraijanes,35 - 39,4810
1,113,Guatemala,Fraijanes,40 - 44,3980
1,113,Guatemala,Fraijanes,45 - 49,3159
1,113,Guatemala,Fraijanes,5 - 9,4861
1,113,Guatemala,Fraijanes,50 - 54,2673
1,113,Guatemala,Fraijanes,55 - 59,2098
1,113,Guatemala,Fraijanes,60 - 64,1578
1,113,Guatemala,Fraijanes,65 - 69,1287
1,113,Guatemala,Fraijanes,70  - 74,799
1,113,Guatemala,Fraijanes,75 - 79,515
1,113,Guatemala,Fraijanes,80 - 84,324
1,113,Guatemala,Fraijanes,85 - 89,199
1,113,Guatemala,Fraijanes,90  - 94,55
1,113,Guatemala,Fraijanes,95 - 99,29
1,114,Guatemala,Amatitlán,0 - 4,11237
1,114,Guatemala,Amatitlán,10 - 14,11377
1,114,Guatemala,Amatitlán,100 o más,7
1,114,Guatemala,Amatitlán,15 - 19,12499
1,114,Guatemala,Amatitlán,20 - 24,12199
1,114,Guatemala,Amatitlán,25 - 29,10916
1,114,Guatemala,Amatitlán,30 - 34,8726
