MUNICIPIO,PCP7,Recuento de PCP1,PCP6||Sexo,"PCP14||Utiliza ropa maya, garífuna, afrodescendiente o xinka"
2001,2,1365,Mujer,
2001,18,1345,Mujer,
2001,18,1338,Hombre,
2001,4,1325,Hombre,
2001,6,1325,Mujer,
2001,6,1287,Hombre,
2001,5,1280,Hombre,
2001,2,1273,Hombre,
2001,17,1264,Hombre,
2001,17,1262,Mujer,
2001,3,1250,Hombre,
2001,8,1239,Hombre,
2001,12,1237,Hombre,
2001,3,1234,Mujer,
2001,15,1225,Hombre,
2001,15,1224,Mujer,
2001,4,1214,Mujer,
2001,20,1209,Mujer,
2001,9,1195,Hombre,
2001,10,1194,Hombre,
2001,7,1190,Mujer,
2001,22,1188,Mujer,
2001,10,1185,Mujer,
2001,16,1184,Hombre,
2001,13,1183,Hombre,
2001,23,1176,Mujer,
2001,5,1169,Mujer,
2001,12,1168,Mujer,
2001,14,1166,Mujer,
2001,7,1164,Hombre,
2001,16,1147,Mujer,
2001,8,1144,Mujer,
2001,1,1143,Hombre,
2001,14,1141,Hombre,
2001,0,1136,Hombre,
2001,1,1132,Mujer,
2001,11,1130,Mujer,
2001,11,1127,Hombre,
2001,13,1127,Mujer,
2001,19,1116,Mujer,
2001,24,1113,Mujer,
406,2,1099,Hombre,No
2001,25,1099,Mujer,
2001,9,1095,Mujer,
2001,20,1087,Hombre,
2001,22,1086,Hombre,
2001,21,1079,Mujer,
406,10,1076,Hombre,No
2001,23,1071,Hombre,
406,4,1069,Hombre,No
2001,0,1068,Mujer,
406,1,1059,Hombre,No
406,3,1055,Hombre,No
406,5,1044,Hombre,No
406,12,1042,Hombre,No
406,13,1036,Hombre,No
406,0,1033,Hombre,No
2001,28,1031,Mujer,
406,8,1030,Hombre,No
406,7,1029,Hombre,No
2001,25,1029,Hombre,
406,6,1028,Mujer,Sí
406,14,1028,Hombre,No
406,13,1025,Mujer,Sí
406,17,1024,Hombre,No
406,17,1024,Mujer,Sí
2001,19,1019,Hombre,
406,11,1010,Hombre,No
2001,30,1002,Mujer,
406,10,997,Mujer,Sí
2001,21,997,Hombre,
406,18,987,Mujer,Sí
406,15,982,Hombre,No
406,11,976,Mujer,Sí
406,14,969,Mujer,Sí
406,6,965,Hombre,No
2001,27,965,Mujer,
406,9,963,Hombre,No
406,4,956,Mujer,Sí
406,12,955,Mujer,Sí
406,15,953,Mujer,Sí
406,7,949,Mujer,Sí
2004,2,945,Mujer,No
2001,26,940,Mujer,
2001,24,938,Hombre,
2004,2,931,Hombre,No
406,5,922,Mujer,Sí
406,9,920,Mujer,Sí
406,8,918,Mujer,Sí
406,3,914,Mujer,Sí
406,18,911,Hombre,No
406,16,908,Mujer,Sí
2001,28,903,Hombre,
2001,30,894,Hombre,
406,2,870,Mujer,Sí
406,16,868,Hombre,No
2001,27,862,Hombre,
2001,35,861,Mujer,
406,23,852,Mujer,Sí
2001,29,844,Mujer,
2001,26,843,Hombre,
406,19,842,Mujer,Sí
406,22,842,Mujer,Sí
406,20,833,Mujer,Sí
406,22,833,Hombre,No
