MUNICIPIO,PCP7,Recuento de PCP1,PCP6||Sexo,PCP23_A||Lee-Escribe Idioma 1,PCP23_B||Lee-Escribe Idioma 2,PCP23_C||Lee-Escribe Idioma 3
1101,7,1,Hombre,Achí,Español,
1101,7,1,Hombre,Español,Akateko,
1101,7,1,Hombre,Otro idioma,,
1101,7,1,Hombre,Otro idioma,Español,
1101,7,1,Mujer,Chalchiteko,,
1101,7,1,Mujer,Español,Akateko,
1101,7,1,Mujer,Mam,,
1101,7,1,Mujer,Uspanteka,,
1102,7,1,Hombre,Akateko,,
1102,7,1,Mujer,Español,Achí,
1102,7,1,Mujer,Español,Akateko,
1102,7,1,Mujer,Inglés,Español,
1105,7,1,Hombre,K'iche',Español,
1105,7,1,Mujer,Achí,Español,
1105,7,1,Mujer,Akateko,,
1105,7,1,Mujer,Español,Achí,K'iche'
1107,7,1,Hombre,Akateko,,
1107,7,1,Hombre,Español,Akateko,
1107,7,1,Hombre,Inglés,Español,
1107,7,1,Mujer,Achí,Español,
1107,7,1,Mujer,Akateko,,
1108,7,1,Hombre,Uspanteka,,
1108,7,1,Hombre,Xinka,,
1109,7,1,Hombre,Achí,Español,
1401,7,1,Hombre,Ixil,,
1401,7,1,Hombre,Otro idioma,,
1401,7,1,Mujer,Akateko,,
1401,7,1,Mujer,K'iche',,
1402,7,1,Hombre,Akateko,,
1402,7,1,Hombre,Español,K'iche',
1402,7,1,Mujer,K'iche',,
1402,7,1,Mujer,Q'anjob'al,Español,
1403,7,1,Hombre,K'iche',,
1403,7,1,Hombre,K'iche',Español,
1403,7,1,Mujer,K'iche',Español,
1404,7,1,Hombre,Akateko,,
1404,7,1,Hombre,Tz'utujil,,
1404,7,1,Mujer,Akateko,,
1404,7,1,Mujer,Español,Awakateko,
1404,7,1,Mujer,Español,K'iche',
1404,7,1,Mujer,K'iche',,
1405,7,1,Hombre,Akateko,,
1405,7,1,Hombre,Ixil,,
1405,7,1,Mujer,Ixil,,
1405,7,1,Mujer,K'iche',Español,
1406,7,1,Hombre,Inglés,,
1406,7,1,Hombre,Poqomchi',Español,
1408,7,1,Hombre,Achí,Español,
1408,7,1,Hombre,K'iche',,
1408,7,1,Mujer,Achí,,
1408,7,1,Mujer,K'iche',,
1409,7,1,Hombre,Akateko,,
1409,7,1,Hombre,K'iche',,
1409,7,1,Hombre,K'iche',Español,
1409,7,1,Hombre,Tz'utujil,,
1409,7,1,Mujer,Achí,Español,
1409,7,1,Mujer,K'iche',Español,
1410,7,1,Mujer,Otro idioma,,
1411,7,1,Hombre,Ixil,,
1411,7,1,Mujer,Ixil,,
1411,7,1,Mujer,K'iche',,
1412,7,1,Hombre,Achí,,
1412,7,1,Hombre,Español,Achí,
1412,7,1,Mujer,Akateko,,
1412,7,1,Mujer,K'iche',,
1413,7,1,Hombre,Español,Achí,
1413,7,1,Hombre,Español,Inglés,
1413,7,1,Mujer,Achí,Español,
1413,7,1,Mujer,Akateko,,
1413,7,1,Mujer,Inglés,,
1414,7,1,Hombre,Español,K'iche',
1414,7,1,Hombre,K'iche',Español,
1414,7,1,Mujer,Achí,Español,
1414,7,1,Mujer,Akateko,,
1414,7,1,Mujer,K'iche',,
1414,7,1,Mujer,K'iche',Español,
1415,7,1,Hombre,Achí,,
1415,7,1,Hombre,Español,K'iche',
1415,7,1,Hombre,Español,Uspanteka,
1415,7,1,Hombre,K'iche',Uspanteka,Español
1415,7,1,Hombre,Uspanteka,Español,
1415,7,1,Hombre,Uspanteka,Español,Inglés
1415,7,1,Mujer,Akateko,,
1415,7,1,Mujer,Español,Uspanteka,
1416,7,1,Hombre,Achí,Español,
1416,7,1,Hombre,Akateko,,
1416,7,1,Hombre,K'iche',,
1416,7,1,Hombre,K'iche',Español,
1416,7,1,Hombre,Uspanteka,,
1416,7,1,Mujer,Akateko,,
1416,7,1,Mujer,K'iche',,
1416,7,1,Mujer,K'iche',Achí,Español
1416,7,1,Mujer,K'iche',Español,
1417,7,1,Hombre,Español,Akateko,
1417,7,1,Mujer,Achí,Español,
1418,7,1,Hombre,K'iche',,
1418,7,1,Mujer,Akateko,,
1419,7,1,Hombre,Akateko,Achí,
1419,7,1,Hombre,Español,K'iche',
1419,7,1,Mujer,Achí,Español,
1420,7,1,Hombre,Español,Awakateko,
1420,7,1,Hombre,K'iche',Español,
1420,7,1,Mujer,Español,K'iche',
1420,7,1,Mujer,Inglés,,
1421,7,1,Hombre,Otro idioma,Español,
1421,7,1,Mujer,K'iche',Español,
1101,8,1,Hombre,Akateko,,
1101,8,1,Hombre,Chalchiteko,,
1101,8,1,Hombre,Español,Akateko,
1101,8,1,Hombre,Español,Inglés,
1101,8,1,Hombre,Otro idioma,Español,
1101,8,1,Mujer,Chalchiteko,,
1101,8,1,Mujer,Mam,Español,
1101,8,1,Mujer,Otro idioma,,
1101,8,1,Mujer,Otro idioma,Inglés,
1102,8,1,Hombre,Achí,Español,
1102,8,1,Hombre,Chalchiteko,,
1102,8,1,Hombre,Español,Akateko,
1102,8,1,Mujer,Español,Akateko,
1103,8,1,Hombre,Akateko,,
1103,8,1,Mujer,Xinka,,
1104,8,1,Hombre,Chalchiteko,,
1105,8,1,Hombre,Español,Akateko,
1105,8,1,Mujer,Español,Akateko,
1106,8,1,Hombre,Awakateko,,
1106,8,1,Hombre,Español,Awakateko,
1106,8,1,Hombre,Español,Inglés,
1106,8,1,Hombre,Tektiteka,,
1106,8,1,Mujer,Español,Akateko,
1106,8,1,Mujer,Otro idioma,,
1107,8,1,Hombre,Tz'utujil,Español,
1107,8,1,Mujer,Akateko,,
1107,8,1,Mujer,Español,Akateko,
1107,8,1,Mujer,Otro idioma,,
1108,8,1,Hombre,Español,Akateko,
1108,8,1,Mujer,Akateko,,
1108,8,1,Mujer,Español,Akateko,
1109,8,1,Hombre,Achí,Español,
1109,8,1,Hombre,Español,Akateko,
1109,8,1,Hombre,Mam,,
1109,8,1,Mujer,Chalchiteko,,
1109,8,1,Mujer,Español,Akateko,
1401,8,1,Hombre,Español,Akateko,
1401,8,1,Hombre,Español,Inglés,K'iche'
1401,8,1,Hombre,K'iche',,
1401,8,1,Hombre,Otro idioma,,
1401,8,1,Mujer,Akateko,,
1401,8,1,Mujer,Español,Achí,
1401,8,1,Mujer,Otro idioma,,
1402,8,1,Hombre,Akateko,,
1402,8,1,Hombre,Español,Inglés,
1402,8,1,Mujer,K'iche',Español,Achí
1403,8,1,Mujer,Español,Achí,
1403,8,1,Mujer,Español,K'iche',
1403,8,1,Mujer,K'iche',Español,
1404,8,1,Hombre,K'iche',,
1404,8,1,Mujer,Akateko,,
1404,8,1,Mujer,Español,Achí,
1405,8,1,Hombre,Akateko,,
1405,8,1,Hombre,Chalchiteko,,
1405,8,1,Hombre,Chalchiteko,Ixil,
1405,8,1,Hombre,Español,Achí,
1405,8,1,Hombre,Español,K'iche',
1405,8,1,Hombre,Ixil,Español,Achí
1405,8,1,Hombre,Tz'utujil,,
1405,8,1,Mujer,Achí,,
1405,8,1,Mujer,Achí,Chalchiteko,
1405,8,1,Mujer,Akateko,,
1405,8,1,Mujer,Ixil,Akateko,
1405,8,1,Mujer,Ixil,Español,Achí
1406,8,1,Hombre,Achí,,
1406,8,1,Hombre,Achí,Español,
1406,8,1,Hombre,Akateko,,
1406,8,1,Hombre,Chalchiteko,Español,
1406,8,1,Hombre,Español,Achí,
1406,8,1,Hombre,Español,Awakateko,
