MUNICIPIO,PCP7,Recuento de PCP1,PCP6||Sexo,PCP15||Idioma Materno
601,0,375,Hombre,
601,0,336,Mujer,
602,0,587,Hombre,
602,0,559,Mujer,
603,0,193,Hombre,
603,0,185,Mujer,
604,0,229,Hombre,
604,0,248,Mujer,
605,0,131,Hombre,
605,0,136,Mujer,
606,0,250,Hombre,
606,0,229,Mujer,
607,0,119,Hombre,
607,0,109,Mujer,
608,0,493,Hombre,
608,0,455,Mujer,
609,0,300,Hombre,
609,0,271,Mujer,
610,0,249,Hombre,
610,0,261,Mujer,
611,0,178,Hombre,
611,0,196,Mujer,
612,0,149,Hombre,
612,0,155,Mujer,
613,0,280,Hombre,
613,0,274,Mujer,
614,0,375,Hombre,
614,0,318,Mujer,
701,0,847,Hombre,
701,0,851,Mujer,
702,0,41,Hombre,
702,0,56,Mujer,
703,0,22,Hombre,
703,0,21,Mujer,
704,0,188,Hombre,
704,0,191,Mujer,
705,0,806,Hombre,
705,0,765,Mujer,
706,0,630,Hombre,
706,0,577,Mujer,
707,0,93,Hombre,
707,0,97,Mujer,
708,0,68,Hombre,
708,0,67,Mujer,
709,0,127,Hombre,
709,0,117,Mujer,
710,0,111,Hombre,
710,0,141,Mujer,
711,0,36,Hombre,
711,0,22,Mujer,
712,0,147,Hombre,
712,0,166,Mujer,
713,0,298,Hombre,
713,0,301,Mujer,
714,0,71,Hombre,
714,0,70,Mujer,
715,0,50,Hombre,
715,0,67,Mujer,
716,0,16,Hombre,
716,0,27,Mujer,
717,0,114,Hombre,
717,0,121,Mujer,
718,0,79,Hombre,
718,0,79,Mujer,
719,0,325,Hombre,
719,0,345,Mujer,
601,1,392,Hombre,
601,1,394,Mujer,
602,1,623,Hombre,
602,1,586,Mujer,
603,1,203,Hombre,
603,1,202,Mujer,
604,1,264,Hombre,
604,1,243,Mujer,
605,1,136,Hombre,
605,1,153,Mujer,
606,1,282,Hombre,
606,1,252,Mujer,
607,1,118,Hombre,
607,1,96,Mujer,
608,1,558,Hombre,
608,1,556,Mujer,
609,1,345,Hombre,
609,1,313,Mujer,
610,1,229,Hombre,
610,1,253,Mujer,
611,1,209,Hombre,
611,1,208,Mujer,
612,1,158,Hombre,
612,1,163,Mujer,
613,1,273,Hombre,
613,1,220,Mujer,
614,1,363,Hombre,
614,1,371,Mujer,
701,1,982,Hombre,
701,1,911,Mujer,
702,1,53,Hombre,
702,1,52,Mujer,
703,1,19,Hombre,
703,1,17,Mujer,
704,1,219,Hombre,
704,1,231,Mujer,
705,1,872,Hombre,
705,1,835,Mujer,
706,1,680,Hombre,
706,1,680,Mujer,
707,1,84,Hombre,
707,1,94,Mujer,
708,1,89,Hombre,
708,1,81,Mujer,
709,1,145,Hombre,
709,1,143,Mujer,
710,1,136,Hombre,
710,1,129,Mujer,
711,1,52,Hombre,
711,1,32,Mujer,
712,1,153,Hombre,
712,1,127,Mujer,
713,1,317,Hombre,
713,1,299,Mujer,
714,1,70,Hombre,
714,1,63,Mujer,
715,1,72,Hombre,
715,1,69,Mujer,
716,1,19,Hombre,
716,1,24,Mujer,
717,1,158,Hombre,
717,1,145,Mujer,
718,1,100,Hombre,
718,1,87,Mujer,
719,1,378,Hombre,
719,1,336,Mujer,
601,2,432,Hombre,
601,2,436,Mujer,
602,2,637,Hombre,
602,2,661,Mujer,
603,2,240,Hombre,
603,2,207,Mujer,
604,2,277,Hombre,
604,2,286,Mujer,
605,2,179,Hombre,
605,2,163,Mujer,
606,2,285,Hombre,
606,2,270,Mujer,
607,2,130,Hombre,
607,2,117,Mujer,
608,2,556,Hombre,
608,2,558,Mujer,
609,2,342,Hombre,
609,2,320,Mujer,
610,2,259,Hombre,
610,2,277,Mujer,
611,2,196,Hombre,
611,2,200,Mujer,
612,2,166,Hombre,
612,2,183,Mujer,
613,2,311,Hombre,
613,2,253,Mujer,
614,2,397,Hombre,
614,2,419,Mujer,
701,2,948,Hombre,
701,2,945,Mujer,
702,2,53,Hombre,
702,2,46,Mujer,
703,2,22,Hombre,
703,2,24,Mujer,
704,2,219,Hombre,
704,2,230,Mujer,
705,2,843,Hombre,
705,2,798,Mujer,
706,2,605,Hombre,
706,2,596,Mujer,
707,2,103,Hombre,
707,2,100,Mujer,
708,2,68,Hombre,
708,2,80,Mujer,
709,2,143,Hombre,
709,2,152,Mujer,
710,2,164,Hombre,
710,2,142,Mujer,
711,2,43,Hombre,
711,2,37,Mujer,
712,2,160,Hombre,
712,2,184,Mujer,
713,2,310,Hombre,
713,2,307,Mujer,
714,2,66,Hombre,
714,2,72,Mujer,
715,2,72,Hombre,
715,2,74,Mujer,
716,2,24,Hombre,
716,2,26,Mujer,
717,2,139,Hombre,
717,2,113,Mujer,
718,2,95,Hombre,
718,2,92,Mujer,
719,2,395,Hombre,
719,2,408,Mujer,
601,3,455,Hombre,
601,3,451,Mujer,
602,3,566,Hombre,
602,3,601,Mujer,
603,3,183,Hombre,
603,3,203,Mujer,
604,3,292,Hombre,
604,3,247,Mujer,
605,3,148,Hombre,
605,3,153,Mujer,
606,3,264,Hombre,
606,3,281,Mujer,
607,3,149,Hombre,
607,3,133,Mujer,
608,3,577,Hombre,
608,3,568,Mujer,
609,3,334,Hombre,
609,3,334,Mujer,
610,3,260,Hombre,
610,3,271,Mujer,
611,3,210,Hombre,
611,3,218,Mujer,
612,3,177,Hombre,
612,3,166,Mujer,
613,3,310,Hombre,
613,3,284,Mujer,
614,3,400,Hombre,
614,3,374,Mujer,
701,3,954,Hombre,
701,3,938,Mujer,
702,3,38,Hombre,
702,3,45,Mujer,
703,3,35,Hombre,
703,3,22,Mujer,
704,3,215,Hombre,
704,3,194,Mujer,
705,3,881,Hombre,
705,3,832,Mujer,
706,3,711,Hombre,
706,3,717,Mujer,
707,3,98,Hombre,
707,3,108,Mujer,
708,3,59,Hombre,
708,3,87,Mujer,
709,3,138,Hombre,
709,3,142,Mujer,
710,3,143,Hombre,
710,3,154,Mujer,
711,3,35,Hombre,
711,3,45,Mujer,
712,3,143,Hombre,
712,3,149,Mujer,
713,3,327,Hombre,
713,3,316,Mujer,
714,3,71,Hombre,
714,3,71,Mujer,
715,3,67,Hombre,
715,3,82,Mujer,
716,3,23,Hombre,
716,3,21,Mujer,
717,3,147,Hombre,
717,3,113,Mujer,
718,3,105,Hombre,
718,3,88,Mujer,
719,3,388,Hombre,
719,3,403,Mujer,
601,4,2,Hombre,Achí
601,4,1,Hombre,Chalchiteko
601,4,455,Hombre,Español
601,4,1,Hombre,Garífuna
601,4,1,Hombre,K'iche'
601,4,7,Hombre,Mam
601,4,3,Hombre,No habla
601,4,1,Hombre,Poqomchi'
601,4,2,Mujer,Achí
601,4,2,Mujer,Chalchiteko
601,4,489,Mujer,Español
601,4,2,Mujer,Mam
601,4,4,Mujer,No habla
602,4,1,Hombre,Awakateko
602,4,1,Hombre,Chalchiteko
602,4,657,Hombre,Español
602,4,6,Hombre,K'iche'
602,4,4,Hombre,No habla
602,4,1,Mujer,Achí
602,4,652,Mujer,Español
602,4,2,Mujer,Kaqchiquel
602,4,5,Mujer,K'iche'
602,4,1,Mujer,Mam
602,4,2,Mujer,No habla
602,4,1,Mujer,Tz'utujil
603,4,1,Hombre,Achí
603,4,1,Hombre,Chalchiteko
603,4,229,Hombre,Español
603,4,2,Hombre,Kaqchiquel
603,4,1,Hombre,K'iche'
603,4,208,Mujer,Español
603,4,3,Mujer,Kaqchiquel
603,4,1,Mujer,Q'eqchi'
604,4,1,Hombre,Akateko
604,4,259,Hombre,Español
604,4,1,Hombre,No habla
604,4,285,Mujer,Español
604,4,2,Mujer,No habla
605,4,1,Hombre,Akateko
605,4,163,Hombre,Español
605,4,152,Mujer,Español
605,4,1,Mujer,No habla
606,4,303,Hombre,Español
606,4,1,Hombre,Inglés
606,4,2,Hombre,K'iche'
606,4,1,Hombre,No habla
606,4,5,Hombre,Otro idioma
606,4,300,Mujer,Español
606,4,3,Mujer,Inglés
606,4,1,Mujer,K'iche'
606,4,3,Mujer,Otro idioma
607,4,102,Hombre,Español
607,4,109,Mujer,Español
607,4,1,Mujer,Kaqchiquel
607,4,1,Mujer,K'iche'
607,4,1,Mujer,No habla
608,4,1,Hombre,Achí
608,4,581,Hombre,Español
608,4,1,Hombre,Mam
608,4,1,Hombre,No habla
608,4,580,Mujer,Español
608,4,1,Mujer,Inglés
608,4,1,Mujer,Mam
609,4,342,Hombre,Español
609,4,3,Hombre,Kaqchiquel
609,4,1,Hombre,K'iche'
609,4,5,Hombre,No habla
609,4,287,Mujer,Español
610,4,261,Hombre,Español
610,4,2,Hombre,K'iche'
610,4,1,Hombre,No habla
610,4,1,Hombre,Xinka
610,4,1,Mujer,Akateko
610,4,1,Mujer,Chalchiteko
610,4,256,Mujer,Español
610,4,1,Mujer,Garífuna
610,4,1,Mujer,K'iche'
610,4,1,Mujer,Mam
611,4,220,Hombre,Español
611,4,223,Mujer,Español
612,4,2,Hombre,Achí
612,4,1,Hombre,Akateko
612,4,175,Hombre,Español
612,4,1,Hombre,Kaqchiquel
612,4,1,Hombre,K'iche'
612,4,1,Hombre,Q'anjob'al
612,4,2,Mujer,Achí
612,4,1,Mujer,Akateko
612,4,168,Mujer,Español
612,4,2,Mujer,K'iche'
613,4,1,Hombre,Chalchiteko
613,4,347,Hombre,Español
613,4,1,Hombre,Kaqchiquel
613,4,1,Hombre,K'iche'
613,4,3,Hombre,No habla
613,4,1,Hombre,Otro idioma
613,4,291,Mujer,Español
613,4,2,Mujer,Kaqchiquel
614,4,380,Hombre,Español
614,4,1,Hombre,Kaqchiquel
614,4,2,Hombre,K'iche'
614,4,1,Hombre,Xinka
614,4,1,Mujer,Akateko
614,4,386,Mujer,Español
614,4,1,Mujer,K'iche'
614,4,1,Mujer,No habla
614,4,1,Mujer,Xinka
701,4,2,Hombre,Achí
701,4,2,Hombre,Akateko
701,4,246,Hombre,Español
701,4,781,Hombre,Kaqchiquel
701,4,5,Hombre,K'iche'
701,4,2,Hombre,Mam
701,4,4,Hombre,No habla
701,4,2,Hombre,Tz'utujil
701,4,2,Mujer,Achí
701,4,233,Mujer,Español
701,4,739,Mujer,Kaqchiquel
701,4,14,Mujer,K'iche'
701,4,1,Mujer,Tz'utujil
702,4,37,Hombre,Español
702,4,14,Hombre,Kaqchiquel
702,4,3,Hombre,K'iche'
702,4,1,Mujer,Akateko
702,4,28,Mujer,Español
702,4,14,Mujer,Kaqchiquel
702,4,3,Mujer,K'iche'
702,4,1,Mujer,Tz'utujil
703,4,17,Hombre,Español
703,4,4,Hombre,K'iche'
703,4,2,Hombre,No habla
703,4,3,Hombre,Tz'utujil
703,4,16,Mujer,Español
703,4,1,Mujer,K'iche'
703,4,1,Mujer,Tz'utujil
704,4,192,Hombre,Español
704,4,1,Hombre,Inglés
704,4,41,Hombre,K'iche'
704,4,1,Hombre,No habla
704,4,182,Mujer,Español
704,4,1,Mujer,Kaqchiquel
704,4,24,Mujer,K'iche'
704,4,1,Mujer,No habla
705,4,4,Hombre,Achí
705,4,4,Hombre,Akateko
705,4,109,Hombre,Español
705,4,1,Hombre,Kaqchiquel
705,4,807,Hombre,K'iche'
705,4,3,Hombre,No habla
705,4,4,Mujer,Achí
705,4,75,Mujer,Español
705,4,1,Mujer,Kaqchiquel
705,4,815,Mujer,K'iche'
705,4,3,Mujer,No habla
706,4,2,Hombre,Achí
706,4,1,Hombre,Ch'orti'
706,4,55,Hombre,Español
706,4,690,Hombre,K'iche'
706,4,1,Hombre,No habla
706,4,5,Mujer,Achí
706,4,51,Mujer,Español
706,4,655,Mujer,K'iche'
706,4,1,Mujer,Tektiteko
707,4,71,Hombre,Español
707,4,19,Hombre,K'iche'
707,4,66,Mujer,Español
707,4,25,Mujer,K'iche'
708,4,1,Hombre,Achí
708,4,3,Hombre,Español
708,4,97,Hombre,Kaqchiquel
708,4,1,Hombre,Poqomam
708,4,1,Hombre,Tz'utujil
708,4,2,Mujer,Achí
708,4,5,Mujer,Español
708,4,88,Mujer,Kaqchiquel
709,4,2,Hombre,Achí
709,4,84,Hombre,Español
709,4,20,Hombre,Kaqchiquel
709,4,50,Hombre,K'iche'
709,4,1,Hombre,No habla
709,4,1,Hombre,Q'anjob'al
709,4,1,Mujer,Akateko
709,4,83,Mujer,Español
709,4,22,Mujer,Kaqchiquel
709,4,46,Mujer,K'iche'
709,4,1,Mujer,No habla
710,4,1,Hombre,Chalchiteko
710,4,133,Hombre,Español
710,4,14,Hombre,Kaqchiquel
710,4,1,Hombre,K'iche'
710,4,3,Hombre,Tz'utujil
710,4,1,Mujer,Achí
710,4,126,Mujer,Español
710,4,6,Mujer,Kaqchiquel
710,4,1,Mujer,K'iche'
710,4,2,Mujer,Tz'utujil
710,4,1,Mujer,Xinka
711,4,20,Hombre,Español
711,4,28,Hombre,Kaqchiquel
711,4,1,Hombre,Tz'utujil
711,4,17,Mujer,Español
711,4,37,Mujer,Kaqchiquel
712,4,96,Hombre,Español
712,4,70,Hombre,Kaqchiquel
712,4,1,Hombre,K'iche'
712,4,4,Hombre,No habla
712,4,87,Mujer,Español
712,4,75,Mujer,Kaqchiquel
712,4,3,Mujer,K'iche'
712,4,1,Mujer,Uspanteko
713,4,1,Hombre,Achí
713,4,256,Hombre,Español
713,4,59,Hombre,Kaqchiquel
713,4,1,Hombre,K'iche'
713,4,2,Hombre,No habla
713,4,1,Mujer,Achí
713,4,231,Mujer,Español
713,4,70,Mujer,Kaqchiquel
713,4,1,Mujer,No habla
713,4,1,Mujer,Xinka
714,4,2,Hombre,Achí
714,4,7,Hombre,Español
714,4,73,Hombre,Kaqchiquel
714,4,4,Mujer,Español
714,4,66,Mujer,Kaqchiquel
714,4,1,Mujer,Otro idioma
715,4,5,Hombre,Español
715,4,66,Hombre,Tz'utujil
715,4,1,Hombre,Xinka
715,4,4,Mujer,Español
715,4,59,Mujer,Tz'utujil
716,4,2,Hombre,Español
716,4,1,Hombre,Inglés
716,4,23,Hombre,Kaqchiquel
716,4,4,Mujer,Español
716,4,18,Mujer,Kaqchiquel
716,4,1,Mujer,Q'anjob'al
717,4,1,Hombre,Achí
717,4,83,Hombre,Español
717,4,38,Hombre,K'iche'
717,4,1,Hombre,No habla
717,4,9,Hombre,Tz'utujil
717,4,71,Mujer,Español
717,4,50,Mujer,K'iche'
717,4,21,Mujer,Tz'utujil
718,4,49,Hombre,Español
718,4,1,Hombre,Kaqchiquel
718,4,41,Hombre,Tz'utujil
718,4,1,Mujer,Akateko
718,4,49,Mujer,Español
718,4,1,Mujer,No habla
718,4,1,Mujer,Otro idioma
718,4,44,Mujer,Tz'utujil
719,4,74,Hombre,Español
719,4,1,Hombre,Kaqchiquel
719,4,3,Hombre,K'iche'
719,4,2,Hombre,No habla
719,4,1,Hombre,Poqomchi'
719,4,1,Hombre,Q'anjob'al
719,4,288,Hombre,Tz'utujil
719,4,1,Hombre,Uspanteko
719,4,4,Mujer,Achí
719,4,66,Mujer,Español
719,4,2,Mujer,K'iche'
719,4,293,Mujer,Tz'utujil
601,5,490,Hombre,Español
601,5,1,Hombre,Ixil
601,5,1,Hombre,Kaqchiquel
601,5,2,Hombre,No habla
601,5,2,Mujer,Achí
601,5,467,Mujer,Español
601,5,2,Mujer,K'iche'
