MUNICIPIO,PCP7,Recuento de PCP1,PCP6||Sexo,PCP23_A||Lee-Escribe Idioma 1,PCP23_B||Lee-Escribe Idioma 2,PCP23_C||Lee-Escribe Idioma 3
1501,7,1,Hombre,Achí,Español,
1501,7,1,Hombre,Akateko,,
1501,7,1,Hombre,Español,Inglés,
1501,7,1,Hombre,Señas,,
1501,7,1,Mujer,Español,Akateko,
1501,7,1,Mujer,Español,Awakateko,
1503,7,1,Hombre,Achí,,
1503,7,1,Hombre,Español,Achí,
1503,7,1,Mujer,Español,Achí,
1504,7,1,Hombre,Akateko,,
1504,7,1,Hombre,Español,Akateko,
1504,7,1,Mujer,Achí,,
1504,7,1,Mujer,Español,Achí,
1504,7,1,Mujer,Español,Akateko,
1506,7,1,Hombre,Akateko,,
1507,7,1,Mujer,Akateko,,
1508,7,1,Hombre,Achí,,
1508,7,1,Mujer,Achí,,
1508,7,1,Mujer,Español,Achí,Poqomchi'
1508,7,1,Mujer,Español,Q'eqchi',
1508,7,1,Mujer,Q'eqchi',,
1601,7,1,Hombre,K'iche',Español,
1601,7,1,Hombre,K'iche',Español,Q'eqchi'
1601,7,1,Hombre,Q'eqchi',Achí,
1601,7,1,Hombre,Señas,,
1601,7,1,Mujer,Achí,,
1601,7,1,Mujer,Español,Achí,
1601,7,1,Mujer,Español,Inglés,Achí
1601,7,1,Mujer,Español,Q'eqchi',Inglés
1601,7,1,Mujer,Itza',Español,
1601,7,1,Mujer,Kaqchiquel,,
1601,7,1,Mujer,Mam,Español,
1601,7,1,Mujer,Poqomchi',,
1601,7,1,Mujer,Q'eqchi',Akateko,
1601,7,1,Mujer,Q'eqchi',Español,Achí
1601,7,1,Mujer,Q'eqchi',Español,Akateko
1601,7,1,Mujer,Señas,,
1601,7,1,Mujer,Tz'utujil,,
1602,7,1,Mujer,Achí,Español,
1602,7,1,Mujer,Akateko,,
1603,7,1,Hombre,Achí,,
1603,7,1,Hombre,Akateko,,
1603,7,1,Hombre,Otro idioma,,
1603,7,1,Mujer,Achí,Español,
1603,7,1,Mujer,Chalchiteko,,
1603,7,1,Mujer,Español,Inglés,
1603,7,1,Mujer,Poqomchi',Español,
