MUNICIPIO,PCP7,Recuento de PCP1,PCP6||Sexo,PCP23_A||Lee-Escribe Idioma 1,PCP23_B||Lee-Escribe Idioma 2,PCP23_C||Lee-Escribe Idioma 3
801,7,1,Hombre,Achí,,
801,7,1,Hombre,Achí,Español,
801,7,1,Hombre,Akateko,,
801,7,1,Hombre,Español,Inglés,K'iche'
801,7,1,Mujer,Español,Achí,
802,7,1,Hombre,Español,Inglés,
802,7,1,Hombre,K'iche',Español,
802,7,1,Mujer,Akateko,,
802,7,1,Mujer,Español,Akateko,
802,7,1,Mujer,K'iche',,
803,7,1,Hombre,Español,Achí,
803,7,1,Hombre,Español,Inglés,
803,7,1,Hombre,Tektiteka,,
803,7,1,Mujer,Español,Akateko,
803,7,1,Mujer,K'iche',,
803,7,1,Mujer,K'iche',Español,
804,7,1,Hombre,Inglés,K'iche',Español
804,7,1,Hombre,K'iche',Español,
804,7,1,Mujer,Achí,Español,
804,7,1,Mujer,Akateko,,
805,7,1,Hombre,Achí,K'iche',Español
805,7,1,Hombre,Chalchiteko,,
805,7,1,Hombre,Otro idioma,,
805,7,1,Mujer,Achí,,
805,7,1,Mujer,Español,Achí,
805,7,1,Mujer,Otro idioma,,
806,7,1,Mujer,Español,Kaqchiquel,
807,7,1,Hombre,Español,K'iche',
808,7,1,Hombre,Achí,Español,
808,7,1,Hombre,Akateko,,
808,7,1,Hombre,K'iche',,
808,7,1,Mujer,Español,K'iche',
808,7,1,Mujer,Q'eqchi',,
1901,7,1,Hombre,Español,Inglés,
1901,7,1,Mujer,Akateko,,
1901,7,1,Mujer,Chalchiteko,,
1902,7,1,Hombre,Akateko,,
1902,7,1,Mujer,Español,Akateko,
1903,7,1,Hombre,Achí,Español,
1903,7,1,Hombre,Akateko,,
1903,7,1,Hombre,Garífuna,Akateko,
1903,7,1,Mujer,Inglés,Español,
1904,7,1,Hombre,Español,Inglés,
1904,7,1,Mujer,Español,Akateko,
1904,7,1,Mujer,Uspanteka,,
1905,7,1,Hombre,Akateko,,
1905,7,1,Mujer,Español,Inglés,
1906,7,1,Hombre,Akateko,,
1906,7,1,Hombre,Español,Akateko,
1906,7,1,Mujer,Akateko,,
1906,7,1,Mujer,Español,Akateko,
1907,7,1,Hombre,Español,Akateko,
1907,7,1,Mujer,Akateko,,
1907,7,1,Mujer,Español,Akateko,
1907,7,1,Mujer,Español,Inglés,
1909,7,1,Hombre,Akateko,,
1909,7,1,Hombre,Español,Akateko,
1909,7,1,Hombre,Señas,,
1910,7,1,Hombre,Akateko,,
1910,7,1,Hombre,Español,Akateko,
801,8,1,Mujer,Achí,Español,
801,8,1,Mujer,Chalchiteko,,
801,8,1,Mujer,Español,Achí,
801,8,1,Mujer,Español,Akateko,
801,8,1,Mujer,Español,Inglés,
802,8,1,Hombre,Español,K'iche',
803,8,1,Hombre,Akateko,,
803,8,1,Hombre,Español,Inglés,
803,8,1,Hombre,Tz'utujil,,
803,8,1,Mujer,Chalchiteko,,
803,8,1,Mujer,Inglés,Español,K'iche'
803,8,1,Mujer,K'iche',Español,
804,8,1,Hombre,Español,Awakateko,
804,8,1,Hombre,Español,K'iche',Achí
804,8,1,Hombre,Kaqchiquel,,
804,8,1,Hombre,K'iche',,
804,8,1,Mujer,Español,Akateko,
