MUNICIPIO,PCP7,Recuento de PCP1,PCP6||Sexo,PCP15||Idioma Materno
901,0,1369,Hombre,
901,0,1328,Mujer,
902,0,118,Hombre,
902,0,138,Mujer,
903,0,294,Hombre,
903,0,313,Mujer,
904,0,310,Hombre,
904,0,265,Mujer,
905,0,86,Hombre,
905,0,87,Mujer,
906,0,209,Hombre,
906,0,245,Mujer,
907,0,167,Hombre,
907,0,178,Mujer,
908,0,104,Hombre,
908,0,93,Mujer,
909,0,602,Hombre,
909,0,560,Mujer,
910,0,85,Hombre,
910,0,77,Mujer,
911,0,183,Hombre,
911,0,169,Mujer,
912,0,365,Hombre,
912,0,365,Mujer,
913,0,83,Hombre,
913,0,110,Mujer,
914,0,435,Hombre,
914,0,445,Mujer,
915,0,195,Hombre,
915,0,161,Mujer,
916,0,117,Hombre,
916,0,120,Mujer,
917,0,519,Hombre,
917,0,446,Mujer,
918,0,91,Hombre,
918,0,90,Mujer,
919,0,317,Hombre,
919,0,301,Mujer,
920,0,1016,Hombre,
920,0,971,Mujer,
921,0,399,Hombre,
921,0,404,Mujer,
922,0,223,Hombre,
922,0,201,Mujer,
923,0,188,Hombre,
923,0,185,Mujer,
924,0,182,Hombre,
924,0,210,Mujer,
1701,0,387,Hombre,
1701,0,320,Mujer,
1702,0,62,Hombre,
1702,0,68,Mujer,
1703,0,372,Hombre,
1703,0,397,Mujer,
1704,0,472,Hombre,
1704,0,393,Mujer,
1705,0,805,Hombre,
1705,0,772,Mujer,
1706,0,144,Hombre,
1706,0,164,Mujer,
1707,0,207,Hombre,
1707,0,253,Mujer,
1708,0,301,Hombre,
1708,0,321,Mujer,
1709,0,805,Hombre,
1709,0,705,Mujer,
1710,0,1216,Hombre,
1710,0,1232,Mujer,
1711,0,330,Hombre,
1711,0,297,Mujer,
1712,0,501,Hombre,
1712,0,492,Mujer,
1713,0,392,Hombre,
1713,0,401,Mujer,
1714,0,155,Hombre,
1714,0,169,Mujer,
901,1,1528,Hombre,
901,1,1468,Mujer,
902,1,171,Hombre,
902,1,171,Mujer,
903,1,376,Hombre,
903,1,357,Mujer,
904,1,305,Hombre,
904,1,295,Mujer,
905,1,97,Hombre,
905,1,85,Mujer,
906,1,252,Hombre,
906,1,244,Mujer,
907,1,253,Hombre,
907,1,180,Mujer,
908,1,93,Hombre,
908,1,100,Mujer,
909,1,644,Hombre,
909,1,634,Mujer,
910,1,71,Hombre,
910,1,88,Mujer,
911,1,211,Hombre,
911,1,204,Mujer,
912,1,395,Hombre,
912,1,362,Mujer,
913,1,110,Hombre,
913,1,139,Mujer,
914,1,411,Hombre,
914,1,425,Mujer,
915,1,208,Hombre,
915,1,166,Mujer,
916,1,121,Hombre,
916,1,126,Mujer,
917,1,499,Hombre,
917,1,491,Mujer,
918,1,74,Hombre,
918,1,64,Mujer,
919,1,338,Hombre,
919,1,362,Mujer,
920,1,1078,Hombre,
920,1,1088,Mujer,
921,1,438,Hombre,
921,1,418,Mujer,
922,1,229,Hombre,
922,1,184,Mujer,
923,1,175,Hombre,
923,1,199,Mujer,
924,1,179,Hombre,
924,1,203,Mujer,
1701,1,345,Hombre,
1701,1,330,Mujer,
1702,1,74,Hombre,
1702,1,63,Mujer,
1703,1,393,Hombre,
1703,1,400,Mujer,
1704,1,424,Hombre,
1704,1,378,Mujer,
1705,1,875,Hombre,
1705,1,840,Mujer,
1706,1,206,Hombre,
1706,1,180,Mujer,
1707,1,289,Hombre,
1707,1,278,Mujer,
1708,1,343,Hombre,
1708,1,343,Mujer,
1709,1,834,Hombre,
1709,1,848,Mujer,
1710,1,1291,Hombre,
1710,1,1263,Mujer,
1711,1,364,Hombre,
1711,1,319,Mujer,
1712,1,651,Hombre,
1712,1,679,Mujer,
1713,1,448,Hombre,
1713,1,410,Mujer,
1714,1,142,Hombre,
1714,1,157,Mujer,
901,2,1623,Hombre,
901,2,1653,Mujer,
902,2,193,Hombre,
902,2,157,Mujer,
903,2,389,Hombre,
903,2,360,Mujer,
904,2,315,Hombre,
904,2,344,Mujer,
905,2,93,Hombre,
905,2,105,Mujer,
906,2,263,Hombre,
906,2,247,Mujer,
907,2,220,Hombre,
907,2,193,Mujer,
908,2,104,Hombre,
908,2,104,Mujer,
909,2,689,Hombre,
909,2,676,Mujer,
910,2,75,Hombre,
910,2,84,Mujer,
911,2,217,Hombre,
911,2,206,Mujer,
912,2,384,Hombre,
912,2,379,Mujer,
913,2,143,Hombre,
913,2,134,Mujer,
914,2,403,Hombre,
914,2,445,Mujer,
915,2,195,Hombre,
915,2,184,Mujer,
916,2,137,Hombre,
916,2,132,Mujer,
917,2,561,Hombre,
917,2,590,Mujer,
918,2,112,Hombre,
918,2,76,Mujer,
919,2,362,Hombre,
919,2,341,Mujer,
920,2,1152,Hombre,
920,2,1121,Mujer,
921,2,496,Hombre,
921,2,463,Mujer,
922,2,278,Hombre,
922,2,239,Mujer,
923,2,208,Hombre,
923,2,234,Mujer,
924,2,222,Hombre,
924,2,191,Mujer,
1701,2,350,Hombre,
1701,2,357,Mujer,
1702,2,92,Hombre,
1702,2,89,Mujer,
1703,2,478,Hombre,
1703,2,484,Mujer,
1704,2,467,Hombre,
1704,2,419,Mujer,
1705,2,983,Hombre,
1705,2,973,Mujer,
1706,2,209,Hombre,
1706,2,170,Mujer,
1707,2,302,Hombre,
1707,2,280,Mujer,
1708,2,359,Hombre,
1708,2,334,Mujer,
1709,2,936,Hombre,
1709,2,940,Mujer,
1710,2,1441,Hombre,
1710,2,1422,Mujer,
1711,2,340,Hombre,
1711,2,328,Mujer,
1712,2,642,Hombre,
1712,2,659,Mujer,
1713,2,463,Hombre,
1713,2,436,Mujer,
1714,2,153,Hombre,
1714,2,194,Mujer,
901,3,1655,Hombre,
901,3,1609,Mujer,
902,3,184,Hombre,
902,3,173,Mujer,
903,3,391,Hombre,
903,3,405,Mujer,
904,3,310,Hombre,
904,3,307,Mujer,
905,3,105,Hombre,
905,3,96,Mujer,
906,3,260,Hombre,
906,3,253,Mujer,
907,3,210,Hombre,
907,3,224,Mujer,
908,3,101,Hombre,
908,3,118,Mujer,
909,3,661,Hombre,
909,3,663,Mujer,
910,3,73,Hombre,
910,3,79,Mujer,
911,3,194,Hombre,
911,3,202,Mujer,
912,3,414,Hombre,
912,3,375,Mujer,
913,3,139,Hombre,
913,3,126,Mujer,
914,3,415,Hombre,
914,3,404,Mujer,
915,3,189,Hombre,
915,3,186,Mujer,
916,3,133,Hombre,
916,3,135,Mujer,
917,3,609,Hombre,
917,3,557,Mujer,
918,3,82,Hombre,
