MUNICIPIO,PCP7,Recuento de PCP1,PCP6||Sexo,PCP13||Comunidad Lingüística
1701,0,373,Hombre,
1701,0,1,Hombre,Itza'
1701,0,1,Hombre,K'iche'
1701,0,12,Hombre,Q'eqchi'
1701,0,309,Mujer,
1701,0,1,Mujer,K'iche'
1701,0,10,Mujer,Q'eqchi'
1701,1,322,Hombre,
1701,1,2,Hombre,Chalchiteka
1701,1,4,Hombre,K'iche'
1701,1,17,Hombre,Q'eqchi'
1701,1,309,Mujer,
1701,1,2,Mujer,Chalchiteka
1701,1,1,Mujer,Kaqchiquel
1701,1,5,Mujer,K'iche'
1701,1,13,Mujer,Q'eqchi'
1701,2,333,Hombre,
1701,2,1,Hombre,Achi
1701,2,3,Hombre,K'iche'
1701,2,13,Hombre,Q'eqchi'
1701,2,340,Mujer,
1701,2,1,Mujer,Kaqchiquel
1701,2,16,Mujer,Q'eqchi'
1701,3,395,Hombre,
1701,3,2,Hombre,Kaqchiquel
1701,3,2,Hombre,K'iche'
1701,3,2,Hombre,Poqomchi'
1701,3,14,Hombre,Q'eqchi'
1701,3,354,Mujer,
1701,3,1,Mujer,Chalchiteka
1701,3,3,Mujer,K'iche'
1701,3,1,Mujer,Poqomchi'
1701,3,16,Mujer,Q'eqchi'
1701,4,391,Hombre,
1701,4,1,Hombre,Akateka
1701,4,1,Hombre,Chalchiteka
1701,4,5,Hombre,K'iche'
1701,4,1,Hombre,Poqomchi'
1701,4,16,Hombre,Q'eqchi'
1701,4,360,Mujer,
1701,4,4,Mujer,K'iche'
1701,4,17,Mujer,Q'eqchi'
1701,5,377,Hombre,
1701,5,1,Hombre,Chalchiteka
1701,5,1,Hombre,Itza'
1701,5,2,Hombre,K'iche'
1701,5,21,Hombre,Q'eqchi'
1701,5,378,Mujer,
1701,5,5,Mujer,K'iche'
1701,5,18,Mujer,Q'eqchi'
1701,6,409,Hombre,
1701,6,1,Hombre,Achi
1701,6,1,Hombre,Chalchiteka
1701,6,3,Hombre,Kaqchiquel
1701,6,3,Hombre,K'iche'
1701,6,1,Hombre,Poqomchi'
1701,6,14,Hombre,Q'eqchi'
1701,6,384,Mujer,
1701,6,2,Mujer,K'iche'
1701,6,1,Mujer,Poqomchi'
1701,6,20,Mujer,Q'eqchi'
1701,7,386,Hombre,
1701,7,1,Hombre,Ch'orti'
1701,7,1,Hombre,K'iche'
1701,7,14,Hombre,Q'eqchi'
1701,7,378,Mujer,
1701,7,4,Mujer,K'iche'
1701,7,1,Mujer,Poqomchi'
1701,7,17,Mujer,Q'eqchi'
1701,8,351,Hombre,
1701,8,2,Hombre,Chalchiteka
1701,8,1,Hombre,Kaqchiquel
1701,8,1,Hombre,K'iche'
1701,8,2,Hombre,Poqomchi'
1701,8,21,Hombre,Q'eqchi'
1701,8,344,Mujer,
1701,8,1,Mujer,Achi
1701,8,3,Mujer,K'iche'
1701,8,18,Mujer,Q'eqchi'
1701,9,325,Hombre,
1701,9,2,Hombre,K'iche'
1701,9,19,Hombre,Q'eqchi'
1701,9,386,Mujer,
1701,9,1,Mujer,Akateka
1701,9,1,Mujer,Chalchiteka
1701,9,1,Mujer,Kaqchiquel
1701,9,5,Mujer,K'iche'
1701,9,1,Mujer,Poqomchi'
