MUNICIPIO,PCP7,Recuento de PCP1,PCP6||Sexo,PCP23_A||Lee-Escribe Idioma 1,PCP23_B||Lee-Escribe Idioma 2,PCP23_C||Lee-Escribe Idioma 3
701,7,1,Hombre,Akateko,,
701,7,1,Hombre,Awakateko,,
701,7,1,Hombre,Español,Achí,
701,7,1,Hombre,Español,Akateko,
701,7,1,Hombre,Español,Kaqchiquel,
701,7,1,Hombre,Kaqchiquel,,
701,7,1,Hombre,Kaqchiquel,Español,K'iche'
701,7,1,Hombre,Tz'utujil,,
701,7,1,Mujer,Español,Achí,
701,7,1,Mujer,Español,Kaqchiquel,
701,7,1,Mujer,Kaqchiquel,,
701,7,1,Mujer,Kaqchiquel,Achí,
703,7,1,Mujer,Achí,Español,
703,7,1,Mujer,Español,Tz'utujil,
704,7,1,Hombre,Akateko,,
704,7,1,Hombre,Español,Achí,K'iche'
704,7,1,Hombre,K'iche',,
704,7,1,Hombre,K'iche',Akateko,
704,7,1,Mujer,K'iche',Español,
705,7,1,Hombre,Akateko,,
705,7,1,Hombre,Español,Achí,
705,7,1,Mujer,Akateko,,
705,7,1,Mujer,Chalchiteko,,
705,7,1,Mujer,Español,Achí,
705,7,1,Mujer,K'iche',Español,Awakateko
706,7,1,Hombre,Español,Achí,
706,7,1,Hombre,Español,Akateko,
706,7,1,Hombre,Poqomchi',K'iche',
706,7,1,Mujer,Achí,,
706,7,1,Mujer,Achí,Español,
706,7,1,Mujer,Akateko,,
706,7,1,Mujer,Español,Akateko,
706,7,1,Mujer,Español,Inglés,
706,7,1,Mujer,Ixil,,
708,7,1,Hombre,Chalchiteko,,
708,7,1,Hombre,Itza',,
708,7,1,Hombre,Itza',Akateko,
709,7,1,Hombre,Achí,,
709,7,1,Hombre,Achí,Kaqchiquel,
709,7,1,Hombre,K'iche',,
710,7,1,Hombre,Español,Otro idioma,
710,7,1,Hombre,Inglés,Español,
710,7,1,Mujer,Akateko,,
710,7,1,Mujer,Español,Akateko,
710,7,1,Mujer,Español,Inglés,
712,7,1,Hombre,Achí,,
712,7,1,Hombre,Español,Kaqchiquel,
712,7,1,Hombre,Kaqchiquel,,
713,7,1,Hombre,Español,Kaqchiquel,
713,7,1,Hombre,Kaqchiquel,Español,
715,7,1,Mujer,Akateko,,
716,7,1,Mujer,Español,Inglés,
716,7,1,Mujer,Español,Q'anjob'al,
717,7,1,Hombre,Español,Achí,
717,7,1,Hombre,Español,K'iche',
717,7,1,Mujer,Akateko,,
717,7,1,Mujer,Español,Tz'utujil,
718,7,1,Hombre,Español,Inglés,
718,7,1,Hombre,Tz'utujil,Español,
719,7,1,Hombre,Achí,Español,
719,7,1,Mujer,Achí,,
719,7,1,Mujer,Achí,Español,
719,7,1,Mujer,Tz'utujil,Español,Inglés
1001,7,1,Hombre,Akateko,,
1001,7,1,Hombre,Español,Inglés,
1001,7,1,Mujer,Español,Kaqchiquel,
1001,7,1,Mujer,Mam,,
1001,7,1,Mujer,Otro idioma,,
1002,7,1,Hombre,Awakateko,,
1002,7,1,Hombre,Español,Akateko,
1002,7,1,Mujer,Akateko,,
1002,7,1,Mujer,Español,Akateko,
1002,7,1,Mujer,Español,K'iche',
1002,7,1,Mujer,Inglés,Español,
1003,7,1,Mujer,Achí,Español,
1004,7,1,Hombre,K'iche',,
1004,7,1,Mujer,Akateko,,
1006,7,1,Hombre,Español,Akateko,
1007,7,1,Hombre,Akateko,,
1008,7,1,Hombre,Achí,Español,
