MUNICIPIO,PCP7,Recuento de PCP1,PCP6||Sexo,PCP12||Autoidentificación
301,0,1,Hombre,Afrodescendiente/Creole/Afromestizo
301,0,1,Hombre,Extranjera (o)
301,0,1,Hombre,Garífuna
301,0,249,Hombre,Ladina (o)
301,0,49,Hombre,Maya
301,0,227,Mujer,Ladina (o)
301,0,46,Mujer,Maya
302,0,139,Hombre,Ladina (o)
302,0,11,Hombre,Maya
302,0,115,Mujer,Ladina (o)
302,0,12,Mujer,Maya
303,0,1,Hombre,Afrodescendiente/Creole/Afromestizo
303,0,135,Hombre,Ladina (o)
303,0,10,Hombre,Maya
303,0,107,Mujer,Ladina (o)
303,0,18,Mujer,Maya
304,0,27,Hombre,Ladina (o)
304,0,300,Hombre,Maya
304,0,1,Mujer,Afrodescendiente/Creole/Afromestizo
304,0,25,Mujer,Ladina (o)
304,0,339,Mujer,Maya
305,0,18,Hombre,Ladina (o)
305,0,96,Hombre,Maya
305,0,17,Mujer,Ladina (o)
305,0,123,Mujer,Maya
306,0,1,Hombre,Extranjera (o)
306,0,34,Hombre,Ladina (o)
306,0,187,Hombre,Maya
306,0,4,Mujer,Afrodescendiente/Creole/Afromestizo
306,0,46,Mujer,Ladina (o)
306,0,199,Mujer,Maya
307,0,27,Hombre,Ladina (o)
307,0,14,Hombre,Maya
307,0,46,Mujer,Ladina (o)
307,0,14,Mujer,Maya
308,0,1,Hombre,Extranjera (o)
308,0,166,Hombre,Ladina (o)
308,0,14,Hombre,Maya
308,0,1,Mujer,Extranjera (o)
308,0,147,Mujer,Ladina (o)
308,0,18,Mujer,Maya
309,0,103,Hombre,Ladina (o)
309,0,6,Hombre,Maya
309,0,1,Mujer,Garífuna
309,0,101,Mujer,Ladina (o)
309,0,3,Mujer,Maya
310,0,59,Hombre,Ladina (o)
310,0,18,Hombre,Maya
310,0,49,Mujer,Ladina (o)
310,0,23,Mujer,Maya
311,0,1,Hombre,Afrodescendiente/Creole/Afromestizo
311,0,1,Hombre,Ladina (o)
311,0,231,Hombre,Maya
311,0,1,Hombre,Xinka
311,0,6,Mujer,Ladina (o)
311,0,202,Mujer,Maya
312,0,269,Hombre,Ladina (o)
312,0,4,Hombre,Maya
312,0,1,Mujer,Extranjera (o)
312,0,224,Mujer,Ladina (o)
312,0,10,Mujer,Maya
313,0,103,Hombre,Ladina (o)
313,0,5,Hombre,Maya
313,0,89,Mujer,Ladina (o)
313,0,5,Mujer,Maya
314,0,106,Hombre,Ladina (o)
314,0,93,Hombre,Maya
314,0,119,Mujer,Ladina (o)
314,0,95,Mujer,Maya
315,0,7,Hombre,Ladina (o)
315,0,85,Hombre,Maya
315,0,1,Mujer,Afrodescendiente/Creole/Afromestizo
315,0,13,Mujer,Ladina (o)
315,0,86,Mujer,Maya
316,0,33,Hombre,Maya
316,0,5,Mujer,Ladina (o)
316,0,32,Mujer,Maya
1201,0,1,Hombre,Extranjera (o)
1201,0,416,Hombre,Ladina (o)
1201,0,17,Hombre,Maya
1201,0,1,Mujer,Afrodescendiente/Creole/Afromestizo
1201,0,2,Mujer,Garífuna
1201,0,425,Mujer,Ladina (o)
1201,0,13,Mujer,Maya
1202,0,1,Hombre,Garífuna
1202,0,591,Hombre,Ladina (o)
1202,0,81,Hombre,Maya
1202,0,645,Mujer,Ladina (o)
1202,0,75,Mujer,Maya
1203,0,1,Hombre,Garífuna
1203,0,122,Hombre,Ladina (o)
1203,0,99,Hombre,Maya
1203,0,118,Mujer,Ladina (o)
1203,0,77,Mujer,Maya
1204,0,1,Hombre,Garífuna
1204,0,2,Hombre,Ladina (o)
1204,0,874,Hombre,Maya
1204,0,7,Mujer,Ladina (o)
1204,0,807,Mujer,Maya
1205,0,3,Hombre,Ladina (o)
1205,0,683,Hombre,Maya
1205,0,8,Mujer,Ladina (o)
1205,0,701,Mujer,Maya
1206,0,17,Hombre,Ladina (o)
1206,0,1051,Hombre,Maya
1206,0,28,Mujer,Ladina (o)
1206,0,1037,Mujer,Maya
1207,0,2,Hombre,Afrodescendiente/Creole/Afromestizo
1207,0,3,Hombre,Garífuna
1207,0,729,Hombre,Ladina (o)
1207,0,68,Hombre,Maya
1207,0,1,Mujer,Garífuna
1207,0,712,Mujer,Ladina (o)
1207,0,79,Mujer,Maya
1208,0,1,Hombre,Extranjera (o)
1208,0,160,Hombre,Ladina (o)
1208,0,19,Hombre,Maya
1208,0,172,Mujer,Ladina (o)
1208,0,12,Mujer,Maya
1209,0,1,Hombre,Afrodescendiente/Creole/Afromestizo
1209,0,22,Hombre,Ladina (o)
1209,0,662,Hombre,Maya
1209,0,1,Mujer,Afrodescendiente/Creole/Afromestizo
1209,0,26,Mujer,Ladina (o)
1209,0,655,Mujer,Maya
1210,0,1,Hombre,Afrodescendiente/Creole/Afromestizo
1210,0,460,Hombre,Ladina (o)
1210,0,55,Hombre,Maya
1210,0,457,Mujer,Ladina (o)
1210,0,40,Mujer,Maya
1211,0,161,Hombre,Ladina (o)
1211,0,4,Hombre,Maya
1211,0,1,Mujer,Extranjera (o)
1211,0,168,Mujer,Ladina (o)
1211,0,6,Mujer,Maya
1212,0,308,Hombre,Ladina (o)
1212,0,3,Hombre,Maya
1212,0,273,Mujer,Ladina (o)
1212,0,3,Mujer,Maya
1213,0,444,Hombre,Ladina (o)
1213,0,7,Hombre,Maya
1213,0,1,Mujer,Afrodescendiente/Creole/Afromestizo
1213,0,461,Mujer,Ladina (o)
1213,0,4,Mujer,Maya
1214,0,194,Hombre,Ladina (o)
1214,0,184,Mujer,Ladina (o)
1214,0,1,Mujer,Maya
1215,0,1,Hombre,Afrodescendiente/Creole/Afromestizo
1215,0,1,Hombre,Extranjera (o)
1215,0,846,Hombre,Ladina (o)
1215,0,38,Hombre,Maya
1215,0,1,Mujer,Afrodescendiente/Creole/Afromestizo
1215,0,836,Mujer,Ladina (o)
1215,0,57,Mujer,Maya
1216,0,263,Hombre,Ladina (o)
1216,0,17,Hombre,Maya
1216,0,296,Mujer,Ladina (o)
1216,0,6,Mujer,Maya
1217,0,429,Hombre,Ladina (o)
1217,0,6,Hombre,Maya
1217,0,1,Mujer,Extranjera (o)
1217,0,1,Mujer,Garífuna
1217,0,381,Mujer,Ladina (o)
1217,0,5,Mujer,Maya
1218,0,1,Hombre,Extranjera (o)
1218,0,106,Hombre,Ladina (o)
1218,0,1,Hombre,Maya
1218,0,95,Mujer,Ladina (o)
1218,0,2,Mujer,Maya
1219,0,551,Hombre,Ladina (o)
1219,0,32,Hombre,Maya
1219,0,1,Mujer,Extranjera (o)
1219,0,490,Mujer,Ladina (o)
1219,0,16,Mujer,Maya
1220,0,281,Hombre,Ladina (o)
1220,0,254,Mujer,Ladina (o)
1220,0,1,Mujer,Maya
1221,0,207,Hombre,Ladina (o)
1221,0,1,Mujer,Extranjera (o)
1221,0,179,Mujer,Ladina (o)
1222,0,235,Hombre,Ladina (o)
1222,0,3,Hombre,Maya
1222,0,197,Mujer,Ladina (o)
1223,0,1,Hombre,Afrodescendiente/Creole/Afromestizo
1223,0,25,Hombre,Ladina (o)
1223,0,212,Hombre,Maya
1223,0,1,Mujer,Extranjera (o)
1223,0,31,Mujer,Ladina (o)
1223,0,201,Mujer,Maya
1224,0,207,Hombre,Ladina (o)
1224,0,29,Hombre,Maya
1224,0,201,Mujer,Ladina (o)
1224,0,19,Mujer,Maya
1225,0,1,Hombre,Extranjera (o)
1225,0,178,Hombre,Ladina (o)
1225,0,26,Hombre,Maya
1225,0,170,Mujer,Ladina (o)
1225,0,16,Mujer,Maya
1226,0,1,Hombre,Extranjera (o)
1226,0,12,Hombre,Ladina (o)
1226,0,242,Hombre,Maya
1226,0,12,Mujer,Ladina (o)
1226,0,267,Mujer,Maya
1227,0,144,Hombre,Ladina (o)
1227,0,4,Hombre,Maya
1227,0,1,Mujer,Garífuna
1227,0,154,Mujer,Ladina (o)
1227,0,6,Mujer,Maya
1228,0,26,Hombre,Ladina (o)
1228,0,24,Hombre,Maya
1228,0,35,Mujer,Ladina (o)
1228,0,32,Mujer,Maya
1229,0,62,Hombre,Ladina (o)
1229,0,89,Hombre,Maya
1229,0,1,Mujer,Afrodescendiente/Creole/Afromestizo
1229,0,53,Mujer,Ladina (o)
1229,0,110,Mujer,Maya
1230,0,344,Hombre,Ladina (o)
1230,0,1,Hombre,Maya
1230,0,1,Mujer,Garífuna
1230,0,333,Mujer,Ladina (o)
301,1,1,Hombre,Afrodescendiente/Creole/Afromestizo
301,1,2,Hombre,Extranjera (o)
301,1,331,Hombre,Ladina (o)
301,1,48,Hombre,Maya
301,1,2,Mujer,Garífuna
301,1,271,Mujer,Ladina (o)
301,1,37,Mujer,Maya
302,1,152,Hombre,Ladina (o)
302,1,11,Hombre,Maya
302,1,159,Mujer,Ladina (o)
302,1,10,Mujer,Maya
302,1,1,Mujer,Xinka
303,1,175,Hombre,Ladina (o)
303,1,18,Hombre,Maya
303,1,1,Mujer,Afrodescendiente/Creole/Afromestizo
303,1,145,Mujer,Ladina (o)
303,1,16,Mujer,Maya
304,1,2,Hombre,Afrodescendiente/Creole/Afromestizo
304,1,1,Hombre,Extranjera (o)
304,1,34,Hombre,Ladina (o)
304,1,341,Hombre,Maya
304,1,1,Hombre,Xinka
304,1,1,Mujer,Garífuna
304,1,34,Mujer,Ladina (o)
304,1,321,Mujer,Maya
305,1,23,Hombre,Ladina (o)
305,1,109,Hombre,Maya
305,1,13,Mujer,Ladina (o)
305,1,114,Mujer,Maya
306,1,2,Hombre,Afrodescendiente/Creole/Afromestizo
306,1,1,Hombre,Extranjera (o)
306,1,36,Hombre,Ladina (o)
306,1,205,Hombre,Maya
306,1,4,Mujer,Afrodescendiente/Creole/Afromestizo
306,1,1,Mujer,Extranjera (o)
306,1,42,Mujer,Ladina (o)
306,1,217,Mujer,Maya
306,1,1,Mujer,Xinka
307,1,41,Hombre,Ladina (o)
307,1,21,Hombre,Maya
307,1,55,Mujer,Ladina (o)
307,1,14,Mujer,Maya
308,1,1,Hombre,Afrodescendiente/Creole/Afromestizo
308,1,3,Hombre,Extranjera (o)
308,1,170,Hombre,Ladina (o)
308,1,16,Hombre,Maya
308,1,2,Mujer,Afrodescendiente/Creole/Afromestizo
308,1,154,Mujer,Ladina (o)
308,1,18,Mujer,Maya
309,1,110,Hombre,Ladina (o)
309,1,6,Hombre,Maya
309,1,1,Mujer,Afrodescendiente/Creole/Afromestizo
309,1,1,Mujer,Extranjera (o)
309,1,108,Mujer,Ladina (o)
309,1,9,Mujer,Maya
310,1,76,Hombre,Ladina (o)
310,1,32,Hombre,Maya
310,1,71,Mujer,Ladina (o)
310,1,25,Mujer,Maya
311,1,1,Hombre,Extranjera (o)
311,1,5,Hombre,Ladina (o)
311,1,211,Hombre,Maya
