MUNICIPIO,PCP7,Recuento de PCP1,PCP6||Sexo,PCP13||Comunidad Lingüística
1501,0,555,Hombre,
1501,0,111,Hombre,Achi
1501,0,3,Hombre,Kaqchiquel
1501,0,1,Hombre,K'iche'
1501,0,21,Hombre,Poqomchi'
1501,0,15,Hombre,Q'eqchi'
1501,0,515,Mujer,
1501,0,122,Mujer,Achi
1501,0,1,Mujer,Akateka
1501,0,1,Mujer,Chalchiteka
1501,0,2,Mujer,Kaqchiquel
1501,0,2,Mujer,K'iche'
1501,0,2,Mujer,Poqomam
1501,0,18,Mujer,Poqomchi'
1501,0,10,Mujer,Q'eqchi'
1501,1,563,Hombre,
1501,1,126,Hombre,Achi
1501,1,2,Hombre,K'iche'
1501,1,15,Hombre,Poqomchi'
1501,1,17,Hombre,Q'eqchi'
1501,1,556,Mujer,
1501,1,125,Mujer,Achi
1501,1,1,Mujer,Akateka
1501,1,2,Mujer,Chalchiteka
1501,1,1,Mujer,Kaqchiquel
1501,1,1,Mujer,K'iche'
1501,1,24,Mujer,Poqomchi'
1501,1,9,Mujer,Q'eqchi'
1501,2,602,Hombre,
1501,2,128,Hombre,Achi
1501,2,1,Hombre,Akateka
1501,2,2,Hombre,Kaqchiquel
1501,2,1,Hombre,Poqomam
1501,2,17,Hombre,Poqomchi'
1501,2,14,Hombre,Q'eqchi'
1501,2,551,Mujer,
1501,2,145,Mujer,Achi
1501,2,4,Mujer,K'iche'
1501,2,1,Mujer,Poqomam
1501,2,12,Mujer,Poqomchi'
1501,2,15,Mujer,Q'eqchi'
1501,3,565,Hombre,
1501,3,136,Hombre,Achi
1501,3,2,Hombre,Akateka
1501,3,3,Hombre,Chalchiteka
1501,3,3,Hombre,Kaqchiquel
1501,3,3,Hombre,K'iche'
1501,3,19,Hombre,Poqomchi'
1501,3,10,Hombre,Q'eqchi'
1501,3,535,Mujer,
1501,3,147,Mujer,Achi
1501,3,2,Mujer,Akateka
1501,3,1,Mujer,K'iche'
1501,3,2,Mujer,Poqomam
1501,3,18,Mujer,Poqomchi'
1501,3,8,Mujer,Q'eqchi'
1501,4,608,Hombre,
1501,4,138,Hombre,Achi
1501,4,1,Hombre,Akateka
1501,4,2,Hombre,Chalchiteka
1501,4,2,Hombre,Kaqchiquel
1501,4,2,Hombre,K'iche'
1501,4,1,Hombre,Poqomam
1501,4,21,Hombre,Poqomchi'
1501,4,12,Hombre,Q'eqchi'
1501,4,564,Mujer,
1501,4,134,Mujer,Achi
1501,4,1,Mujer,Ch'orti'
1501,4,1,Mujer,K'iche'
1501,4,18,Mujer,Poqomchi'
1501,4,14,Mujer,Q'eqchi'
1501,5,598,Hombre,
1501,5,120,Hombre,Achi
1501,5,2,Hombre,Akateka
1501,5,1,Hombre,K'iche'
1501,5,2,Hombre,Poqomam
1501,5,19,Hombre,Poqomchi'
1501,5,18,Hombre,Q'eqchi'
1501,5,529,Mujer,
1501,5,136,Mujer,Achi
1501,5,5,Mujer,K'iche'
1501,5,12,Mujer,Poqomchi'
1501,5,8,Mujer,Q'eqchi'
1501,6,555,Hombre,
1501,6,132,Hombre,Achi
1501,6,1,Hombre,Akateka
1501,6,1,Hombre,Kaqchiquel
1501,6,2,Hombre,K'iche'
1501,6,19,Hombre,Poqomchi'
1501,6,14,Hombre,Q'eqchi'
1501,6,608,Mujer,
1501,6,136,Mujer,Achi
1501,6,1,Mujer,Chalchiteka
1501,6,1,Mujer,Kaqchiquel
1501,6,2,Mujer,K'iche'
1501,6,1,Mujer,Poqomam
1501,6,17,Mujer,Poqomchi'
1501,6,15,Mujer,Q'eqchi'
1501,7,552,Hombre,
1501,7,118,Hombre,Achi
1501,7,1,Hombre,Akateka
1501,7,1,Hombre,Chalchiteka
1501,7,1,Hombre,Kaqchiquel
1501,7,2,Hombre,Poqomam
