MUNICIPIO,PCP7,Recuento de PCP1,PCP6||Sexo,PCP23_A||Lee-Escribe Idioma 1,PCP23_B||Lee-Escribe Idioma 2,PCP23_C||Lee-Escribe Idioma 3
601,7,1,Hombre,Español,Akateko,
601,7,1,Mujer,Español,Kaqchiquel,
602,7,1,Hombre,Achí,,
602,7,1,Hombre,Español,Inglés,
602,7,1,Hombre,Español,K'iche',
602,7,1,Mujer,Akateko,,
603,7,1,Hombre,Español,Inglés,
603,7,1,Mujer,Español,Xinka,
604,7,1,Hombre,Tz'utujil,,
604,7,1,Mujer,Awakateko,,
605,7,1,Hombre,Akateko,,
605,7,1,Mujer,Mam,Español,
606,7,1,Mujer,Xinka,,
607,7,1,Hombre,Awakateko,,
607,7,1,Hombre,Español,Xinka,
607,7,1,Hombre,Kaqchiquel,Español,
608,7,1,Mujer,Akateko,,
610,7,1,Hombre,Español,Kaqchiquel,
610,7,1,Mujer,Achí,Español,
611,7,1,Mujer,Xinka,,
612,7,1,Mujer,Akateko,,
613,7,1,Hombre,Chalchiteko,,
613,7,1,Mujer,Akateko,,
613,7,1,Mujer,Español,Otro idioma,
614,7,1,Hombre,Akateko,,
614,7,1,Mujer,Achí,Español,
614,7,1,Mujer,Español,Akateko,
1201,7,1,Hombre,Akateko,,
1201,7,1,Hombre,Inglés,,
1201,7,1,Mujer,Chalchiteko,,
1201,7,1,Mujer,Español,Inglés,
1201,7,1,Mujer,Señas,,
1201,7,1,Mujer,Tektiteka,,
1202,7,1,Hombre,Chalchiteko,,
1202,7,1,Mujer,Achí,Español,
1202,7,1,Mujer,Awakateko,,
1202,7,1,Mujer,Español,Akateko,
1202,7,1,Mujer,Tz'utujil,,
1204,7,1,Hombre,Chalchiteko,,
1204,7,1,Hombre,Mam,Español,Awakateko
1204,7,1,Hombre,Tz'utujil,,
1204,7,1,Mujer,Akateko,,
1205,7,1,Hombre,Achí,Español,
1205,7,1,Hombre,Akateko,,
1205,7,1,Hombre,Español,Inglés,
1205,7,1,Mujer,Akateko,,
1205,7,1,Mujer,Akateko,Chalchiteko,
1205,7,1,Mujer,Awakateko,,
1205,7,1,Mujer,Español,Q'eqchi',
1206,7,1,Hombre,Mam,Español,
1206,7,1,Hombre,Poqomchi',,
1206,7,1,Mujer,Mam,Español,
1207,7,1,Hombre,Akateko,,
1207,7,1,Hombre,Español,Inglés,
1207,7,1,Hombre,Xinka,,
1207,7,1,Mujer,Achí,Español,
1207,7,1,Mujer,Español,Akateko,
1207,7,1,Mujer,Uspanteka,,
1209,7,1,Hombre,Akateko,,
1209,7,1,Hombre,Chalchiteko,,
1209,7,1,Hombre,Español,Achí,
1209,7,1,Mujer,Achí,,
1209,7,1,Mujer,Achí,Español,
1209,7,1,Mujer,Akateko,,
1210,7,1,Hombre,Mam,,
1210,7,1,Mujer,Akateko,,
1210,7,1,Mujer,Señas,,
1210,7,1,Mujer,Xinka,,
1212,7,1,Mujer,Akateko,,
1214,7,1,Hombre,Akateko,,
1215,7,1,Hombre,Mam,Poqomchi',
1215,7,1,Hombre,Tz'utujil,,
1215,7,1,Mujer,Akateko,,
1215,7,1,Mujer,Otro idioma,,
1216,7,1,Mujer,Akateko,,
1216,7,1,Mujer,Akateko,Chalchiteko,
1217,7,1,Hombre,Achí,Español,
1219,7,1,Hombre,Xinka,,
1219,7,1,Mujer,Achí,,
1219,7,1,Mujer,Achí,Español,
1219,7,1,Mujer,Akateko,,
1222,7,1,Hombre,Akateko,,
1222,7,1,Hombre,Mam,,
1222,7,1,Hombre,Uspanteka,,
1223,7,1,Hombre,Español,Mam,
1223,7,1,Mujer,Akateko,,
1223,7,1,Mujer,Awakateko,,
1224,7,1,Mujer,Akateko,,
1225,7,1,Hombre,Español,Inglés,
1226,7,1,Mujer,Español,Mam,
1226,7,1,Mujer,Español,Sipakapense,
1227,7,1,Mujer,Akateko,,
1229,7,1,Hombre,Mam,,
1229,7,1,Mujer,Akateko,,
1229,7,1,Mujer,Español,Inglés,
1230,7,1,Mujer,Mam,Español,
601,8,1,Hombre,Achí,Español,
601,8,1,Hombre,Akateko,,
601,8,1,Hombre,Kaqchiquel,Español,
601,8,1,Hombre,K'iche',,
602,8,1,Hombre,Achí,Español,
602,8,1,Hombre,Español,Akateko,
602,8,1,Hombre,Español,Xinka,
602,8,1,Hombre,K'iche',,
602,8,1,Mujer,Español,Akateko,
602,8,1,Mujer,Español,Inglés,
602,8,1,Mujer,Español,K'iche',
602,8,1,Mujer,Tz'utujil,,
603,8,1,Hombre,Español,Inglés,
603,8,1,Mujer,Achí,Español,
603,8,1,Mujer,Español,Xinka,
604,8,1,Hombre,Achí,Español,
604,8,1,Hombre,Español,Akateko,
604,8,1,Hombre,Español,Xinka,
604,8,1,Mujer,Español,Awakateko,
604,8,1,Mujer,Español,Xinka,
605,8,1,Mujer,Español,Inglés,
606,8,1,Hombre,Achí,Español,
606,8,1,Hombre,Español,Akateko,
606,8,1,Hombre,Español,Otro idioma,
