MUNICIPIO,PCP7,Recuento de PCP1,PCP6||Sexo,"PCP14||Utiliza ropa maya, garífuna, afrodescendiente o xinka"
2201,17,1261,Mujer,
2201,18,1209,Mujer,
2101,2,1204,Hombre,No
2201,18,1202,Hombre,
2201,15,1172,Hombre,
2201,16,1171,Mujer,
2201,16,1170,Hombre,
2101,5,1169,Hombre,No
2201,17,1166,Hombre,
2101,6,1163,Hombre,No
2101,5,1145,Mujer,No
2101,2,1141,Mujer,No
2201,19,1134,Mujer,
2101,4,1128,Mujer,No
2101,3,1125,Mujer,No
2201,14,1124,Hombre,
2101,4,1122,Hombre,No
2101,15,1122,Hombre,No
2101,3,1119,Hombre,No
2101,12,1117,Hombre,No
2201,4,1111,Hombre,
2201,13,1107,Hombre,
2101,0,1091,Mujer,No
2201,6,1090,Mujer,
2201,14,1087,Mujer,
2201,15,1087,Mujer,
2101,8,1086,Hombre,No
2101,17,1086,Mujer,No
2201,20,1080,Mujer,
2201,4,1078,Mujer,
2201,5,1078,Mujer,
2201,22,1078,Mujer,
2101,10,1075,Hombre,No
2201,12,1068,Hombre,
2201,22,1067,Hombre,
2101,11,1066,Hombre,No
2201,2,1064,Hombre,
2101,18,1063,Mujer,
2201,19,1063,Hombre,
2101,7,1062,Hombre,No
2201,7,1060,Hombre,
2101,9,1060,Mujer,No
2101,1,1052,Hombre,No
2101,6,1052,Mujer,No
2101,1,1051,Mujer,No
2101,15,1048,Mujer,No
2101,16,1048,Mujer,No
2201,12,1047,Mujer,
2201,8,1045,Mujer,
2101,18,1045,Mujer,No
2101,9,1043,Hombre,No
2201,7,1042,Mujer,
2101,17,1042,Hombre,No
2201,23,1041,Mujer,
2101,10,1036,Mujer,No
2101,12,1033,Mujer,No
2101,11,1031,Mujer,No
2101,7,1028,Mujer,No
2201,13,1028,Mujer,
2201,5,1022,Hombre,
2201,10,1019,Hombre,
2201,3,1017,Mujer,
2201,8,1017,Hombre,
2101,13,1016,Hombre,No
2101,18,1015,Hombre,No
2101,0,1008,Hombre,No
2201,10,1005,Mujer,
2201,3,1003,Hombre,
2201,6,1003,Hombre,
2201,9,999,Hombre,
2101,8,997,Mujer,No
2101,13,985,Mujer,No
2201,20,985,Hombre,
2201,1,981,Hombre,
2101,14,981,Mujer,No
2101,17,981,Mujer,
2201,2,972,Mujer,
2101,4,972,Hombre,
2201,25,972,Mujer,
2201,9,970,Mujer,
2101,14,970,Hombre,No
2201,11,969,Hombre,
2101,2,966,Mujer,
2101,5,966,Mujer,
2201,21,963,Hombre,
2101,4,961,Mujer,
2101,3,958,Hombre,
2201,24,957,Mujer,
2201,23,956,Hombre,
2101,5,955,Hombre,
2201,21,955,Mujer,
2201,1,944,Mujer,
2101,6,943,Hombre,
2101,18,943,Hombre,
2101,17,942,Hombre,
2101,3,940,Mujer,
2201,25,939,Hombre,
2101,16,933,Hombre,No
2201,24,929,Hombre,
2201,11,926,Mujer,
2101,0,925,Hombre,
2101,19,921,Mujer,No
2101,10,919,Hombre,
2201,28,919,Mujer,
2101,22,918,Mujer,
2201,0,915,Hombre,
2101,2,915,Hombre,
2101,15,913,Hombre,
2101,7,909,Mujer,
2101,15,909,Mujer,
2201,26,907,Mujer,
2101,6,906,Mujer,
2201,0,905,Mujer,
2101,1,903,Hombre,
2101,12,889,Hombre,
2101,14,885,Hombre,
2101,16,882,Mujer,
2101,14,879,Mujer,
