MUNICIPIO,PCP7,Recuento de PCP1,PCP6||Sexo,PCP12||Autoidentificación
1301,0,1,Hombre,Afrodescendiente/Creole/Afromestizo
1301,0,4,Hombre,Extranjera (o)
1301,0,1,Hombre,Garífuna
1301,0,1002,Hombre,Ladina (o)
1301,0,81,Hombre,Maya
1301,0,1,Hombre,Xinka
1301,0,2,Mujer,Extranjera (o)
1301,0,1,Mujer,Garífuna
1301,0,1035,Mujer,Ladina (o)
1301,0,69,Mujer,Maya
1302,0,1,Hombre,Afrodescendiente/Creole/Afromestizo
1302,0,964,Hombre,Ladina (o)
1302,0,103,Hombre,Maya
1302,0,1,Mujer,Garífuna
1302,0,832,Mujer,Ladina (o)
1302,0,115,Mujer,Maya
1303,0,2,Hombre,Afrodescendiente/Creole/Afromestizo
1303,0,161,Hombre,Ladina (o)
1303,0,68,Hombre,Maya
1303,0,122,Mujer,Ladina (o)
1303,0,76,Mujer,Maya
1304,0,643,Hombre,Ladina (o)
1304,0,166,Hombre,Maya
1304,0,1,Mujer,Extranjera (o)
1304,0,638,Mujer,Ladina (o)
1304,0,178,Mujer,Maya
1305,0,1,Hombre,Extranjera (o)
1305,0,136,Hombre,Ladina (o)
1305,0,540,Hombre,Maya
1305,0,2,Mujer,Garífuna
1305,0,133,Mujer,Ladina (o)
1305,0,552,Mujer,Maya
1306,0,1,Hombre,Afrodescendiente/Creole/Afromestizo
1306,0,77,Hombre,Ladina (o)
1306,0,407,Hombre,Maya
1306,0,1,Mujer,Afrodescendiente/Creole/Afromestizo
1306,0,91,Mujer,Ladina (o)
1306,0,386,Mujer,Maya
1307,0,1,Hombre,Extranjera (o)
1307,0,9,Hombre,Ladina (o)
1307,0,424,Hombre,Maya
1307,0,1,Mujer,Extranjera (o)
1307,0,6,Mujer,Ladina (o)
1307,0,402,Mujer,Maya
1308,0,1,Hombre,Garífuna
1308,0,32,Hombre,Ladina (o)
1308,0,706,Hombre,Maya
1308,0,1,Mujer,Afrodescendiente/Creole/Afromestizo
1308,0,1,Mujer,Extranjera (o)
1308,0,32,Mujer,Ladina (o)
1308,0,718,Mujer,Maya
1309,0,33,Hombre,Ladina (o)
1309,0,717,Hombre,Maya
1309,0,29,Mujer,Ladina (o)
1309,0,627,Mujer,Maya
1310,0,4,Hombre,Ladina (o)
1310,0,445,Hombre,Maya
1310,0,2,Mujer,Ladina (o)
1310,0,437,Mujer,Maya
1311,0,5,Hombre,Afrodescendiente/Creole/Afromestizo
1311,0,1,Hombre,Extranjera (o)
1311,0,417,Hombre,Ladina (o)
1311,0,65,Hombre,Maya
1311,0,2,Mujer,Afrodescendiente/Creole/Afromestizo
1311,0,1,Mujer,Extranjera (o)
1311,0,436,Mujer,Ladina (o)
1311,0,85,Mujer,Maya
1312,0,2,Hombre,Afrodescendiente/Creole/Afromestizo
1312,0,348,Hombre,Ladina (o)
1312,0,351,Hombre,Maya
1312,0,1,Mujer,Garífuna
1312,0,330,Mujer,Ladina (o)
1312,0,325,Mujer,Maya
1313,0,1,Hombre,Ladina (o)
1313,0,398,Hombre,Maya
1313,0,1,Mujer,Ladina (o)
1313,0,370,Mujer,Maya
1314,0,218,Hombre,Maya
1314,0,1,Mujer,Afrodescendiente/Creole/Afromestizo
1314,0,245,Mujer,Maya
1315,0,48,Hombre,Ladina (o)
1315,0,356,Hombre,Maya
1315,0,1,Mujer,Garífuna
1315,0,42,Mujer,Ladina (o)
1315,0,339,Mujer,Maya
1316,0,204,Hombre,Maya
1316,0,209,Mujer,Maya
1317,0,1,Hombre,Ladina (o)
1317,0,567,Hombre,Maya
1317,0,4,Mujer,Ladina (o)
1317,0,545,Mujer,Maya
1318,0,1,Hombre,Garífuna
1318,0,12,Hombre,Ladina (o)
1318,0,665,Hombre,Maya
1318,0,1,Mujer,Afrodescendiente/Creole/Afromestizo
1318,0,16,Mujer,Ladina (o)
1318,0,656,Mujer,Maya
1319,0,1,Hombre,Garífuna
1319,0,5,Hombre,Ladina (o)
1319,0,524,Hombre,Maya
1319,0,4,Mujer,Ladina (o)
1319,0,501,Mujer,Maya
1320,0,14,Hombre,Ladina (o)
1320,0,390,Hombre,Maya
1320,0,1,Mujer,Afrodescendiente/Creole/Afromestizo
1320,0,1,Mujer,Garífuna
1320,0,18,Mujer,Ladina (o)
1320,0,390,Mujer,Maya
1321,0,1,Hombre,Afrodescendiente/Creole/Afromestizo
1321,0,114,Hombre,Ladina (o)
1321,0,20,Hombre,Maya
1321,0,1,Mujer,Garífuna
1321,0,101,Mujer,Ladina (o)
1321,0,18,Mujer,Maya
1322,0,15,Hombre,Ladina (o)
1322,0,177,Hombre,Maya
1322,0,14,Mujer,Ladina (o)
1322,0,261,Mujer,Maya
1323,0,1,Hombre,Afrodescendiente/Creole/Afromestizo
1323,0,13,Hombre,Ladina (o)
1323,0,353,Hombre,Maya
1323,0,15,Mujer,Ladina (o)
1323,0,407,Mujer,Maya
