MUNICIPIO,PCP7,Recuento de PCP1,PCP6||Sexo,"PCP14||Utiliza ropa maya, garífuna, afrodescendiente o xinka"
501,17,1799,Hombre,
501,18,1783,Hombre,
501,22,1728,Hombre,
501,17,1720,Mujer,
501,18,1707,Mujer,
501,25,1642,Hombre,
501,23,1607,Mujer,
501,23,1604,Hombre,
501,22,1599,Mujer,
501,15,1585,Mujer,
501,4,1584,Hombre,
501,12,1577,Hombre,
501,9,1567,Hombre,
501,20,1563,Mujer,
501,15,1562,Hombre,
501,12,1553,Mujer,
501,13,1553,Hombre,
501,19,1545,Hombre,
501,16,1544,Hombre,
501,5,1536,Hombre,
501,2,1535,Hombre,
501,10,1532,Hombre,
501,2,1529,Mujer,
501,6,1526,Hombre,
501,3,1519,Hombre,
501,25,1514,Mujer,
501,16,1512,Mujer,
501,14,1506,Hombre,
501,20,1505,Hombre,
501,21,1498,Mujer,
501,24,1494,Hombre,
501,30,1492,Hombre,
501,21,1488,Hombre,
501,4,1486,Mujer,
501,7,1479,Hombre,
501,28,1477,Hombre,
501,8,1476,Hombre,
501,14,1469,Mujer,
501,5,1464,Mujer,
501,7,1455,Mujer,
501,3,1446,Mujer,
501,8,1438,Mujer,
501,1,1434,Mujer,
501,6,1426,Mujer,
501,11,1424,Hombre,
501,19,1423,Mujer,
501,10,1422,Mujer,
501,24,1415,Mujer,
501,28,1415,Mujer,
501,13,1403,Mujer,
501,26,1403,Hombre,
501,1,1388,Hombre,
501,9,1384,Mujer,
501,11,1374,Mujer,
501,27,1374,Mujer,
501,27,1341,Hombre,
501,0,1333,Hombre,
502,18,1323,Hombre,
501,30,1313,Mujer,
502,17,1296,Hombre,
501,0,1294,Mujer,
502,18,1292,Mujer,
501,26,1285,Mujer,
502,3,1263,Hombre,
502,4,1263,Mujer,
502,4,1261,Hombre,
501,32,1253,Hombre,
502,13,1232,Hombre,
502,5,1225,Hombre,
502,6,1220,Mujer,
502,22,1211,Hombre,
502,10,1208,Hombre,
502,6,1207,Hombre,
502,2,1205,Hombre,
501,29,1203,Hombre,
502,7,1202,Hombre,
502,8,1199,Hombre,
502,17,1197,Mujer,
501,38,1196,Hombre,
501,38,1196,Mujer,
501,29,1195,Mujer,
502,5,1194,Mujer,
502,3,1193,Mujer,
501,33,1193,Hombre,
501,35,1193,Mujer,
501,32,1192,Mujer,
502,23,1190,Hombre,
502,9,1181,Mujer,
502,20,1179,Mujer,
502,8,1176,Mujer,
502,20,1171,Hombre,
502,14,1167,Hombre,
502,7,1162,Mujer,
502,1,1161,Hombre,
502,10,1158,Mujer,
502,0,1157,Hombre,
502,12,1157,Hombre,
502,2,1155,Mujer,
502,1,1152,Mujer,
502,23,1150,Mujer,
502,15,1149,Hombre,
502,22,1147,Mujer,
502,15,1142,Mujer,
501,35,1141,Hombre,
502,24,1134,Hombre,
502,24,1132,Mujer,
502,25,1127,Hombre,
502,25,1113,Mujer,
502,19,1112,Mujer,
502,12,1107,Mujer,
502,13,1105,Mujer,
501,34,1104,Hombre,
501,33,1102,Mujer,
502,16,1101,Mujer,
501,40,1099,Hombre,
502,9,1097,Hombre,
502,11,1096,Hombre,
502,19,1092,Hombre,
502,14,1087,Mujer,
502,16,1087,Hombre,
501,34,1083,Mujer,
502,21,1082,Hombre,
502,28,1067,Mujer,
502,11,1066,Mujer,
501,37,1066,Mujer,
501,36,1063,Mujer,
501,40,1063,Mujer,
502,0,1056,Mujer,
502,30,1030,Mujer,
501,37,1028,Hombre,
501,36,1026,Hombre,
502,28,1025,Hombre,
502,21,1021,Mujer,
501,42,1021,Mujer,
502,27,996,Hombre,
502,30,985,Hombre,
502,27,979,Mujer,
502,26,974,Mujer,
502,26,973,Hombre,
501,42,972,Hombre,
501,39,962,Hombre,
501,39,959,Mujer,
501,31,957,Hombre,
513,18,950,Hombre,
513,18,927,Mujer,
513,2,906,Hombre,
501,31,903,Mujer,
513,2,901,Mujer,
513,17,899,Hombre,
502,29,890,Mujer,
513,6,872,Hombre,
513,16,864,Mujer,
501,43,861,Mujer,
513,3,857,Hombre,
502,29,857,Hombre,
513,3,856,Mujer,
513,17,855,Mujer,
501,45,854,Mujer,
502,32,851,Mujer,
513,4,844,Mujer,
513,5,841,Hombre,
513,5,838,Mujer,
513,4,818,Hombre,
513,7,818,Mujer,
501,48,817,Mujer,
513,1,810,Mujer,
502,32,807,Hombre,
513,14,805,Hombre,
502,33,805,Mujer,
502,33,801,Hombre,
513,16,795,Hombre,
501,41,795,Mujer,
513,0,794,Hombre,
513,7,793,Hombre,
513,1,792,Hombre,
502,38,789,Mujer,
501,43,788,Hombre,
502,35,787,Mujer,
501,50,787,Mujer,
513,0,786,Mujer,
513,15,782,Hombre,
501,45,780,Hombre,
501,48,772,Hombre,
501,50,771,Hombre,
513,14,768,Mujer,
513,22,768,Hombre,
513,15,767,Mujer,
513,6,766,Mujer,
513,23,763,Hombre,
513,20,762,Mujer,
513,23,761,Mujer,
513,12,760,Hombre,
501,47,757,Mujer,
513,22,755,Mujer,
513,19,754,Mujer,
513,19,751,Hombre,
513,24,751,Mujer,
502,37,748,Mujer,
501,41,748,Hombre,
513,13,744,Hombre,
502,31,738,Mujer,
513,9,737,Hombre,
509,18,736,Mujer,
501,52,735,Mujer,
501,47,734,Hombre,
509,2,730,Hombre,
502,40,730,Hombre,
509,4,728,Hombre,
509,5,727,Hombre,
501,44,724,Mujer,
501,46,722,Mujer,
502,34,718,Mujer,
511,18,717,Hombre,
509,18,713,Hombre,
513,20,713,Hombre,
513,21,713,Mujer,
