MUNICIPIO,PCP7,Recuento de PCP1,PCP6||Sexo,PCP12||Autoidentificación
907,1,7,Mujer,Ladina (o)
907,1,173,Mujer,Maya
908,1,93,Hombre,Maya
908,1,3,Mujer,Ladina (o)
908,1,97,Mujer,Maya
909,1,2,Hombre,Afrodescendiente/Creole/Afromestizo
909,1,2,Hombre,Garífuna
909,1,70,Hombre,Ladina (o)
909,1,570,Hombre,Maya
909,1,3,Mujer,Afrodescendiente/Creole/Afromestizo
909,1,2,Mujer,Extranjera (o)
909,1,82,Mujer,Ladina (o)
909,1,547,Mujer,Maya
910,1,49,Hombre,Ladina (o)
910,1,22,Hombre,Maya
910,1,2,Mujer,Extranjera (o)
910,1,61,Mujer,Ladina (o)
910,1,25,Mujer,Maya
911,1,2,Hombre,Ladina (o)
911,1,209,Hombre,Maya
911,1,1,Mujer,Extranjera (o)
911,1,1,Mujer,Ladina (o)
911,1,202,Mujer,Maya
912,1,40,Hombre,Ladina (o)
912,1,355,Hombre,Maya
912,1,27,Mujer,Ladina (o)
912,1,335,Mujer,Maya
913,1,2,Hombre,Ladina (o)
913,1,108,Hombre,Maya
913,1,2,Mujer,Ladina (o)
913,1,137,Mujer,Maya
914,1,1,Hombre,Garífuna
914,1,21,Hombre,Ladina (o)
914,1,389,Hombre,Maya
914,1,18,Mujer,Ladina (o)
914,1,407,Mujer,Maya
915,1,1,Hombre,Afrodescendiente/Creole/Afromestizo
915,1,14,Hombre,Ladina (o)
915,1,193,Hombre,Maya
915,1,10,Mujer,Ladina (o)
915,1,156,Mujer,Maya
916,1,31,Hombre,Ladina (o)
916,1,90,Hombre,Maya
916,1,1,Mujer,Afrodescendiente/Creole/Afromestizo
916,1,20,Mujer,Ladina (o)
916,1,105,Mujer,Maya
917,1,1,Hombre,Extranjera (o)
917,1,1,Hombre,Garífuna
917,1,491,Hombre,Ladina (o)
917,1,6,Hombre,Maya
917,1,480,Mujer,Ladina (o)
917,1,11,Mujer,Maya
918,1,1,Hombre,Ladina (o)
918,1,73,Hombre,Maya
918,1,1,Mujer,Ladina (o)
918,1,63,Mujer,Maya
919,1,5,Hombre,Afrodescendiente/Creole/Afromestizo
919,1,117,Hombre,Ladina (o)
919,1,216,Hombre,Maya
919,1,10,Mujer,Afrodescendiente/Creole/Afromestizo
919,1,1,Mujer,Extranjera (o)
919,1,120,Mujer,Ladina (o)
919,1,231,Mujer,Maya
920,1,2,Hombre,Afrodescendiente/Creole/Afromestizo
920,1,1,Hombre,Garífuna
920,1,1061,Hombre,Ladina (o)
920,1,14,Hombre,Maya
920,1,1,Mujer,Afrodescendiente/Creole/Afromestizo
920,1,1,Mujer,Extranjera (o)
920,1,3,Mujer,Garífuna
920,1,1071,Mujer,Ladina (o)
920,1,12,Mujer,Maya
921,1,353,Hombre,Ladina (o)
921,1,85,Hombre,Maya
921,1,312,Mujer,Ladina (o)
921,1,106,Mujer,Maya
922,1,219,Hombre,Ladina (o)
922,1,10,Hombre,Maya
922,1,178,Mujer,Ladina (o)
922,1,6,Mujer,Maya
923,1,82,Hombre,Ladina (o)
923,1,93,Hombre,Maya
923,1,92,Mujer,Ladina (o)
923,1,107,Mujer,Maya
924,1,45,Hombre,Ladina (o)
924,1,134,Hombre,Maya
924,1,1,Mujer,Extranjera (o)
924,1,46,Mujer,Ladina (o)
924,1,156,Mujer,Maya
901,2,1,Hombre,Afrodescendiente/Creole/Afromestizo
901,2,2,Hombre,Extranjera (o)
901,2,2,Hombre,Garífuna
901,2,853,Hombre,Ladina (o)
901,2,765,Hombre,Maya
901,2,2,Mujer,Afrodescendiente/Creole/Afromestizo
901,2,1,Mujer,Extranjera (o)
901,2,2,Mujer,Garífuna
901,2,833,Mujer,Ladina (o)
901,2,815,Mujer,Maya
902,2,1,Hombre,Extranjera (o)
902,2,122,Hombre,Ladina (o)
902,2,70,Hombre,Maya
902,2,94,Mujer,Ladina (o)
902,2,63,Mujer,Maya
903,2,94,Hombre,Ladina (o)
903,2,295,Hombre,Maya
903,2,1,Mujer,Extranjera (o)
903,2,78,Mujer,Ladina (o)
903,2,281,Mujer,Maya
904,2,168,Hombre,Ladina (o)
904,2,147,Hombre,Maya
904,2,191,Mujer,Ladina (o)
904,2,153,Mujer,Maya
905,2,88,Hombre,Ladina (o)
905,2,5,Hombre,Maya
905,2,98,Mujer,Ladina (o)
905,2,7,Mujer,Maya
906,2,1,Hombre,Extranjera (o)
906,2,50,Hombre,Ladina (o)
906,2,212,Hombre,Maya
906,2,48,Mujer,Ladina (o)
906,2,199,Mujer,Maya
907,2,6,Hombre,Ladina (o)
907,2,214,Hombre,Maya
907,2,5,Mujer,Ladina (o)
907,2,188,Mujer,Maya
908,2,3,Hombre,Ladina (o)
908,2,101,Hombre,Maya
908,2,5,Mujer,Ladina (o)
908,2,99,Mujer,Maya
909,2,2,Hombre,Afrodescendiente/Creole/Afromestizo
909,2,3,Hombre,Extranjera (o)
909,2,86,Hombre,Ladina (o)
909,2,598,Hombre,Maya
909,2,3,Mujer,Afrodescendiente/Creole/Afromestizo
909,2,95,Mujer,Ladina (o)
909,2,578,Mujer,Maya
910,2,54,Hombre,Ladina (o)
910,2,21,Hombre,Maya
910,2,68,Mujer,Ladina (o)
910,2,16,Mujer,Maya
911,2,3,Hombre,Ladina (o)
911,2,214,Hombre,Maya
911,2,1,Mujer,Afrodescendiente/Creole/Afromestizo
911,2,1,Mujer,Extranjera (o)
911,2,1,Mujer,Ladina (o)
911,2,203,Mujer,Maya
912,2,37,Hombre,Ladina (o)
912,2,347,Hombre,Maya
912,2,1,Mujer,Garífuna
912,2,28,Mujer,Ladina (o)
912,2,350,Mujer,Maya
913,2,2,Hombre,Ladina (o)
913,2,141,Hombre,Maya
913,2,2,Mujer,Ladina (o)
913,2,132,Mujer,Maya
914,2,1,Hombre,Afrodescendiente/Creole/Afromestizo
914,2,1,Hombre,Garífuna
914,2,28,Hombre,Ladina (o)
914,2,373,Hombre,Maya
914,2,1,Mujer,Afrodescendiente/Creole/Afromestizo
914,2,24,Mujer,Ladina (o)
914,2,420,Mujer,Maya
915,2,13,Hombre,Ladina (o)
915,2,182,Hombre,Maya
915,2,11,Mujer,Ladina (o)
915,2,173,Mujer,Maya
916,2,22,Hombre,Ladina (o)
916,2,114,Hombre,Maya
916,2,1,Hombre,Xinka
916,2,29,Mujer,Ladina (o)
916,2,103,Mujer,Maya
917,2,1,Hombre,Extranjera (o)
917,2,1,Hombre,Garífuna
917,2,552,Hombre,Ladina (o)
917,2,7,Hombre,Maya
917,2,583,Mujer,Ladina (o)
917,2,7,Mujer,Maya
918,2,1,Hombre,Garífuna
918,2,1,Hombre,Ladina (o)
918,2,110,Hombre,Maya
918,2,1,Mujer,Ladina (o)
918,2,75,Mujer,Maya
919,2,4,Hombre,Afrodescendiente/Creole/Afromestizo
919,2,1,Hombre,Garífuna
919,2,129,Hombre,Ladina (o)
919,2,228,Hombre,Maya
919,2,3,Mujer,Afrodescendiente/Creole/Afromestizo
919,2,127,Mujer,Ladina (o)
919,2,211,Mujer,Maya
920,2,1,Hombre,Afrodescendiente/Creole/Afromestizo
920,2,2,Hombre,Garífuna
920,2,1133,Hombre,Ladina (o)
920,2,16,Hombre,Maya
920,2,3,Mujer,Extranjera (o)
920,2,1100,Mujer,Ladina (o)
920,2,17,Mujer,Maya
920,2,1,Mujer,Xinka
921,2,363,Hombre,Ladina (o)
921,2,133,Hombre,Maya
921,2,346,Mujer,Ladina (o)
921,2,117,Mujer,Maya
922,2,265,Hombre,Ladina (o)
922,2,12,Hombre,Maya
