MUNICIPIO,PCP7,Recuento de PCP1,PCP6||Sexo,PCP13||Comunidad Lingüística
101,0,6035,Hombre,
101,0,11,Hombre,Achi
101,0,4,Hombre,Akateka
101,0,1,Hombre,Awakateka
101,0,12,Hombre,Chalchiteka
101,0,3,Hombre,Chuj
101,0,9,Hombre,Ixil
101,0,119,Hombre,Kaqchiquel
101,0,139,Hombre,K'iche'
101,0,33,Hombre,Mam
101,0,11,Hombre,Poqomchi'
101,0,6,Hombre,Q'anjob'al
101,0,58,Hombre,Q'eqchi'
101,0,2,Hombre,Sipakapense
101,0,1,Hombre,Tz'utujil
101,0,1,Hombre,Uspanteka
101,0,5670,Mujer,
101,0,15,Mujer,Achi
101,0,2,Mujer,Akateka
101,0,4,Mujer,Awakateka
101,0,15,Mujer,Chalchiteka
101,0,1,Mujer,Ch'orti'
101,0,5,Mujer,Chuj
101,0,10,Mujer,Ixil
101,0,97,Mujer,Kaqchiquel
101,0,136,Mujer,K'iche'
101,0,42,Mujer,Mam
101,0,2,Mujer,Poqomam
101,0,9,Mujer,Poqomchi'
101,0,4,Mujer,Q'anjob'al
101,0,51,Mujer,Q'eqchi'
101,0,6,Mujer,Sakapulteka
101,0,1,Mujer,Sipakapense
101,0,5,Mujer,Tz'utujil
101,1,6540,Hombre,
101,1,24,Hombre,Achi
101,1,1,Hombre,Awakateka
101,1,13,Hombre,Chalchiteka
101,1,1,Hombre,Ch'orti'
101,1,1,Hombre,Chuj
101,1,6,Hombre,Ixil
101,1,1,Hombre,Jakalteko/Popti'
101,1,127,Hombre,Kaqchiquel
101,1,165,Hombre,K'iche'
101,1,40,Hombre,Mam
101,1,2,Hombre,Poqomam
101,1,7,Hombre,Poqomchi'
101,1,7,Hombre,Q'anjob'al
101,1,55,Hombre,Q'eqchi'
101,1,3,Hombre,Sakapulteka
101,1,3,Hombre,Sipakapense
101,1,4,Hombre,Tz'utujil
101,1,2,Hombre,Uspanteka
101,1,6445,Mujer,
101,1,12,Mujer,Achi
