MUNICIPIO,PCP7,Recuento de PCP1,PCP6||Sexo,PCP13||Comunidad Lingüística
501,0,1286,Hombre,
501,0,4,Hombre,Achi
501,0,1,Hombre,Awakateka
501,0,3,Hombre,Chalchiteka
501,0,1,Hombre,Itza'
501,0,1,Hombre,Ixil
501,0,12,Hombre,Kaqchiquel
501,0,28,Hombre,K'iche'
501,0,6,Hombre,Mam
501,0,1,Hombre,Poqomam
501,0,1,Hombre,Q'eqchi'
501,0,1,Hombre,Tz'utujil
501,0,1263,Mujer,
501,0,1,Mujer,Achi
501,0,2,Mujer,Chalchiteka
501,0,1,Mujer,Chuj
501,0,1,Mujer,Ixil
501,0,15,Mujer,Kaqchiquel
501,0,18,Mujer,K'iche'
501,0,2,Mujer,Mam
501,0,2,Mujer,Q'eqchi'
501,1,1365,Hombre,
501,1,1,Hombre,Achi
501,1,2,Hombre,Chalchiteka
501,1,1,Hombre,Itza'
501,1,3,Hombre,Ixil
501,1,12,Hombre,Kaqchiquel
501,1,11,Hombre,K'iche'
501,1,4,Hombre,Mam
501,1,1,Hombre,Q'anjob'al
501,1,1,Hombre,Uspanteka
501,1,1401,Mujer,
501,1,2,Mujer,Chalchiteka
501,1,1,Mujer,Ch'orti'
501,1,1,Mujer,Ixil
501,1,15,Mujer,Kaqchiquel
501,1,14,Mujer,K'iche'
501,1,4,Mujer,Mam
501,1,1,Mujer,Q'eqchi'
501,1,1,Mujer,Tz'utujil
501,2,1509,Hombre,
501,2,1,Hombre,Achi
501,2,4,Hombre,Chalchiteka
501,2,8,Hombre,Kaqchiquel
501,2,25,Hombre,K'iche'
501,2,2,Hombre,Mam
501,2,1,Hombre,Q'anjob'al
501,2,1,Hombre,Q'eqchi'
501,2,1,Hombre,Tz'utujil
501,2,1501,Mujer,
501,2,2,Mujer,Achi
501,2,4,Mujer,Chalchiteka
501,2,1,Mujer,Ixil
501,2,1,Mujer,Jakalteko/Popti'
501,2,8,Mujer,Kaqchiquel
501,2,20,Mujer,K'iche'
501,2,3,Mujer,Mam
501,2,1,Mujer,Poqomchi'
501,2,1,Mujer,Q'anjob'al
501,2,1,Mujer,Q'eqchi'
501,3,1495,Hombre,
501,3,1,Hombre,Akateka
501,3,5,Hombre,Chalchiteka
501,3,1,Hombre,Ixil
501,3,1,Hombre,Jakalteko/Popti'
501,3,13,Hombre,Kaqchiquel
501,3,17,Hombre,K'iche'
501,3,2,Hombre,Mam
501,3,1,Hombre,Q'anjob'al
501,3,1,Hombre,Q'eqchi'
501,3,1417,Mujer,
501,3,1,Mujer,Achi
501,3,5,Mujer,Chalchiteka
501,3,1,Mujer,Ixil
501,3,1,Mujer,Jakalteko/Popti'
501,3,14,Mujer,Kaqchiquel
501,3,14,Mujer,K'iche'
501,3,3,Mujer,Mam
501,3,1,Mujer,Poqomchi'
501,3,1,Mujer,Q'anjob'al
501,3,1,Mujer,Tz'utujil
501,3,1,Mujer,Uspanteka
501,4,1554,Hombre,
501,4,2,Hombre,Achi
501,4,1,Hombre,Akateka
501,4,2,Hombre,Chalchiteka
501,4,1,Hombre,Itza'
501,4,19,Hombre,Kaqchiquel
501,4,21,Hombre,K'iche'
501,4,4,Hombre,Mam
501,4,1,Hombre,Q'anjob'al
501,4,5,Hombre,Q'eqchi'
501,4,1462,Mujer,
501,4,1,Mujer,Achi
501,4,3,Mujer,Chalchiteka
501,4,1,Mujer,Ch'orti'
501,4,1,Mujer,Chuj
501,4,1,Mujer,Itza'
501,4,1,Mujer,Jakalteko/Popti'
501,4,5,Mujer,Kaqchiquel
501,4,23,Mujer,K'iche'
501,4,1,Mujer,Mam
501,4,1,Mujer,Poqomam
501,4,1,Mujer,Q'anjob'al
501,4,1,Mujer,Q'eqchi'
501,4,3,Mujer,Tz'utujil
501,5,1514,Hombre,
501,5,7,Hombre,Chalchiteka
501,5,1,Hombre,Ixil
501,5,11,Hombre,Kaqchiquel
501,5,11,Hombre,K'iche'
501,5,2,Hombre,Mam
501,5,1,Hombre,Q'anjob'al
501,5,1,Hombre,Uspanteka
501,5,1430,Mujer,
501,5,2,Mujer,Achi
