MUNICIPIO,PCP7,Recuento de PCP1,PCP6||Sexo,PCP13||Comunidad Lingüística
801,0,30,Hombre,
801,0,2,Hombre,Achi
801,0,4,Hombre,Akateka
801,0,2,Hombre,Kaqchiquel
801,0,907,Hombre,K'iche'
801,0,2,Hombre,Q'anjob'al
801,0,2,Hombre,Tektiteka
801,0,25,Mujer,
801,0,3,Mujer,Achi
801,0,870,Mujer,K'iche'
801,0,1,Mujer,Mam
801,0,2,Mujer,Q'anjob'al
801,0,1,Mujer,Sakapulteka
801,0,3,Mujer,Tektiteka
801,1,22,Hombre,
801,1,2,Hombre,Achi
801,1,1,Hombre,Akateka
801,1,859,Hombre,K'iche'
801,1,1,Hombre,Mam
801,1,1,Hombre,Q'anjob'al
801,1,2,Hombre,Tektiteka
801,1,21,Mujer,
801,1,2,Mujer,Achi
801,1,2,Mujer,Akateka
801,1,859,Mujer,K'iche'
801,1,2,Mujer,Q'anjob'al
801,1,1,Mujer,Tektiteka
801,2,21,Hombre,
801,2,1,Hombre,Achi
801,2,6,Hombre,Akateka
801,2,1,Hombre,Kaqchiquel
801,2,984,Hombre,K'iche'
801,2,1,Hombre,Mam
801,2,1,Hombre,Poqomam
801,2,1,Hombre,Poqomchi'
801,2,2,Hombre,Q'anjob'al
801,2,27,Mujer,
801,2,3,Mujer,Achi
801,2,1,Mujer,Kaqchiquel
801,2,948,Mujer,K'iche'
801,2,2,Mujer,Mam
801,2,2,Mujer,Q'anjob'al
801,2,1,Mujer,Tektiteka
801,3,28,Hombre,
801,3,1,Hombre,Achi
801,3,1,Hombre,Akateka
801,3,1,Hombre,Kaqchiquel
801,3,964,Hombre,K'iche'
801,3,1,Hombre,Mam
801,3,4,Hombre,Q'anjob'al
801,3,28,Mujer,
801,3,7,Mujer,Achi
801,3,2,Mujer,Akateka
801,3,899,Mujer,K'iche'
801,3,3,Mujer,Mam
801,3,6,Mujer,Q'anjob'al
801,3,2,Mujer,Tektiteka
801,4,32,Hombre,
801,4,2,Hombre,Achi
801,4,1,Hombre,Kaqchiquel
801,4,924,Hombre,K'iche'
801,4,1,Hombre,Poqomam
801,4,4,Hombre,Q'anjob'al
801,4,1,Hombre,Tektiteka
801,4,24,Mujer,
801,4,1,Mujer,Achi
801,4,1,Mujer,Akateka
801,4,1,Mujer,Kaqchiquel
801,4,911,Mujer,K'iche'
801,4,1,Mujer,Q'anjob'al
801,4,2,Mujer,Tektiteka
801,5,25,Hombre,
801,5,3,Hombre,Achi
801,5,1,Hombre,Ch'orti'
801,5,1,Hombre,Kaqchiquel
801,5,933,Hombre,K'iche'
801,5,4,Hombre,Q'anjob'al
801,5,3,Hombre,Tektiteka
801,5,20,Mujer,
801,5,3,Mujer,Achi
801,5,928,Mujer,K'iche'
801,5,1,Mujer,Q'anjob'al
801,5,2,Mujer,Tektiteka
801,6,20,Hombre,
801,6,1,Hombre,Achi
801,6,3,Hombre,Akateka
801,6,1,Hombre,Chuj
801,6,2,Hombre,Kaqchiquel
801,6,951,Hombre,K'iche'
801,6,2,Hombre,Mam
801,6,1,Hombre,Q'anjob'al
801,6,2,Hombre,Tektiteka
801,6,20,Mujer,
801,6,1,Mujer,Achi
801,6,1,Mujer,Akateka
801,6,927,Mujer,K'iche'
801,6,2,Mujer,Mam
801,6,3,Mujer,Q'anjob'al
801,6,3,Mujer,Tektiteka
801,7,22,Hombre,
801,7,3,Hombre,Achi
801,7,1,Hombre,Akateka
801,7,904,Hombre,K'iche'
801,7,1,Hombre,Mam
801,7,1,Hombre,Tektiteka
801,7,21,Mujer,
801,7,2,Mujer,Achi
801,7,855,Mujer,K'iche'
801,7,1,Mujer,Mam
801,7,3,Mujer,Tektiteka
801,8,22,Hombre,
801,8,1,Hombre,Achi
801,8,3,Hombre,Akateka
801,8,1,Hombre,Jakalteko/Popti'
801,8,1,Hombre,Kaqchiquel
801,8,888,Hombre,K'iche'
801,8,1,Hombre,Mam
801,8,5,Hombre,Q'anjob'al
801,8,4,Hombre,Tektiteka
