MUNICIPIO,PCP7,Recuento de PCP1,PCP6||Sexo,"PCP14||Utiliza ropa maya, garífuna, afrodescendiente o xinka"
805,5,1361,Hombre,No
805,12,1333,Hombre,No
805,10,1323,Hombre,No
805,2,1311,Hombre,No
805,4,1308,Hombre,No
805,3,1294,Hombre,No
805,6,1292,Hombre,No
805,7,1286,Hombre,No
805,8,1279,Hombre,No
805,13,1232,Hombre,No
805,14,1227,Hombre,No
805,0,1213,Hombre,No
805,1,1210,Hombre,No
805,11,1175,Hombre,No
805,18,1175,Hombre,No
805,18,1157,Mujer,Sí
805,17,1155,Hombre,No
805,16,1151,Hombre,No
805,15,1140,Hombre,No
805,9,1139,Hombre,No
801,25,1100,Mujer,Sí
801,18,1070,Mujer,Sí
801,20,1067,Mujer,Sí
805,12,1056,Mujer,Sí
805,15,1055,Mujer,Sí
805,10,1048,Mujer,Sí
801,22,1048,Mujer,Sí
805,17,1045,Mujer,Sí
805,13,1026,Mujer,Sí
801,17,1019,Hombre,No
805,14,1012,Mujer,Sí
801,18,1004,Hombre,No
801,17,1003,Mujer,Sí
805,20,984,Mujer,Sí
801,23,982,Mujer,Sí
801,30,979,Mujer,Sí
805,20,951,Hombre,No
805,22,946,Mujer,Sí
805,8,944,Mujer,Sí
801,24,943,Mujer,Sí
801,13,941,Hombre,No
801,28,941,Mujer,Sí
801,20,928,Hombre,No
801,15,917,Mujer,Sí
805,16,912,Mujer,Sí
805,0,907,Mujer,No
801,19,906,Mujer,Sí
805,22,891,Hombre,No
805,6,882,Mujer,Sí
801,22,876,Hombre,No
801,12,874,Hombre,No
805,25,873,Mujer,Sí
801,15,872,Hombre,No
801,16,869,Mujer,Sí
805,9,868,Mujer,Sí
805,7,864,Mujer,Sí
801,14,864,Mujer,Sí
801,14,863,Hombre,No
805,23,861,Mujer,Sí
805,19,859,Hombre,No
801,26,859,Mujer,Sí
801,2,858,Hombre,No
801,25,857,Hombre,No
801,16,855,Hombre,No
805,23,854,Hombre,No
801,23,852,Hombre,No
805,1,841,Mujer,No
805,11,841,Mujer,Sí
1001,18,838,Hombre,
801,27,838,Mujer,Sí
801,12,833,Mujer,Sí
805,5,829,Mujer,Sí
801,40,829,Mujer,Sí
801,3,821,Hombre,No
805,24,817,Mujer,Sí
801,5,815,Hombre,No
801,6,814,Hombre,No
801,21,813,Mujer,Sí
801,24,812,Hombre,No
801,19,808,Hombre,No
801,10,805,Hombre,No
801,4,801,Hombre,No
801,35,799,Mujer,Sí
805,19,795,Mujer,Sí
801,11,787,Hombre,No
805,24,781,Hombre,No
805,28,781,Mujer,Sí
805,4,775,Mujer,Sí
1001,6,775,Hombre,
1001,1,774,Hombre,
801,7,771,Hombre,No
1001,18,770,Mujer,
805,30,769,Mujer,Sí
805,21,768,Mujer,Sí
801,0,758,Hombre,No
801,8,757,Hombre,No
1001,7,755,Hombre,
1001,4,754,Hombre,
805,2,749,Mujer,No
1001,5,748,Mujer,
1001,22,748,Hombre,
801,9,742,Hombre,No
801,28,741,Hombre,No
1001,15,738,Hombre,
805,25,737,Hombre,No
1001,5,736,Hombre,
801,21,735,Hombre,No
805,3,732,Mujer,No
801,1,729,Hombre,No
1001,17,729,Hombre,
1901,18,729,Hombre,
1001,10,728,Hombre,
1001,3,726,Hombre,
806,12,726,Hombre,No
1001,6,723,Mujer,
801,38,723,Mujer,Sí
805,21,719,Hombre,No
1001,3,714,Mujer,
1001,12,714,Hombre,
1001,23,713,Mujer,
801,30,711,Hombre,No
1001,15,709,Mujer,
1001,8,708,Hombre,
805,35,708,Mujer,Sí
805,26,706,Mujer,Sí
806,2,704,Hombre,No
806,6,704,Hombre,No
1901,17,704,Hombre,
1001,20,703,Mujer,
801,10,701,Mujer,Sí
801,13,700,Mujer,Sí
1001,4,699,Mujer,
801,27,699,Hombre,No
805,28,699,Hombre,No
1901,17,697,Mujer,
1001,17,696,Mujer,
1001,23,696,Hombre,
806,3,694,Hombre,No
1001,14,694,Hombre,
1001,16,694,Mujer,
1001,20,694,Hombre,
1001,10,693,Mujer,
1001,22,693,Mujer,
1001,2,692,Mujer,
1001,2,689,Hombre,
801,32,688,Mujer,Sí
1001,9,686,Hombre,
1001,19,686,Mujer,
806,10,685,Hombre,No
1001,13,685,Hombre,
805,30,685,Hombre,No
1001,13,683,Mujer,
806,5,680,Hombre,No
1001,7,678,Mujer,
805,26,678,Hombre,No
805,27,677,Mujer,Sí
1001,8,676,Mujer,
1001,12,674,Mujer,
801,29,672,Mujer,Sí
1001,0,666,Hombre,
806,1,665,Hombre,No
1001,11,665,Hombre,
801,33,664,Mujer,Sí
803,18,663,Mujer,Sí
1001,25,662,Mujer,
806,15,661,Hombre,No
1901,18,661,Mujer,
1001,24,657,Mujer,
1001,1,656,Mujer,
806,4,654,Hombre,No
806,7,654,Hombre,No
801,50,654,Mujer,Sí
801,6,653,Mujer,Sí
801,26,653,Hombre,No
806,8,652,Hombre,No
1001,25,652,Hombre,
1001,19,651,Hombre,
805,27,650,Hombre,No
806,13,649,Hombre,No
806,17,649,Hombre,No
806,18,649,Hombre,No
801,5,646,Mujer,Sí
1901,16,646,Mujer,
1901,20,644,Mujer,
1001,16,643,Hombre,
806,9,642,Hombre,No
805,40,640,Mujer,Sí
801,42,639,Mujer,Sí
1001,0,635,Mujer,
1001,14,632,Mujer,
806,18,632,Mujer,Sí
806,14,631,Hombre,No
1901,15,631,Hombre,
1901,13,630,Hombre,
