MUNICIPIO,PCP7,Recuento de PCP1,PCP6||Sexo,"PCP14||Utiliza ropa maya, garífuna, afrodescendiente o xinka"
1609,2,3083,Hombre,No
1609,5,2978,Hombre,No
1609,1,2967,Hombre,No
1609,3,2948,Hombre,No
1609,6,2869,Hombre,No
1609,0,2832,Hombre,No
1609,7,2832,Hombre,No
1609,4,2801,Hombre,No
1609,17,2739,Hombre,No
1609,9,2731,Hombre,No
1609,10,2711,Hombre,No
1609,8,2567,Hombre,No
1609,13,2536,Hombre,No
1609,18,2483,Hombre,No
1609,16,2473,Hombre,No
1609,17,2433,Mujer,Sí
1609,15,2425,Hombre,No
1609,12,2424,Hombre,No
1609,14,2423,Hombre,No
1609,11,2420,Hombre,No
1609,18,2387,Mujer,Sí
1609,10,2339,Mujer,Sí
1609,15,2320,Mujer,Sí
1609,9,2244,Mujer,Sí
1609,16,2243,Mujer,Sí
1609,19,2243,Hombre,No
1609,14,2227,Mujer,Sí
1601,10,2222,Hombre,No
1601,17,2210,Hombre,No
1609,13,2203,Mujer,Sí
1609,7,2188,Mujer,Sí
1609,12,2183,Mujer,Sí
1609,20,2172,Hombre,No
1601,9,2169,Hombre,No
1601,7,2163,Hombre,No
1609,21,2157,Hombre,No
1609,11,2147,Mujer,Sí
1601,6,2122,Hombre,No
1609,19,2121,Mujer,Sí
1601,4,2109,Hombre,No
1609,22,2090,Mujer,Sí
1601,18,2082,Hombre,No
1609,6,2079,Mujer,Sí
1609,20,2074,Mujer,Sí
1601,8,2066,Hombre,No
1601,2,2063,Hombre,No
1601,5,2046,Hombre,No
1609,8,2037,Mujer,Sí
1601,1,2036,Hombre,No
1601,0,2032,Hombre,No
1609,21,2026,Mujer,Sí
1609,0,2018,Mujer,No
1609,1,1998,Mujer,No
1601,3,1993,Hombre,No
1609,22,1981,Hombre,No
1609,23,1981,Mujer,Sí
1601,16,1979,Hombre,No
1601,15,1969,Hombre,No
1609,23,1963,Hombre,No
1609,5,1962,Mujer,Sí
1601,11,1956,Hombre,No
1601,13,1955,Hombre,No
1609,25,1909,Hombre,No
1601,12,1893,Hombre,No
1609,24,1875,Hombre,No
1609,24,1869,Mujer,Sí
1601,14,1855,Hombre,No
1609,2,1842,Mujer,No
1609,25,1817,Mujer,Sí
1601,19,1810,Hombre,No
1601,2,1807,Mujer,No
1601,0,1764,Mujer,No
1601,20,1730,Hombre,No
1609,4,1722,Mujer,Sí
1609,28,1712,Mujer,Sí
1601,1,1702,Mujer,No
1609,33,1682,Mujer,Sí
1609,27,1679,Mujer,Sí
1601,22,1669,Hombre,No
1601,23,1668,Hombre,No
1609,28,1658,Hombre,No
1609,26,1644,Mujer,Sí
1609,30,1642,Mujer,Sí
1601,21,1625,Hombre,No
1609,29,1614,Mujer,Sí
1609,30,1614,Hombre,No
1601,3,1609,Mujer,No
1601,4,1600,Mujer,No
1609,33,1585,Hombre,No
1609,27,1583,Hombre,No
1609,3,1581,Mujer,No
1609,32,1574,Mujer,Sí
1609,26,1562,Hombre,No
1609,29,1553,Hombre,No
1609,36,1552,Hombre,No
1601,24,1542,Hombre,No
1601,5,1541,Mujer,No
1601,6,1526,Mujer,No
1609,32,1514,Hombre,No
1609,36,1490,Mujer,Sí
1609,31,1479,Mujer,Sí
1609,34,1478,Hombre,No
1609,3,1477,Mujer,Sí
1601,25,1476,Hombre,No
1609,34,1467,Mujer,Sí
1609,35,1460,Mujer,Sí
1601,7,1455,Mujer,No
1609,31,1455,Hombre,No
1609,35,1426,Hombre,No
1608,1,1398,Hombre,No
1609,2,1383,Mujer,Sí
1609,38,1382,Hombre,No
1609,37,1377,Mujer,Sí
1608,2,1366,Hombre,No
