MUNICIPIO,PCP7,Recuento de PCP1,PCP6||Sexo,"PCP14||Utiliza ropa maya, garífuna, afrodescendiente o xinka"
1406,17,1736,Hombre,No
1406,13,1692,Hombre,No
1406,3,1665,Hombre,No
1406,10,1644,Hombre,No
1406,6,1641,Hombre,No
1406,15,1640,Hombre,No
1406,16,1638,Hombre,No
1406,14,1632,Hombre,No
1406,8,1622,Hombre,No
1406,12,1600,Hombre,No
1406,18,1597,Hombre,No
1406,5,1587,Hombre,No
1406,7,1584,Hombre,No
1406,17,1559,Mujer,Sí
1406,18,1532,Mujer,Sí
1406,9,1527,Hombre,No
1406,11,1527,Hombre,No
1406,2,1507,Hombre,No
1406,4,1506,Hombre,No
1406,15,1491,Mujer,Sí
1406,1,1486,Hombre,No
1406,16,1463,Mujer,Sí
1406,20,1426,Mujer,Sí
1406,14,1407,Mujer,Sí
1406,0,1375,Hombre,No
1406,13,1369,Mujer,Sí
1406,12,1355,Mujer,Sí
1406,20,1335,Hombre,No
1406,22,1313,Mujer,Sí
1406,21,1293,Mujer,Sí
1406,19,1287,Mujer,Sí
1406,24,1260,Mujer,Sí
1406,10,1258,Mujer,Sí
1406,23,1250,Mujer,Sí
1406,11,1243,Mujer,Sí
1406,25,1235,Mujer,Sí
1406,19,1225,Hombre,No
1406,1,1217,Mujer,No
1406,0,1211,Mujer,No
1406,22,1211,Hombre,No
1406,21,1205,Hombre,No
1406,23,1187,Hombre,No
1406,28,1156,Mujer,Sí
1420,2,1144,Hombre,No
1420,0,1142,Hombre,No
1420,6,1136,Hombre,No
1420,3,1131,Hombre,No
1406,9,1119,Mujer,Sí
1420,5,1116,Hombre,No
1406,25,1115,Hombre,No
1406,24,1097,Hombre,No
1406,26,1093,Mujer,Sí
1406,30,1089,Mujer,Sí
1413,18,1087,Mujer,Sí
1406,27,1086,Mujer,Sí
1406,8,1082,Mujer,Sí
1412,4,1073,Hombre,No
1406,2,1057,Mujer,No
1420,4,1053,Hombre,No
1420,7,1049,Hombre,No
1420,8,1047,Hombre,No
1101,2,1035,Hombre,
1420,2,1034,Mujer,No
1406,7,1032,Mujer,Sí
1412,2,1030,Hombre,No
1101,18,1027,Hombre,
1101,3,1023,Mujer,
1101,6,1021,Hombre,
1101,3,1017,Hombre,
1101,4,1017,Hombre,
1101,18,1014,Mujer,
1101,4,1011,Mujer,
1406,3,1007,Mujer,No
1101,17,1002,Mujer,
1412,0,998,Hombre,No
1412,3,996,Hombre,No
1420,1,990,Hombre,No
1412,5,989,Hombre,No
1420,10,988,Hombre,No
1420,13,987,Hombre,No
1101,17,987,Hombre,
1101,7,986,Hombre,
1406,35,984,Mujer,Sí
1420,3,983,Mujer,No
1101,5,982,Mujer,
1406,28,981,Hombre,No
1406,6,980,Mujer,Sí
1101,12,979,Hombre,
1420,12,978,Hombre,No
1101,2,977,Mujer,
1101,5,975,Hombre,
1420,9,975,Hombre,No
1101,6,974,Mujer,
1101,15,966,Hombre,
1420,11,965,Hombre,No
1412,1,962,Hombre,No
1420,0,961,Mujer,No
1101,10,961,Hombre,
1413,17,960,Mujer,Sí
1412,6,958,Hombre,No
1101,20,957,Mujer,
1101,8,956,Mujer,
1420,4,947,Mujer,No
1101,22,946,Mujer,
1101,1,944,Hombre,
1406,27,942,Hombre,No
1420,5,941,Mujer,No
1420,1,939,Mujer,No
1412,8,939,Hombre,No
1101,7,936,Mujer,
1406,40,935,Mujer,Sí
1101,14,933,Hombre,
1420,17,933,Hombre,No
1101,13,932,Hombre,
1406,26,932,Hombre,No
1101,19,930,Mujer,
1413,15,928,Mujer,Sí
1101,25,927,Mujer,
1412,7,923,Hombre,No
1406,29,920,Mujer,Sí
1420,18,919,Hombre,No
1101,1,918,Mujer,
1412,17,918,Mujer,Sí
1101,8,916,Hombre,
1101,22,913,Hombre,
1101,0,912,Hombre,
1101,23,912,Mujer,
1101,9,909,Hombre,
1101,12,905,Mujer,
1101,20,905,Hombre,
1101,13,904,Mujer,
1420,6,898,Mujer,No
1420,14,898,Hombre,No
1412,10,897,Hombre,No
1101,16,897,Hombre,
1101,15,896,Mujer,
1101,16,896,Mujer,
1413,16,892,Mujer,Sí
1406,5,890,Mujer,Sí
1101,10,890,Mujer,
1101,24,889,Mujer,
1101,14,887,Mujer,
1420,15,886,Hombre,No
1420,16,884,Hombre,No
1101,19,884,Hombre,
1406,4,881,Mujer,No
1406,38,881,Mujer,Sí
1406,32,874,Mujer,Sí
1101,9,869,Mujer,
1412,13,868,Hombre,No
1101,25,862,Hombre,
1101,21,856,Mujer,
1406,30,855,Hombre,No
1101,24,852,Hombre,
1101,23,847,Hombre,
1101,0,846,Mujer,
1412,18,844,Mujer,Sí
1412,9,842,Hombre,No
1406,33,837,Mujer,Sí
1412,15,835,Hombre,No
1412,11,832,Hombre,No
1413,19,832,Mujer,Sí
1101,27,827,Mujer,
1101,11,826,Hombre,
1415,6,825,Hombre,No
1406,34,821,Mujer,Sí
1412,14,815,Hombre,No
1101,28,815,Hombre,
1415,5,814,Hombre,No
1101,11,813,Mujer,
1413,20,813,Mujer,Sí
1101,26,811,Mujer,
1412,14,807,Mujer,Sí
1412,15,807,Mujer,Sí
1101,30,807,Hombre,
1412,16,805,Mujer,Sí
1420,20,804,Hombre,No
1101,28,803,Mujer,
1101,30,801,Mujer,
1420,8,800,Mujer,No
1413,23,799,Mujer,Sí
1413,14,797,Mujer,Sí
1406,35,797,Hombre,No
1412,16,790,Hombre,No
1413,13,786,Mujer,Sí
1420,7,785,Mujer,No
1412,20,785,Mujer,Sí
1412,19,782,Mujer,Sí
1413,15,779,Hombre,No
1412,5,776,Mujer,Sí
1413,12,776,Mujer,Sí
1412,12,775,Mujer,Sí
1406,37,774,Mujer,Sí
1406,5,772,Mujer,No
1101,21,772,Hombre,
1413,22,771,Mujer,Sí
1406,36,767,Mujer,Sí
1412,12,766,Hombre,No
1415,8,763,Hombre,No
1406,31,763,Mujer,Sí
1415,3,762,Hombre,No
1406,40,759,Hombre,No
1415,2,756,Hombre,No
1406,29,750,Hombre,No
1406,4,749,Mujer,Sí
1412,4,748,Mujer,Sí
1412,17,747,Hombre,No
1412,22,747,Mujer,Sí
1415,4,746,Hombre,No
1101,27,746,Hombre,
1412,6,745,Mujer,Sí
1412,21,742,Mujer,Sí
1415,7,741,Hombre,No
1412,8,739,Mujer,Sí
1412,10,737,Mujer,Sí
1406,39,737,Mujer,Sí
1412,13,736,Mujer,Sí
1412,7,732,Mujer,Sí
1415,10,730,Hombre,No
1401,15,727,Hombre,No
1401,18,727,Hombre,No
1413,21,726,Mujer,Sí
1101,26,724,Hombre,
1401,18,722,Mujer,Sí
1101,29,722,Mujer,
1413,10,719,Mujer,Sí
1412,23,719,Mujer,Sí
1415,9,718,Hombre,No
1406,32,718,Hombre,No
1413,18,717,Hombre,No
1413,7,715,Hombre,No
1401,17,714,Mujer,Sí
1412,3,713,Mujer,Sí
1413,25,713,Mujer,Sí
1413,4,712,Hombre,No
1413,8,710,Mujer,Sí
1413,16,710,Hombre,No
1412,9,708,Mujer,Sí
1413,17,708,Hombre,No
1420,21,707,Hombre,No
1413,12,703,Hombre,No
1406,38,703,Hombre,No
1420,19,700,Hombre,No
1101,38,700,Mujer,
1101,33,699,Mujer,
1413,13,697,Hombre,No
1413,6,696,Mujer,Sí
1413,24,696,Mujer,Sí
1406,45,696,Mujer,Sí
1420,9,695,Mujer,No
1420,24,695,Hombre,No
1406,34,695,Hombre,No
1413,2,694,Hombre,No
1420,22,694,Hombre,No
1412,25,693,Mujer,Sí
1413,7,687,Mujer,Sí
