Id_Dep,Id_Mun,Departamento,Municipio,Comunidad Linguística,Pobl. ComLinguistica
1,112,Guatemala,Chuarrancho,Ch'orti',0
1,112,Guatemala,Chuarrancho,Chuj,0
1,112,Guatemala,Chuarrancho,Itza',0
1,112,Guatemala,Chuarrancho,Ixil,0
1,112,Guatemala,Chuarrancho,Jakalteko /Popti',0
1,112,Guatemala,Chuarrancho,Kaqchikel,10800
1,112,Guatemala,Chuarrancho,K'iche',38
1,112,Guatemala,Chuarrancho,Mam,3
1,112,Guatemala,Chuarrancho,Mopan,0
1,112,Guatemala,Chuarrancho,Poqomam,2
1,112,Guatemala,Chuarrancho,Poqomchi',2
1,112,Guatemala,Chuarrancho,Q'anjob'al,0
1,112,Guatemala,Chuarrancho,Q'eqchi',10
1,112,Guatemala,Chuarrancho,Sakapulteka,0
1,112,Guatemala,Chuarrancho,Sipakapense,0
1,112,Guatemala,Chuarrancho,Tektiteka,0
1,112,Guatemala,Chuarrancho,Tz'utujil,4
1,112,Guatemala,Chuarrancho,Uspanteka,1
1,113,Guatemala,Fraijanes,Achi,157
1,113,Guatemala,Fraijanes,Akateka,7
1,113,Guatemala,Fraijanes,Awakateka,3
1,113,Guatemala,Fraijanes,Chalchiteka,125
1,113,Guatemala,Fraijanes,Ch'orti',8
1,113,Guatemala,Fraijanes,Chuj,11
1,113,Guatemala,Fraijanes,Itza',1
1,113,Guatemala,Fraijanes,Ixil,40
1,113,Guatemala,Fraijanes,Jakalteko /Popti',5
1,113,Guatemala,Fraijanes,Kaqchikel,742
1,113,Guatemala,Fraijanes,K'iche',813
1,113,Guatemala,Fraijanes,Mam,266
1,113,Guatemala,Fraijanes,Mopan,2
1,113,Guatemala,Fraijanes,Poqomam,27
1,113,Guatemala,Fraijanes,Poqomchi',24
1,113,Guatemala,Fraijanes,Q'anjob'al,109
1,113,Guatemala,Fraijanes,Q'eqchi',277
1,113,Guatemala,Fraijanes,Sakapulteka,0
1,113,Guatemala,Fraijanes,Sipakapense,5
1,113,Guatemala,Fraijanes,Tektiteka,3
1,113,Guatemala,Fraijanes,Tz'utujil,15
1,113,Guatemala,Fraijanes,Uspanteka,2
1,114,Guatemala,Amatitlán,Achi,887
1,114,Guatemala,Amatitlán,Akateka,14
1,114,Guatemala,Amatitlán,Awakateka,1
1,114,Guatemala,Amatitlán,Chalchiteka,178
1,114,Guatemala,Amatitlán,Ch'orti',22
1,114,Guatemala,Amatitlán,Chuj,0
1,114,Guatemala,Amatitlán,Itza',5
1,114,Guatemala,Amatitlán,Ixil,59
1,114,Guatemala,Amatitlán,Jakalteko /Popti',9
1,114,Guatemala,Amatitlán,Kaqchikel,1069
1,114,Guatemala,Amatitlán,K'iche',1161
1,114,Guatemala,Amatitlán,Mam,186
1,114,Guatemala,Amatitlán,Mopan,2
1,114,Guatemala,Amatitlán,Poqomam,142
1,114,Guatemala,Amatitlán,Poqomchi',80
1,114,Guatemala,Amatitlán,Q'anjob'al,26
1,114,Guatemala,Amatitlán,Q'eqchi',124
1,114,Guatemala,Amatitlán,Sakapulteka,2
1,114,Guatemala,Amatitlán,Sipakapense,0
1,114,Guatemala,Amatitlán,Tektiteka,0
1,114,Guatemala,Amatitlán,Tz'utujil,185
1,114,Guatemala,Amatitlán,Uspanteka,9
1,115,Guatemala,Villa Nueva,Achi,1306
1,115,Guatemala,Villa Nueva,Akateka,178
1,115,Guatemala,Villa Nueva,Awakateka,250
1,115,Guatemala,Villa Nueva,Chalchiteka,895
1,115,Guatemala,Villa Nueva,Ch'orti',22
1,115,Guatemala,Villa Nueva,Chuj,19
1,115,Guatemala,Villa Nueva,Itza',53
1,115,Guatemala,Villa Nueva,Ixil,736
1,115,Guatemala,Villa Nueva,Jakalteko /Popti',20
1,115,Guatemala,Villa Nueva,Kaqchikel,6510
1,115,Guatemala,Villa Nueva,K'iche',7344
1,115,Guatemala,Villa Nueva,Mam,1660
1,115,Guatemala,Villa Nueva,Mopan,14
1,115,Guatemala,Villa Nueva,Poqomam,168
1,115,Guatemala,Villa Nueva,Poqomchi',208
1,115,Guatemala,Villa Nueva,Q'anjob'al,183
1,115,Guatemala,Villa Nueva,Q'eqchi',1534
1,115,Guatemala,Villa Nueva,Sakapulteka,125
1,115,Guatemala,Villa Nueva,Sipakapense,24
1,115,Guatemala,Villa Nueva,Tektiteka,33
1,115,Guatemala,Villa Nueva,Tz'utujil,490
1,115,Guatemala,Villa Nueva,Uspanteka,34
1,116,Guatemala,Villa Canales,Achi,164
1,116,Guatemala,Villa Canales,Akateka,39
1,116,Guatemala,Villa Canales,Awakateka,106
1,116,Guatemala,Villa Canales,Chalchiteka,346
1,116,Guatemala,Villa Canales,Ch'orti',17
1,116,Guatemala,Villa Canales,Chuj,34
1,116,Guatemala,Villa Canales,Itza',1
1,116,Guatemala,Villa Canales,Ixil,40
1,116,Guatemala,Villa Canales,Jakalteko /Popti',1
1,116,Guatemala,Villa Canales,Kaqchikel,1501
1,116,Guatemala,Villa Canales,K'iche',1509
1,116,Guatemala,Villa Canales,Mam,319
1,116,Guatemala,Villa Canales,Mopan,15
1,116,Guatemala,Villa Canales,Poqomam,19
1,116,Guatemala,Villa Canales,Poqomchi',55
1,116,Guatemala,Villa Canales,Q'anjob'al,103
1,116,Guatemala,Villa Canales,Q'eqchi',430
1,116,Guatemala,Villa Canales,Sakapulteka,20
1,116,Guatemala,Villa Canales,Sipakapense,4
1,116,Guatemala,Villa Canales,Tektiteka,3
1,116,Guatemala,Villa Canales,Tz'utujil,43
1,116,Guatemala,Villa Canales,Uspanteka,5
1,117,Guatemala,Petapa,Achi,572
1,117,Guatemala,Petapa,Akateka,24
1,117,Guatemala,Petapa,Awakateka,20
1,117,Guatemala,Petapa,Chalchiteka,326
1,117,Guatemala,Petapa,Ch'orti',3
1,117,Guatemala,Petapa,Chuj,20
1,117,Guatemala,Petapa,Itza',4
1,117,Guatemala,Petapa,Ixil,93
1,117,Guatemala,Petapa,Jakalteko /Popti',39
1,117,Guatemala,Petapa,Kaqchikel,2509
1,117,Guatemala,Petapa,K'iche',2542
1,117,Guatemala,Petapa,Mam,531
1,117,Guatemala,Petapa,Mopan,12
1,117,Guatemala,Petapa,Poqomam,44
1,117,Guatemala,Petapa,Poqomchi',38
1,117,Guatemala,Petapa,Q'anjob'al,109
