MUNICIPIO,PCP7,Recuento de PCP1,PCP6||Sexo,PCP15||Idioma Materno
1501,0,706,Hombre,
1501,0,673,Mujer,
1502,0,440,Hombre,
1502,0,370,Mujer,
1503,0,462,Hombre,
1503,0,423,Mujer,
1504,0,625,Hombre,
1504,0,617,Mujer,
1505,0,152,Hombre,
1505,0,135,Mujer,
1506,0,92,Hombre,
1506,0,91,Mujer,
1507,0,262,Hombre,
1507,0,254,Mujer,
1508,0,901,Hombre,
1508,0,901,Mujer,
1601,0,2498,Hombre,
1601,0,2405,Mujer,
1602,0,436,Hombre,
1602,0,422,Mujer,
1603,0,1028,Hombre,
1603,0,930,Mujer,
1604,0,451,Hombre,
1604,0,462,Mujer,
1605,0,271,Hombre,
1605,0,315,Mujer,
1606,0,611,Hombre,
1606,0,639,Mujer,
1607,0,1086,Hombre,
1607,0,1101,Mujer,
1608,0,1227,Hombre,
1608,0,1238,Mujer,
1609,0,3094,Hombre,
1609,0,3002,Mujer,
1610,0,706,Hombre,
1610,0,740,Mujer,
1611,0,293,Hombre,
1611,0,252,Mujer,
1612,0,767,Hombre,
1612,0,752,Mujer,
1613,0,1241,Hombre,
1613,0,1152,Mujer,
1614,0,344,Hombre,
1614,0,319,Mujer,
1615,0,944,Hombre,
1615,0,869,Mujer,
1616,0,552,Hombre,
1616,0,539,Mujer,
1617,0,476,Hombre,
1617,0,504,Mujer,
1501,1,723,Hombre,
1501,1,719,Mujer,
1502,1,447,Hombre,
1502,1,445,Mujer,
1503,1,440,Hombre,
1503,1,419,Mujer,
1504,1,714,Hombre,
1504,1,688,Mujer,
1505,1,156,Hombre,
1505,1,127,Mujer,
1506,1,96,Hombre,
1506,1,90,Mujer,
1507,1,282,Hombre,
1507,1,278,Mujer,
1508,1,917,Hombre,
1508,1,941,Mujer,
1601,1,2503,Hombre,
1601,1,2419,Mujer,
1602,1,393,Hombre,
1602,1,406,Mujer,
1603,1,966,Hombre,
1603,1,918,Mujer,
1604,1,517,Hombre,
1604,1,479,Mujer,
1605,1,275,Hombre,
1605,1,279,Mujer,
1606,1,677,Hombre,
1606,1,652,Mujer,
1607,1,1147,Hombre,
1607,1,1061,Mujer,
1608,1,1470,Hombre,
1608,1,1471,Mujer,
1609,1,3234,Hombre,
1609,1,3270,Mujer,
1610,1,726,Hombre,
1610,1,759,Mujer,
1611,1,353,Hombre,
1611,1,355,Mujer,
1612,1,898,Hombre,
1612,1,826,Mujer,
1613,1,1242,Hombre,
1613,1,1229,Mujer,
1614,1,364,Hombre,
1614,1,388,Mujer,
1615,1,904,Hombre,
1615,1,899,Mujer,
1616,1,594,Hombre,
1616,1,529,Mujer,
1617,1,531,Hombre,
1617,1,513,Mujer,
1501,2,765,Hombre,
1501,2,728,Mujer,
1502,2,431,Hombre,
1502,2,411,Mujer,
1503,2,444,Hombre,
1503,2,426,Mujer,
1504,2,702,Hombre,
1504,2,689,Mujer,
1505,2,132,Hombre,
1505,2,123,Mujer,
1506,2,108,Hombre,
1506,2,88,Mujer,
1507,2,331,Hombre,
1507,2,312,Mujer,
1508,2,955,Hombre,
1508,2,884,Mujer,
1601,2,2565,Hombre,
1601,2,2665,Mujer,
1602,2,387,Hombre,
1602,2,428,Mujer,
1603,2,976,Hombre,
1603,2,1000,Mujer,
1604,2,475,Hombre,
1604,2,486,Mujer,
1605,2,276,Hombre,
1605,2,257,Mujer,
1606,2,686,Hombre,
1606,2,703,Mujer,
1607,2,1232,Hombre,
1607,2,1117,Mujer,
1608,2,1446,Hombre,
1608,2,1497,Mujer,
1609,2,3342,Hombre,
1609,2,3354,Mujer,
1610,2,740,Hombre,
1610,2,765,Mujer,
1611,2,329,Hombre,
1611,2,289,Mujer,
1612,2,933,Hombre,
1612,2,844,Mujer,
1613,2,1293,Hombre,
1613,2,1277,Mujer,
1614,2,337,Hombre,
1614,2,408,Mujer,
1615,2,900,Hombre,
1615,2,923,Mujer,
1616,2,643,Hombre,
1616,2,615,Mujer,
1617,2,523,Hombre,
1617,2,504,Mujer,
1501,3,741,Hombre,
1501,3,713,Mujer,
1502,3,399,Hombre,
1502,3,420,Mujer,
1503,3,465,Hombre,
1503,3,412,Mujer,
1504,3,692,Hombre,
1504,3,638,Mujer,
1505,3,134,Hombre,
1505,3,141,Mujer,
1506,3,89,Hombre,
1506,3,100,Mujer,
1507,3,348,Hombre,
1507,3,257,Mujer,
1508,3,846,Hombre,
1508,3,853,Mujer,
1601,3,2475,Hombre,
1601,3,2485,Mujer,
1602,3,414,Hombre,
1602,3,419,Mujer,
1603,3,996,Hombre,
1603,3,914,Mujer,
1604,3,481,Hombre,
1604,3,511,Mujer,
1605,3,307,Hombre,
1605,3,277,Mujer,
1606,3,648,Hombre,
1606,3,662,Mujer,
1607,3,1097,Hombre,
1607,3,1105,Mujer,
1608,3,1359,Hombre,
1608,3,1305,Mujer,
1609,3,3170,Hombre,
1609,3,3179,Mujer,
1610,3,773,Hombre,
1610,3,732,Mujer,
1611,3,352,Hombre,
1611,3,316,Mujer,
1612,3,868,Hombre,
1612,3,856,Mujer,
1613,3,1303,Hombre,
1613,3,1228,Mujer,
1614,3,422,Hombre,
1614,3,407,Mujer,
1615,3,958,Hombre,
1615,3,916,Mujer,
1616,3,555,Hombre,
1616,3,558,Mujer,
1617,3,529,Hombre,
1617,3,548,Mujer,
1501,4,91,Hombre,Achí
1501,4,1,Hombre,Chalchiteko
1501,4,1,Hombre,Ch'orti'
1501,4,675,Hombre,Español
1501,4,3,Hombre,No habla
1501,4,7,Hombre,Poqomchi'
1501,4,8,Hombre,Q'eqchi'
1501,4,1,Hombre,Tz'utujil
1501,4,104,Mujer,Achí
1501,4,612,Mujer,Español
1501,4,3,Mujer,No habla
1501,4,7,Mujer,Poqomchi'
1501,4,6,Mujer,Q'eqchi'
1502,4,184,Hombre,Achí
1502,4,217,Hombre,Español
1502,4,1,Hombre,K'iche'
1502,4,3,Hombre,No habla
1502,4,1,Hombre,Poqomchi'
1502,4,1,Hombre,Q'eqchi'
1502,4,179,Mujer,Achí
1502,4,215,Mujer,Español
1502,4,2,Mujer,Poqomchi'
1502,4,1,Mujer,Tz'utujil
1503,4,106,Hombre,Achí
1503,4,342,Hombre,Español
1503,4,1,Hombre,Garífuna
1503,4,2,Hombre,No habla
1503,4,1,Hombre,Xinka
1503,4,105,Mujer,Achí
1503,4,1,Mujer,Akateko
1503,4,329,Mujer,Español
1503,4,1,Mujer,K'iche'
1503,4,1,Mujer,No habla
1503,4,1,Mujer,Otro idioma
1503,4,1,Mujer,Poqomchi'
1504,4,395,Hombre,Achí
1504,4,1,Hombre,Chalchiteko
1504,4,319,Hombre,Español
1504,4,11,Hombre,K'iche'
1504,4,390,Mujer,Achí
1504,4,321,Mujer,Español
1504,4,3,Mujer,K'iche'
1504,4,1,Mujer,No habla
1504,4,2,Mujer,Poqomchi'
1505,4,1,Hombre,Achí
1505,4,158,Hombre,Español
1505,4,1,Hombre,Kaqchiquel
1505,4,1,Hombre,Poqomchi'
1505,4,5,Mujer,Achí
1505,4,151,Mujer,Español
1505,4,1,Mujer,No habla
1506,4,103,Hombre,Español
1506,4,99,Mujer,Español
1506,4,1,Mujer,Inglés
1507,4,7,Hombre,Achí
1507,4,279,Hombre,Español
1507,4,3,Hombre,Q'eqchi'
1507,4,9,Mujer,Achí
1507,4,257,Mujer,Español
1507,4,2,Mujer,Poqomchi'
1507,4,1,Mujer,Q'eqchi'
1508,4,29,Hombre,Achí
1508,4,1,Hombre,Akateko
1508,4,208,Hombre,Español
1508,4,249,Hombre,Poqomchi'
1508,4,404,Hombre,Q'eqchi'
1508,4,1,Hombre,Señas
1508,4,25,Mujer,Achí
1508,4,191,Mujer,Español
1508,4,2,Mujer,K'iche'
1508,4,1,Mujer,Mam
1508,4,1,Mujer,No habla
1508,4,235,Mujer,Poqomchi'
1508,4,368,Mujer,Q'eqchi'
1601,4,7,Hombre,Achí
1601,4,3,Hombre,Akateko
1601,4,927,Hombre,Español
1601,4,1,Hombre,Garífuna
1601,4,3,Hombre,Kaqchiquel
1601,4,4,Hombre,K'iche'
1601,4,4,Hombre,Mam
1601,4,1,Hombre,Mopan
1601,4,7,Hombre,No habla
1601,4,1,Hombre,Otro idioma
1601,4,5,Hombre,Poqomam
1601,4,26,Hombre,Poqomchi'
1601,4,6,Hombre,Q'anjob'al
1601,4,1585,Hombre,Q'eqchi'
1601,4,1,Hombre,Señas
1601,4,13,Mujer,Achí
1601,4,2,Mujer,Akateko
1601,4,1,Mujer,Chuj
1601,4,944,Mujer,Español
1601,4,1,Mujer,Garífuna
1601,4,1,Mujer,Inglés
1601,4,1,Mujer,Itza'
1601,4,1,Mujer,Kaqchiquel
1601,4,7,Mujer,K'iche'
1601,4,10,Mujer,Mam
1601,4,6,Mujer,No habla
1601,4,1,Mujer,Poqomam
1601,4,19,Mujer,Poqomchi'
1601,4,6,Mujer,Q'anjob'al
1601,4,1641,Mujer,Q'eqchi'
1601,4,3,Mujer,Señas
1602,4,18,Hombre,Achí
1602,4,1,Hombre,Akateko
1602,4,198,Hombre,Español
1602,4,1,Hombre,No habla
1602,4,158,Hombre,Poqomchi'
1602,4,28,Hombre,Q'eqchi'
1602,4,5,Mujer,Achí
1602,4,205,Mujer,Español
