MUNICIPIO,PCP7,Recuento de PCP1,PCP6||Sexo,PCP13||Comunidad Lingüística
1101,0,903,Hombre,
1101,0,2,Hombre,Chalchiteka
1101,0,6,Hombre,K'iche'
1101,0,9,Hombre,Mam
1101,0,1,Hombre,Poqomchi'
1101,0,839,Mujer,
1101,0,1,Mujer,Chalchiteka
1101,0,1,Mujer,Kaqchiquel
1101,0,4,Mujer,K'iche'
1101,0,6,Mujer,Mam
1101,1,939,Hombre,
1101,1,1,Hombre,Chalchiteka
1101,1,2,Hombre,Kaqchiquel
1101,1,9,Hombre,K'iche'
1101,1,2,Hombre,Mam
1101,1,913,Mujer,
1101,1,1,Mujer,Chalchiteka
1101,1,2,Mujer,Kaqchiquel
1101,1,10,Mujer,K'iche'
1101,1,8,Mujer,Mam
1101,2,1031,Hombre,
1101,2,1,Hombre,Ch'orti'
1101,2,11,Hombre,K'iche'
1101,2,9,Hombre,Mam
1101,2,970,Mujer,
1101,2,4,Mujer,K'iche'
1101,2,9,Mujer,Mam
1101,2,1,Mujer,Poqomchi'
1101,3,1003,Hombre,
1101,3,2,Hombre,Chalchiteka
1101,3,1,Hombre,Chuj
1101,3,2,Hombre,Kaqchiquel
1101,3,9,Hombre,K'iche'
1101,3,11,Hombre,Mam
1101,3,1009,Mujer,
1101,3,1,Mujer,Chalchiteka
1101,3,1,Mujer,Kaqchiquel
1101,3,13,Mujer,K'iche'
1101,3,13,Mujer,Mam
1101,4,1008,Hombre,
1101,4,1,Hombre,Achi
1101,4,4,Hombre,Chalchiteka
1101,4,1,Hombre,Kaqchiquel
1101,4,7,Hombre,K'iche'
1101,4,7,Hombre,Mam
1101,4,1004,Mujer,
1101,4,1,Mujer,Achi
1101,4,1,Mujer,Chalchiteka
1101,4,9,Mujer,K'iche'
1101,4,7,Mujer,Mam
1101,4,1,Mujer,Tektiteka
1101,5,965,Hombre,
1101,5,1,Hombre,Chalchiteka
1101,5,1,Hombre,Kaqchiquel
1101,5,12,Hombre,K'iche'
1101,5,11,Hombre,Mam
1101,5,980,Mujer,
1101,5,1,Mujer,Kaqchiquel
1101,5,11,Mujer,K'iche'
1101,5,6,Mujer,Mam
1101,6,1008,Hombre,
1101,6,3,Hombre,Chalchiteka
1101,6,1,Hombre,Kaqchiquel
1101,6,12,Hombre,K'iche'
1101,6,8,Hombre,Mam
1101,6,962,Mujer,
1101,6,3,Mujer,Chalchiteka
1101,6,12,Mujer,K'iche'
1101,6,9,Mujer,Mam
1101,7,972,Hombre,
1101,7,1,Hombre,Achi
1101,7,1,Hombre,Chalchiteka
1101,7,2,Hombre,Kaqchiquel
1101,7,12,Hombre,K'iche'
1101,7,10,Hombre,Mam
1101,7,932,Mujer,
1101,7,2,Mujer,Chalchiteka
1101,7,1,Mujer,Chuj
1101,7,11,Mujer,K'iche'
1101,7,11,Mujer,Mam
1101,7,1,Mujer,Tz'utujil
1101,8,913,Hombre,
1101,8,1,Hombre,Ch'orti'
1101,8,1,Hombre,Kaqchiquel
1101,8,14,Hombre,K'iche'
1101,8,11,Hombre,Mam
1101,8,1,Hombre,Poqomchi'
1101,8,949,Mujer,
1101,8,1,Mujer,Chalchiteka
1101,8,6,Mujer,K'iche'
1101,8,10,Mujer,Mam
1101,9,902,Hombre,
1101,9,2,Hombre,Chalchiteka
1101,9,9,Hombre,K'iche'
1101,9,4,Hombre,Mam
1101,9,861,Mujer,
1101,9,2,Mujer,Kaqchiquel
1101,9,12,Mujer,K'iche'
1101,9,9,Mujer,Mam
1101,9,1,Mujer,Q'anjob'al
1101,10,953,Hombre,
1101,10,1,Hombre,Achi
1101,10,1,Hombre,Chalchiteka
1101,10,8,Hombre,K'iche'
1101,10,7,Hombre,Mam
1101,10,887,Mujer,
1101,10,2,Mujer,Kaqchiquel
1101,10,5,Mujer,K'iche'
1101,10,10,Mujer,Mam
1101,11,826,Hombre,
